Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
934b83b83dd0f53e970a450a5972655820cee38f2c34853788ccd5cb2c0ba525,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.595976,53.390461,On or near Bus/Coach Station,E01033300,Warrington 018F,Offender fined
b54faa163bd2dc68c7691e6e8050c201910840c350852526fc2e18c7a31b466e,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.546208,53.194383,On or near ABBOTTS WAY,E01018744,Cheshire West and Chester 037D,Offender sent to prison
c6ed1cb7a83c7c2d90ef81718080f9abc2e955525e1e553d6dad877cdb8140a5,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.753508,53.370469,On or near CAWFIELD AVENUE,E01012379,Halton 006B,Offender fined
48403546cd9000301cb479978e28f69b2e75be1be5edcc1a6e21c9fccb6be76c,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.773982,53.351597,On or near CHURCH MEADOW WALK,E01012391,Halton 008B,Offender sent to prison
de95d3f0b9f31f203b417538be9ee130c713eb6656064f19920d053e3bfd5cb5,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.698774,53.326640,On or near SOUTHWAY,E01012408,Halton 013F,Offender sent to prison
712f8e43ad08172788717c8da77a29e344b4928c65d24d033c7266426516d2f1,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.730753,53.365155,On or near Supermarket,E01012424,Halton 007C,Offender given suspended prison sentence
f4c0f3c3f26a7a2d265a6a3bfec1a44324b6ccd8bd375b74f200bac1c47e4e46,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.888563,53.192501,On or near FRODSHAM STREET,E01018326,Cheshire West and Chester 034A,Offender fined
7ba3cec5d90834fa341394a9c6d1a9eb2f83ba73c3a57898dfbdacb4fb87ba4f,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.734055,53.342213,On or near Supermarket,E01012430,Halton 012E,Offender sent to prison
6a56f6dbb9a752aaa53f3eb5dbcda22b3d57980a02c2a1e2f8bcb6b0fd509bf7,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.942958,53.286684,On or near QUEENS ROAD,E01018549,Cheshire West and Chester 005D,Offender fined
965590995ad552945e3bcd36fe943a1970faec3df62caae2c17e5ac421765551,2014-12,Cheshire Constabulary,Cheshire Constabulary,-2.921434,53.278376,On or near BROOKLYN DRIVE,E01018522,Cheshire West and Chester 010A,Offender given suspended prison sentence
