Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b390674ee5a5d245e5a9308e51041f64f41d9a39f6d8a376108d2bb1650c8db5,2014-12,Cumbria Constabulary,Cumbria Constabulary,-2.934695,54.896983,On or near Parking Area,E01019204,Carlisle 006A,Offender fined
3a5157616281407b9cf496b9cf941eefb33d9036feb83cb5a3f6b69a79c3da79,2014-12,Cumbria Constabulary,Cumbria Constabulary,-2.898665,54.877646,On or near HAZEL DENE,E01019221,Carlisle 011D,Offender sent to prison
830280b5a27ec19a2b28d7a28d54c915034df2b64bd413e14a9534c94485e4c4,2014-12,Cumbria Constabulary,Cumbria Constabulary,-3.528306,54.481675,On or near Supermarket,E01019274,Copeland 006D,Offender given community sentence
b9484c48cc9507c298d30762cf633075b0cd19dbb785ed11ed7d5aa827711890,2014-12,Cumbria Constabulary,Cumbria Constabulary,-2.931179,54.891942,On or near MARY STREET,E01019206,Carlisle 006B,Offender given community sentence
0c6f5b2072a87d5ef46554f851c8501df93caa6cc28b9b7a74bc806904962650,2014-12,Cumbria Constabulary,Cumbria Constabulary,-2.931179,54.891942,On or near MARY STREET,E01019206,Carlisle 006B,Offender fined
8f45b58c85c451e17971f8c58fbc5aa7f582346d68c1e4541349829482b1f469,2014-12,Cumbria Constabulary,Cumbria Constabulary,-2.931179,54.891942,On or near MARY STREET,E01019206,Carlisle 006B,Offender given community sentence
51fcb10bdd78b1ce7eac34b9097151ad068482c3d8cb92470e1438d63500edf5,2014-12,Cumbria Constabulary,Cumbria Constabulary,-3.587025,54.551420,On or near BRANSTY ROW,E01019260,Copeland 002A,Offender sent to prison
ceb6c5bf965ae0428d2c674cb8ee67037720f5da2886c95e3378979c07bdaa3f,2014-12,Cumbria Constabulary,Cumbria Constabulary,-3.227168,54.114080,On or near SCOTT STREET,E01019157,Barrow-in-Furness 008D,Offender fined
6b80d86c64ee21601fc787bb7e0fa69be7943d9dc33571ee5d95b0088392fa09,2014-12,Cumbria Constabulary,Cumbria Constabulary,-2.934278,54.894479,On or near Shopping Area,E01019204,Carlisle 006A,Offender ordered to pay compensation
1b479a0f30128fe9504e2f7d552caed5d546fe91dd9551e31687174f67683689,2014-12,Cumbria Constabulary,Cumbria Constabulary,-3.234363,54.112703,On or near Petrol Station,E01019156,Barrow-in-Furness 004A,Offender fined
e6e4cd991c9263fc34291d2c47f990a56172347cb7c19ba54c820e409b56d4a3,2014-12,Cumbria Constabulary,Cumbria Constabulary,-2.746335,54.326912,On or near LOWTHER STREET,E01019360,South Lakeland 004A,Offender sent to prison
45671e96b95ddf9549be8b1108cb2514aa60f17e75fea72dfc1767ef86efb961,2014-12,Cumbria Constabulary,Cumbria Constabulary,-2.908744,54.882981,On or near BRUNEL WAY,E01019222,Carlisle 011E,Offender fined
d32e1f7c2696e6f292082a079757c163f814eb8e94dc1418f4a27302d28d5dcd,2014-12,Cumbria Constabulary,Cumbria Constabulary,-2.674330,54.527886,On or near CROFT AVENUE,E01019337,Eden 006G,Offender given community sentence
67ec9b6fc7a8b1978878da0ccf71ed03ee5d7883bbaff1b27bfbd2137f4c5fad,2014-12,Cumbria Constabulary,Cumbria Constabulary,-2.983756,54.537646,On or near Park/Open Space,E01019339,Eden 005D,Offender given community sentence
57cff1ad6e29fefa31e6f59e8b8ae0a03c95f76b37406fe40f4da650ea7680c0,2014-12,Cumbria Constabulary,Cumbria Constabulary,-3.211531,54.815739,On or near INGLEWOOD,E01019132,Allerdale 001C,Offender sent to prison
0e0d28acbe9cf6aaf1f715b69c8046dbad0c5c500215e7fc5477a4515282bc81,2014-12,Cumbria Constabulary,Cumbria Constabulary,-2.733175,54.308910,On or near KIRKSTONE CLOSE,E01019367,South Lakeland 006B,Offender given community sentence
445f92714ea8790b38676b2446b15167a76cbef7c35b1e3f842f95df54405f0b,2014-12,Cumbria Constabulary,Cumbria Constabulary,-2.960558,54.889556,On or near BALFOUR ROAD,E01019193,Carlisle 009A,Offender given community sentence
d522a74c4242282a294f3812a5e650eb108cb8d82461543d027c92114f51ab77,2014-12,Cumbria Constabulary,Cumbria Constabulary,-3.228233,54.110780,On or near MARKET STREET,E01019141,Barrow-in-Furness 008A,Offender given conditional discharge
898860860af5addb933f6b84f1129bb79c3047fa434bc04af747414304df77cd,2014-12,Cumbria Constabulary,Cumbria Constabulary,-2.931179,54.891942,On or near MARY STREET,E01019206,Carlisle 006B,Offender given community sentence
763647aafc17210d72dfcae80a59af49655fb2f4325e328eea760b5187fecccd,2014-12,Cumbria Constabulary,Cumbria Constabulary,-3.228233,54.110780,On or near MARKET STREET,E01019141,Barrow-in-Furness 008A,Offender given community sentence
539828bc7cea3d36480e769cff80975983d98052c1e0bbe196978469dbb2eebb,2014-12,Cumbria Constabulary,Cumbria Constabulary,-3.228233,54.110780,On or near MARKET STREET,E01019141,Barrow-in-Furness 008A,Offender fined
b5c6591804bb80530c42e9afa592bc15db4319272e3fe1f710ab5932ad0a279a,2014-12,Cumbria Constabulary,Cumbria Constabulary,-2.935065,54.892101,On or near BUSH BROW,E01019211,Carlisle 010B,Offender otherwise dealt with
fda4f87872dd05b1f9e440455ea729679fa55e0d2791a147e886f4bde621afee,2014-12,Cumbria Constabulary,Cumbria Constabulary,-3.409362,54.839046,On or near Parking Area,E01019102,Allerdale 003C,Offender fined
956d91a9ec6a71e518a0f174f98cfeec538dcc9ca4672e735e4ef5369ab357cb,2014-12,Cumbria Constabulary,Cumbria Constabulary,-3.583840,54.550617,On or near HIGH STREET,E01019280,Copeland 002B,Offender sent to prison
8f087321a07441c9f8d39a54c4e90515e79a1fcaafbf6a657297ad3120922813,2014-12,Cumbria Constabulary,Cumbria Constabulary,-3.565722,54.623331,On or near SALTERBECK TERRACE,E01019111,Allerdale 009A,Offender sent to prison
50218dfa23807311676b1936a71d4af350cf10fe8910b628f84881d6b26c2f32,2014-12,Cumbria Constabulary,Cumbria Constabulary,-2.908744,54.882981,On or near BRUNEL WAY,E01019222,Carlisle 011E,Offender given community sentence
b5d9607f4b9642ceccdd72affdd9956c134dd2f9469cdf35e55d203d464be8ad,2014-12,Cumbria Constabulary,Cumbria Constabulary,-2.958985,54.888940,On or near WIGTON ROAD,E01019193,Carlisle 009A,Offender given community sentence
70e0807272fe088be2464cef7a22e10c97fbc7d0ae063915e1f2c2582e07cf28,2014-12,Cumbria Constabulary,Cumbria Constabulary,-3.202852,54.114883,On or near MONKS BROW,E01019175,Barrow-in-Furness 007F,Offender given suspended prison sentence
d783287198e359bb290c2100753b6dc5d36d5a39ba26cc3da309cc2f9855ad44,2014-12,Cumbria Constabulary,Cumbria Constabulary,-3.230542,54.104536,On or near BUXTON STREET,E01019139,Barrow-in-Furness 010B,Offender given community sentence
273ecd5934b8eacfdb2f68f168458d38d0bb9838b10a6bcce010b1317b15c933,2014-12,Cumbria Constabulary,Cumbria Constabulary,-3.197891,54.111535,On or near GATEWAY,E01019177,Barrow-in-Furness 006C,Offender given conditional discharge
48eb3cec4a8ad311585b4826ae57078dbb3067dc1a6a7e2427eee63a561add28,2014-12,Cumbria Constabulary,Cumbria Constabulary,-3.222849,54.112857,On or near ALLISON STREET,E01019142,Barrow-in-Furness 008B,Offender given community sentence
4db0deb6b0d73dbba5e24812e8f56b57d6a4ba87eff4aae7daf761bd57872337,2014-12,Cumbria Constabulary,Cumbria Constabulary,-2.923480,54.887292,On or near LONDON ROAD,E01019211,Carlisle 010B,Offender fined
1a73a04035533993cd8c7a80bc2a0e6579e7db6f1e5d02dde4a1b8e80cb86695,2014-12,Cumbria Constabulary,Cumbria Constabulary,-3.562583,54.625870,On or near Supermarket,E01019111,Allerdale 009A,Offender given conditional discharge
05ff13a86d425fa176984850daeb67f0bc2699f94a5ee906547bbe40871e2a54,2014-12,Cumbria Constabulary,Cumbria Constabulary,-3.235180,54.114969,On or near Sports/Recreation Area,E01019156,Barrow-in-Furness 004A,Offender fined
3dae3f86ed7c1c37cc0c52c77a3fd335a0a405cbd5e9844f8d0c3d1cb4e1f044,2014-12,Cumbria Constabulary,Cumbria Constabulary,-3.498108,54.712095,On or near Supermarket,E01019115,Allerdale 004E,Offender given community sentence
67ec9b6fc7a8b1978878da0ccf71ed03ee5d7883bbaff1b27bfbd2137f4c5fad,2014-12,Cumbria Constabulary,Cumbria Constabulary,-2.983756,54.537646,On or near Park/Open Space,E01019339,Eden 005D,Offender otherwise dealt with
b316f5b3d31d1d8603473dc4ab9b97ad86802052952fdecb9acf6a70a09c3f0b,2014-12,Cumbria Constabulary,Cumbria Constabulary,-3.586654,54.549016,On or near DUKE STREET,E01019280,Copeland 002B,Offender fined
7da3fd233755fc133100243d044cde9314277fc8b2e951f686852d9945b5f5aa,2014-12,Cumbria Constabulary,Cumbria Constabulary,-2.936492,54.895819,On or near Shopping Area,E01019204,Carlisle 006A,Offender given community sentence
999a19796c4416aa1324ac769535b1d836d73cda32928ea9c521853a14f84c02,2014-12,Cumbria Constabulary,Cumbria Constabulary,-3.549603,54.643410,On or near OXFORD STREET,E01019121,Allerdale 009E,Offender given community sentence
79eb5546e1399b382ea54ed2c4ac84c3b4aa25ef20b65c40fe501fb6ff294d32,2014-12,Cumbria Constabulary,Cumbria Constabulary,-2.756470,54.659707,On or near CASTLE DRIVE,E01019333,Eden 003C,Offender fined
54bc087f82dfecac312ca91cd502c0887ce052255abe851b2fdf51102757b6b6,2014-12,Cumbria Constabulary,Cumbria Constabulary,-3.207393,54.111108,On or near CAMBRIDGE STREET,E01019172,Barrow-in-Furness 007C,Offender sent to prison
6ce70f6a668928b0cfae4d15607f383ee0dac39340f8d8fe260b7e8cbc426ffe,2014-12,Cumbria Constabulary,Cumbria Constabulary,-2.908744,54.882981,On or near BRUNEL WAY,E01019222,Carlisle 011E,Offender given community sentence
63946f67b0d9213aad9f34cfd5d90f7d30f8b0cd8e80a9f507d324bd48c1d0ea,2014-12,Cumbria Constabulary,Cumbria Constabulary,-3.560684,54.645865,On or near LAWRANCE STREET,E01019122,Allerdale 008C,Offender fined
dac1205cf34ed7af17b7f9a2aa1c11238b615ccb7d7f8dce0c373e2d7aeb17b2,2014-12,Cumbria Constabulary,Cumbria Constabulary,-2.933827,54.893162,On or near FRIARS COURT,E01019206,Carlisle 006B,Offender fined
fc0d176a190066167101df3b407f47830694ef7b75326c45cdd648e5a3109cc6,2014-12,Cumbria Constabulary,Cumbria Constabulary,-3.202852,54.114883,On or near MONKS BROW,E01019175,Barrow-in-Furness 007F,Offender given suspended prison sentence
