Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b039f633d72b37a9eff9f398cf0b3a3f0368e039fbef46a1c30671c4459e4fb9,2014-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.484236,53.022802,On or near Supermarket,E01019407,Amber Valley 010A,Offender sent to prison
e7ae1a5c626d452355310ef2181ebfa74c8e47fcb88e07b1f510740904afb4d9,2014-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.428937,53.250926,On or near Petrol Station,E01019569,Chesterfield 007B,Offender sent to prison
1a50f4ad3682c06aa69e99c2078b3bdbc04d4dddce7be51d283706765e178ca7,2014-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.430252,52.915277,On or near STEPHENSONS WAY,E01013512,Derby 012F,Offender sent to prison
cb707cab072fa2420222dcc44862f31eefbeccc306a2cfc8d31d62af50dbd9df,2014-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.560569,52.772628,On or near WEST STREET,E01019877,South Derbyshire 009B,Offender otherwise dealt with
fa8899ffe730a7b6676cb79a2f8f97c678cfc866b6f9af75250d160b87c9f868,2014-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.477764,52.921617,On or near VICTORIA STREET,E01013479,Derby 013F,Offender sent to prison
8599057077634164344924771afbffcc74351f61dfad3aa002a3e584d6ebabe7,2014-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.484236,53.022802,On or near Supermarket,E01019407,Amber Valley 010A,Offender sent to prison
56e3d836ee961aca6230f204629f3056b07ab193dba4ee590a78466c03f53429,2014-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.481294,53.023275,On or near KING STREET,E01019407,Amber Valley 010A,Offender sent to prison
c8a0433c257551bc69da581ac88183a86fbe8b79067c571ce83b9fe3bd0041df,2014-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.472799,52.920193,On or near Shopping Area,E01013479,Derby 013F,Offender sent to prison
32078725fbe53bc4683b5b661877e6bb6943d8c4f20130f7b78bc2da3990084a,2014-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.274304,52.899514,On or near FLETCHER STREET,E01019647,Erewash 012A,Offender sent to prison
2b4d898ac103ae4ae1bee12b01ab0b52d5159b7f00df39223256dbfe5f264989,2014-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.474645,52.918781,On or near Further/Higher Educational Building,E01013480,Derby 016A,Offender given community sentence
8f2205181533b2265810f5c427d9dce02b1742d5c0eda38ee541114db6f53b37,2014-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.457634,52.929276,On or near LOTHIAN PLACE,E01013536,Derby 007C,Offender given community sentence
b6328b731c4c3fb72474b16b01c059678935c7e9072e40468ad7752730e79426,2014-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.507188,52.921267,On or near Petrol Station,E01013455,Derby 017A,Offender sent to prison
96e28d173ce2207209b21992014f504a6f78f8ec454e059d89a41da313ff1dcf,2014-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.372872,53.040183,On or near NOTTINGHAM ROAD,E01019420,Amber Valley 005A,Offender given conditional discharge
8bef2672eeff25020108d5aedace59531363a2f157ee7685092b715877584217,2014-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.291730,52.905705,On or near BRIAR GATE,E01019650,Erewash 010C,Offender sent to prison
4854d40fe0732a86911b62a2886521ebf9001094794e94fddd9a42850872f08f,2014-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.275973,52.902841,On or near BRIDGE STREET,E01019647,Erewash 012A,Offender sent to prison
564d1d87ed743fe1f5ff1c062535593690ab52fbc2d7d59e0ab4e123fcd8e500,2014-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.446656,52.931500,On or near HOLLINGTON CLOSE,E01013537,Derby 007D,Court case unable to proceed
1a50f4ad3682c06aa69e99c2078b3bdbc04d4dddce7be51d283706765e178ca7,2014-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.430252,52.915277,On or near STEPHENSONS WAY,E01013512,Derby 012F,Offender given community sentence
0c454ca34b08cba8dbcabaced9752c5277823f5abfa69821811f3ca46ef4c616,2014-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.357433,53.016225,On or near Supermarket,E01019431,Amber Valley 012A,Offender given conditional discharge
a2247be5519ecfdbb6a71dcf070e62b847147119bd045b3a4738da23833bff40,2014-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.420741,52.928113,On or near JOHN F KENNEDY GARDENS,E01013508,Derby 012B,Offender fined
6695272d26d1fac2323d32800203bf3b85dbe8d314a61a4f03533f14b9121e04,2014-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.494546,52.872671,On or near JESOP DRIVE,E01019874,South Derbyshire 003B,Offender fined
3729f44279701c5030fe78aeaae03c7ac21b19483314f2e49ee42a557a074626,2014-12,Derbyshire Constabulary,Derbyshire Constabulary,-1.425896,53.234013,On or near C DIVISION POLICE HEADQUARTERS,E01033387,Chesterfield 010F,Offender fined
