Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7841135b114551981ef2a44acdf1398b56f4794645d94876f880f1b9eafc1185,2014-12,Humberside Police,Humberside Police,-0.342632,53.745311,On or near BURDEN STREET,E01033104,Kingston upon Hull 029E,Offender given community sentence
799e5d62acb01b5b0b9e1a16d248babdea0f1af63f2495f21a592d853e98ed83,2014-12,Humberside Police,Humberside Police,-0.361866,53.764651,On or near MANVERS STREET,E01012870,Kingston upon Hull 018E,Offender given conditional discharge
8adecd9c01a880b5e1a1f473af88149753fa0a0ac6d0d10d09fde005666fe9cc,2014-12,Humberside Police,Humberside Police,-0.349481,53.745442,On or near Supermarket,E01012851,Kingston upon Hull 029A,Offender given conditional discharge
d8ed5391ecf37ef32978f298ec933296d99a7d9bfe9a219ade270af23fa02a49,2014-12,Humberside Police,Humberside Police,-0.361991,53.740391,On or near WESLEY COURT,E01012891,Kingston upon Hull 030C,Offender fined
7f6ab7446676c8fe132b20148243518e3239b5ce0a17ba97e65bef906f7f2f28,2014-12,Humberside Police,Humberside Police,-0.336626,53.742253,On or near POSTERNGATE,E01033104,Kingston upon Hull 029E,Offender sent to prison
49481867cbc674e57a2625560334b4fe105b196179a2a134ba57724c1b4b9231,2014-12,Humberside Police,Humberside Police,-0.339833,53.766289,On or near Sports/Recreation Area,E01012871,Kingston upon Hull 015D,Offender given community sentence
4a5ad2a457decfbab044d75561349e102a00bddcc526a713759df6c9a368733d,2014-12,Humberside Police,Humberside Police,-0.326950,53.750316,On or near EGTON STREET,E01012809,Kingston upon Hull 026C,Offender sent to prison
fac8f3ab40495655e2c8cc3d225fcac01fea71da8172b4c08e47d168a4e3656e,2014-12,Humberside Police,Humberside Police,-0.339833,53.766289,On or near Sports/Recreation Area,E01012871,Kingston upon Hull 015D,Offender sent to prison
945dbc7029d3e9175dca4a04ddc59150ff36fa1154acfe3a6820f03d30cbc54b,2014-12,Humberside Police,Humberside Police,-0.656109,53.574977,On or near ASHBY ROAD,E01013316,North Lincolnshire 012C,Offender sent to prison
aabab1289b925ffff38286a589a1002134f6cd85d0e68e449ce69e22cd77bf3a,2014-12,Humberside Police,Humberside Police,-0.646632,53.592246,On or near Shopping Area,E01013330,North Lincolnshire 008D,Offender given community sentence
35d3cf89b495084207ce212303599404e4c8e6b02fe98e8c3f11e76275893456,2014-12,Humberside Police,Humberside Police,-0.684636,53.565325,On or near Supermarket,E01013280,North Lincolnshire 016B,Offender given community sentence
584cb63ed4544c2f077f30918aa4ef2ca4508f330f7663749b078d8864efb334,2014-12,Humberside Police,Humberside Police,-0.373347,53.734136,On or near CANOPIAS CLOSE,E01012889,Kingston upon Hull 030B,Offender fined
ac1b70d14779ebc95e44df08ef8daf4aebb86692fcec0f2766e5698ab10b59cb,2014-12,Humberside Police,Humberside Police,-0.346599,53.745087,On or near Bus/Coach Station,E01033104,Kingston upon Hull 029E,Offender given community sentence
6a3f4b5d1954838f8a9e793b8a21a492af396b6f68439dece559092b278a5a05,2014-12,Humberside Police,Humberside Police,-0.225808,53.612591,On or near AIRE CLOSE,E01013178,North East Lincolnshire 001E,Offender given community sentence
db91b13b608948de3f8846093ac2b1ad33674c9231ee0176d19fb7f3bdd0c445,2014-12,Humberside Police,Humberside Police,-0.313861,53.752578,On or near Parking Area,E01012805,Kingston upon Hull 026A,Offender sent to prison
3283525a4484091da6d06d4714133c2e014b9da346b1ed38f480f0bf7f522177,2014-12,Humberside Police,Humberside Police,-0.339833,53.766289,On or near Sports/Recreation Area,E01012871,Kingston upon Hull 015D,Offender given community sentence
7f6ab7446676c8fe132b20148243518e3239b5ce0a17ba97e65bef906f7f2f28,2014-12,Humberside Police,Humberside Police,-0.336626,53.742253,On or near POSTERNGATE,E01033104,Kingston upon Hull 029E,Offender sent to prison
986e0c9760a6c0123354de3c110cea8471a4559924b9908ada3006072adc7684,2014-12,Humberside Police,Humberside Police,-0.348587,53.796443,On or near BROADWATERS,E01033105,Kingston upon Hull 001F,Offender sent to prison
700bd403981f575ce73724be9806f8331f212de3e314705acea23d3961e3783d,2014-12,Humberside Police,Humberside Police,-0.285824,53.759102,On or near ALDBOROUGH GROVE,E01012895,Kingston upon Hull 017D,Offender sent to prison
bb91795e77e0b1ae3ca8bd13ac812706e1e92e98dae9593aa069b30d542ca46c,2014-12,Humberside Police,Humberside Police,-0.343300,53.745671,On or near Shopping Area,E01033104,Kingston upon Hull 029E,Offender given suspended prison sentence
ef4be014f82c46c8fb60833994b73b9b6727f575b68d773711240fd381b72bf5,2014-12,Humberside Police,Humberside Police,-0.373600,53.742895,On or near GRANVILLE STREET,E01012859,Kingston upon Hull 030A,Offender given conditional discharge
e15c9e9fcdc253d39aed9c47542f6f71e79e0a1e7970533150769eea7522dbb9,2014-12,Humberside Police,Humberside Police,-0.343300,53.745671,On or near Shopping Area,E01033104,Kingston upon Hull 029E,Offender given suspended prison sentence
