Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
65e82d9cfa76fe56d1c2681fa99ce31ec2eeb61d2c088a6a6ba568c3e4360c6a,2014-12,South Yorkshire Police,South Yorkshire Police,-1.485352,53.378078,On or near FILEY STREET,E01008115,Sheffield 074B,Offender ordered to pay compensation
605559b4601b6e25bbd90e9f1ce88f2b748178d60e6e97713e9fcd44842823b0,2014-12,South Yorkshire Police,South Yorkshire Police,-1.149462,53.507403,On or near BALBY ROAD,E01007494,Doncaster 023A,Offender fined
afcc6c8707bb4d78d2ab31f881241657289073931a93cf2f2ddcc762ffce50c9,2014-12,South Yorkshire Police,South Yorkshire Police,-1.456042,53.409750,On or near Hospital,E01007942,Sheffield 020D,Offender given conditional discharge
2f7e5edce8bade1d876a11eaa1562e29dea49c950ec0774104eb74d9da887009,2014-12,South Yorkshire Police,South Yorkshire Police,-1.453264,53.407032,On or near BLYDE ROAD,E01007942,Sheffield 020D,Offender given conditional discharge
11a323b3201edb400f3885d5942569a99818dac7d4780c81f0f1880e9f0d52ff,2014-12,South Yorkshire Police,South Yorkshire Police,-1.438815,53.500177,On or near Supermarket,E01007391,Barnsley 030C,Offender sent to prison
53b8679c4eaeab50ab326123a9362f5eb1e931817a3d594f2e1933eb1a43cdcd,2014-12,South Yorkshire Police,South Yorkshire Police,-1.315394,53.368955,On or near WALPOLE GROVE,E01007668,Rotherham 030B,Offender given community sentence
fa3c06262ee39b1886b09aea2ad8c6bfb7b3ab0485f768aea223b2b27582675e,2014-12,South Yorkshire Police,South Yorkshire Police,-1.099682,53.536198,On or near Supermarket,E01007565,Doncaster 018B,Offender fined
d3c47fa32bb4cce53f3d90c715c333fa1848c679461068f935e9d5b7f46541ea,2014-12,South Yorkshire Police,South Yorkshire Police,-1.136715,53.524004,On or near Shopping Area,E01007645,Doncaster 022E,Offender sent to prison
2cfb9fc1126bdc678516fe5174277e97720598f7878734778775ec73ee970794,2014-12,South Yorkshire Police,South Yorkshire Police,-1.485848,53.557752,On or near WESTWOOD COURT,E01007336,Barnsley 013A,Offender given conditional discharge
98eac3e76f8eb68d744d698d15219aad904e2b6f662d191ec6a6bc6bfcc376e6,2014-12,South Yorkshire Police,South Yorkshire Police,-1.102471,53.516300,On or near Supermarket,E01007526,Doncaster 025D,Offender sent to prison
59120d577d22a9e5e4a04784cf4f6d146826337f58bf645bbf93543c014dc7f3,2014-12,South Yorkshire Police,South Yorkshire Police,-1.468183,53.383135,On or near YORK STREET,E01033264,Sheffield 073D,Offender given suspended prison sentence
52015f6f315470e55280a2cdcff395b527a376e8d41dadd8b1a7e946e06d343f,2014-12,South Yorkshire Police,South Yorkshire Police,-1.508703,53.407623,On or near ROLLIN DRIVE,E01007992,Sheffield 021B,Offender given conditional discharge
7a28b31703bf887a6528841c63a5a0cec6790094d7874a9d6a5d3133aa6d3dfa,2014-12,South Yorkshire Police,South Yorkshire Police,-1.481114,53.551027,On or near Parking Area,E01007340,Barnsley 013B,Offender given community sentence
0d356289ca623535f482fad4316374ff492ac930636f72a0b982aceee0013647,2014-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given community sentence
685fb7c6cd2cad814ce5c15a99c01f32173eb4870becf0e597381dbc5deff4de,2014-12,South Yorkshire Police,South Yorkshire Police,-1.491400,53.469806,On or near HOLLAND ROAD,E01007900,Sheffield 003F,Offender given conditional discharge
97348752aa024bf1644d51dff8ccca577d81ad532e7e5a103a43dd7a306d0ede,2014-12,South Yorkshire Police,South Yorkshire Police,-1.268609,53.437298,On or near REASBY AVENUE,E01007692,Rotherham 012C,Offender sent to prison
90f93bb6c8601c536577d47c4928337c602ea37ef2794ceee9ffb76c9f53522a,2014-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender sent to prison
b50ca196d793c72b8a56f8f9735f1d007567fb67d536ea9842395418cd09b335,2014-12,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender sent to prison
