Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d89cc2f66be4074e00196871c3294c47704b637bbb970ef6615e5b1b7a48a2dd,2015-01,Greater Manchester Police,Greater Manchester Police,-2.258936,53.376172,On or near SIMONSWAY,E01005313,Manchester 053A,Investigation complete; no suspect identified
3e7142634fc20e55b8eed91252d0be861af9cbc0b789d9d2124f945d23fed2ce,2015-01,Greater Manchester Police,Greater Manchester Police,-2.091944,53.538966,On or near KEW ROAD,E01005430,Oldham 022E,Investigation complete; no suspect identified
df43b1c4f6e594b7a05b160b1f6ddfeb561e2928f2d1c8b4b17320d77c1aeb21,2015-01,Greater Manchester Police,Greater Manchester Police,-2.125927,53.570430,On or near DOGFORD ROAD,E01005390,Oldham 004A,Investigation complete; no suspect identified
b8a037fd5209709a93b58fa225763484819f7711935caed5078a4951c80a3b5e,2015-01,Greater Manchester Police,Greater Manchester Police,-2.110061,53.536982,On or near Shopping Area,E01005326,Oldham 022B,Investigation complete; no suspect identified
61558e4572916d0e84752a9e84ab858b4bf4d43045df124ea6088aa1cf8be269,2015-01,Greater Manchester Police,Greater Manchester Police,-2.313361,53.365444,On or near CASTLEWAY,E01006136,Trafford 028C,Investigation complete; no suspect identified
439141eddeb24b805486326ebf54ae209d3969d2d8f69f716350ee8c175eb38e,2015-01,Greater Manchester Police,Greater Manchester Police,-2.269503,53.461675,On or near NORTHUMBERLAND ROAD,E01006185,Trafford 001E,Investigation complete; no suspect identified
902e0089b69343dd79d65f0e56dc2dc5067414408c915d95f44c669a33cc95ac,2015-01,Greater Manchester Police,Greater Manchester Police,-2.267735,53.463243,On or near FARWOOD CLOSE,E01006185,Trafford 001E,Investigation complete; no suspect identified
7be85cf9dab2a08b954fc2ba47232ec346b33ce9f8fc33390716acf6e092fed0,2015-01,Greater Manchester Police,Greater Manchester Police,-2.413995,53.547326,On or near FIR ROAD,E01004872,Bolton 029B,Investigation complete; no suspect identified
8c66bd06d6f05ef1df97433978502b31c434f7acc0b65c0db7aaf619aec9a33a,2015-01,Greater Manchester Police,Greater Manchester Police,-2.275137,53.461887,On or near TALBOT PLACE,E01006188,Trafford 001F,Local resolution
92cd388e26903b94794d8bf6204f29017102351e528d2dc9d039add159a8da50,2015-01,Greater Manchester Police,Greater Manchester Police,-2.279735,53.526611,On or near CARRIGART,E01005036,Bury 024C,Investigation complete; no suspect identified
