Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fab24cb84d0ed2d52cf4bcbab3cdfd947183d4755bda84415515547959596372,2015-06,Surrey Police,Surrey Police,-0.358982,51.380391,On or near WOODEND,E01030369,Elmbridge 009D,Investigation complete; no suspect identified
a768edeaee3cd0a3765a494e096f7e4f9d0aa96435cebed82d579389f1911986,2015-06,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
916b40ea4b9ba8f6890453f11095e9bfd0e3bbf3f76c6afe848a44db41f20396,2015-06,Surrey Police,Surrey Police,-0.504604,51.463261,On or near COLNE REACH,E01030747,Spelthorne 001D,Offender given a drugs possession warning
89839cbb209b3ab0fde3e7cb5d1d873521d0516424b4beef52cfd981b814bc3f,2015-06,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
924646e5ec631308e1bc4d5b75932fc5b655756b604dc88fea7847264ac54261,2015-06,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
8673897af7602572f596e368c3e45c45c7dd3a73c63e8d3c0cd3f14633f030dc,2015-06,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
d9c04579ce36c8e2cabb8ba794decc08b6f280ba37ea781d6d4113b7017bc1e6,2015-06,Surrey Police,Surrey Police,,,No location,,,Unable to prosecute suspect
48e6d70340e0873d22508579f88827f3ac16aec38f17234fd17926f5b77e6a0f,2015-06,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
2f05af3a2c8ea9dde515a443be4b9b5950b7ac388f399033962c5c8aa6f8c382,2015-06,Surrey Police,Surrey Police,-0.515702,51.434457,On or near BRIDGE STREET,E01030735,Spelthorne 004B,Offender given a drugs possession warning
b4de79546057141453172a0c3e6116580401fee762dba9399a96ad92b58bcaca,2015-06,Surrey Police,Surrey Police,-0.173516,51.217917,On or near MAPLE ROAD,E01030570,Reigate and Banstead 014A,Offender given a drugs possession warning
9c278496b533e89934fff0dfc00b8378ef19eba44d3ab1f5123b1bfea22297bc,2015-06,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
0aa8dc24892f3d5fb7caf745b79edabbda48bdbe8d2e6f17d68fdf9e23da5d6c,2015-06,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
eb880c4e268422590db69ae7f529c84e5a5a4613a25f586454246fb841b869d3,2015-06,Surrey Police,Surrey Police,-0.331733,51.299011,On or near OAKS CLOSE,E01030549,Mole Valley 003B,Suspect charged
c84265154d3c7dde1620f785795e94acfa814e5b69b665d6408fe0c396a127ea,2015-06,Surrey Police,Surrey Police,-0.456686,51.432373,On or near FELTHAM ROAD,E01030702,Spelthorne 005B,Investigation complete; no suspect identified
828f3acd52df7d12295e29439e8a9718ca2f34b27ac5d4d171a2500d6630d7b6,2015-06,Surrey Police,Surrey Police,-0.418901,51.408399,On or near FAIRLAWNS,E01030720,Spelthorne 011D,Investigation complete; no suspect identified
31867e985ecffba5bc14f5f57e845e96766d473c470553cf0a59902e38616dc5,2015-06,Surrey Police,Surrey Police,-0.230047,51.346681,On or near GOMSHALL ROAD,E01032624,Epsom and Ewell 010F,Offender given a caution
c952807aba6442babe17a9a428a55b5e5f5d1fa9da3219ca86eb9206e389a634,2015-06,Surrey Police,Surrey Police,-0.085656,51.284050,On or near Hospital,E01030847,Tandridge 005B,Investigation complete; no suspect identified
8aa71f514b57e073b42f97ace7d93e96bf0795fbd617bc9a717fe579f2a4c7a2,2015-06,Surrey Police,Surrey Police,-0.369211,51.399841,On or near PRIORY LANE,E01030337,Elmbridge 003D,Local resolution
a505f7cea2cf8ebcf3880170e5250fb6ecb7aa86f2f53a1e73d938ae7558f78d,2015-06,Surrey Police,Surrey Police,-0.554148,51.428355,On or near THE CRESCENT,E01030670,Runnymede 001D,Suspect charged
b8412b26df2a1064ee31f63ffc870adfe40a14e6972bdc03f15f5987e8ccf695,2015-06,Surrey Police,Surrey Police,-0.257520,51.342039,On or near Petrol Station,E01030410,Epsom and Ewell 007F,Suspect charged
4579ba46c7eebb7d66ea13dda97b47abd5c89b2a4f6f64235fa5a1544393f33c,2015-06,Surrey Police,Surrey Police,-0.417392,51.391293,On or near DUDLEY ROAD,E01030358,Elmbridge 007B,Investigation complete; no suspect identified
38815e8aea7f0c8af04eb2be31fabd02ce0f5647acc50ba79d1d4b694840e4a8,2015-06,Surrey Police,Surrey Police,-0.011301,51.238888,On or near BROADHAM GREEN ROAD,E01030843,Tandridge 007D,Investigation complete; no suspect identified
76ca75cb73c1ae655388a901565b8f49a99d3408070a3fb207df6d8c05a165c3,2015-06,Surrey Police,Surrey Police,-0.725441,51.309245,On or near GLAMIS CLOSE,E01030771,Surrey Heath 011B,Investigation complete; no suspect identified
