Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5375ee10a7cdec6f0655e8bd2dc31cc1585acdd85dda3104f108ffc077d263ef,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.175765,52.322552,On or near POST STREET,E01018132,Huntingdonshire 014B,Offender sent to prison
ec9c80dcde8fc84f8b43a2f4edfa5ae414cac87aa9e6216aca50cb686e9dd826,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.211290,52.179918,On or near HUNTSMILL,E01018242,South Cambridgeshire 011A,Defendant found not guilty
39a99e5380485942a6b63aa4837108d05ff18fc2e18d5c409ca63a46edc240dc,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.246622,52.607842,On or near RECTORS WAY,E01015659,Peterborough 003C,Offender given community sentence
9b85ee3ecd7fc5d0c64aebaac3fadacaf2a2b1f3f234e536da393230f34f7129,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.184631,52.333928,On or near ASHTON GARDENS,E01018138,Huntingdonshire 012A,Offender sent to prison
502f707137c9f063f1a70f89d9385b701fe13a7cac9eab99671ef9692484d474,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.155394,52.187679,On or near Shopping Area,E01017969,Cambridge 010E,Defendant found not guilty
dd55f866f79c464b2e8fdbe807391bdde156cebf58ca9da31c9182dd9a889993,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.223303,52.585556,On or near SHIRE GROVE,E01015615,Peterborough 013E,Offender given community sentence
a81ad6cfd8b959f2e0fcf496443c727089dfbdc4e0b8f9dc2f5ecd9e1d54bdb4,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.285560,52.594395,On or near BARNSTOCK,E01015594,Peterborough 011C,Offender given community sentence
96e7db807fd7b0947a6fd6abc639d66e8260818ec0502888ce22fd986d8fc5e1,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.183361,52.329476,On or near Parking Area,E01018151,Huntingdonshire 012E,Offender given suspended prison sentence
52855eeb1c40dacd42be9f59d765564f63375224e7bab6cabd93a50210644860,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.291970,52.459738,On or near QUEENS ROAD,E01018046,East Cambridgeshire 001E,Offender given suspended prison sentence
02d2acb27ea918816015229f567283dd5b3b40fd73c86c6a4c3bd7198c8a77c6,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.183361,52.329476,On or near Parking Area,E01018151,Huntingdonshire 012E,Offender given suspended prison sentence
80d3eb56d199d00a8c09547adc4715cef6f42271f2197ec5c7f80cd609a7c1a0,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.121322,52.281686,On or near FOUNDRY CLOSE,E01018235,South Cambridgeshire 002C,Offender given community sentence
9b4bdfbc2203f72b50dcbeb428211d649be46e8f24f566a2688dbaa09896f47c,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.177122,52.666762,On or near HOLMES DRIVE,E01018104,Fenland 003G,Offender sent to prison
168f79db8d3cef051aefb1432c8999ebdfd876d830fec70c519af717039bea99,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.144980,52.219943,On or near DALTON SQUARE,E01017974,Cambridge 003E,Offender given suspended prison sentence
05a89e7faa750300a7b33b032d7bd74e955b8b4c52dda0337d7f956d22518a31,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.176818,52.495327,On or near CHARLEMONT DRIVE,E01018076,Fenland 010B,Defendant found not guilty
ee4c0509595c28425f3f5333843aa4a745407e0754d84bee13243c414f43fd7a,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.160838,52.212154,On or near MALDEN CLOSE,E01017946,Cambridge 006D,Offender fined
1c84c59b5da5bb92523244d94491582a98f9feaf6cedf3083442c62c2edd0bde,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.232787,52.578766,On or near WHITSED STREET,E01015612,Peterborough 014D,Defendant found not guilty
1c9cd96ea5f88b6fd04ff0c2c64dc149614f92772498c224522548bf02b04331,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.284534,52.591935,On or near FLAXLAND,E01015594,Peterborough 011C,Offender fined
dd43bec9fff1492a073d4da7ae75dab78ce8c8d504fc2ecc718b5c401b0b21d2,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.158364,52.651955,On or near BRITANNIA WAY,E01033111,Fenland 003H,Offender given conditional discharge
345132afe7e2ea1fe9b90b0d54dc1851e17478c4185f71c5453f41a368ef628f,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.240331,52.586071,On or near QUEEN'S DRIVE WEST,E01015654,Peterborough 012E,Offender sent to prison
ffd1debbcbc5452d920f4e920d69648bd95c9ec0a13226921e0ebe80b6b9c1c6,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.264740,52.536892,On or near ST EDMUNDS WALK,E01033174,Peterborough 022C,Offender given conditional discharge
dd42c50562c386852cb1d957dfa2f3c25d528a4df89bce25a9828ed0de567bcf,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.296389,52.545875,On or near STAGSDEN,E01015641,Peterborough 021D,Offender sent to prison
332e8971a07947a136ae05c448d43a395f5db8725bf86c5841e7db3cf6e80348,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.136876,52.218264,On or near Hospital,E01017973,Cambridge 003D,Offender given community sentence
b92c733839f8a79348e4dd9e33c1c19c10c8e0b6c2ddb1fabae0cf9c7aeefa6d,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.159179,52.208138,On or near WHITEHILL CLOSE,E01017947,Cambridge 006E,Offender given suspended prison sentence
3ed823be22b83105f9b8476c4569481167ffd8346479e0825b6da653d995636f,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.053774,52.215646,On or near BRACE DEIN,E01033119,South Cambridgeshire 020E,Offender given conditional discharge
125006b3028d8c5a10b661c3785a8fb6ce7117d03542f504615fc79269e1d2e3,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.179832,52.336417,On or near HORSE COMMON CLOSE,E01018143,Huntingdonshire 008A,Offender fined
178b1cd27e841fdda7f411dd12f11dd9e7f91562628213fec65fcc4156483543,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.144980,52.219943,On or near DALTON SQUARE,E01017974,Cambridge 003E,Offender given suspended prison sentence
592e9022ba823cc8309441b30d94080972b5948121b8e075462cada35fa20a3f,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.188091,52.186771,On or near Supermarket,E01018243,South Cambridgeshire 011B,Offender given community sentence
acd27f59c9dc91e72c0bd75a6f3c1eb02c2454e699b6d9536afcc95fa896dfa8,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.127190,52.207352,On or near SHORT STREET,E01032797,Cambridge 007G,Offender given community sentence
778358ab0d949769e0c44df8c9f4d825b37c282fbd385534055867eec3916e0f,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.253953,52.575385,On or near MIDLAND ROAD,E01015688,Peterborough 016D,Court case unable to proceed
dcd676828aa943b82f1a20798cd08b847dd7334738931397e0f88c0ec1a8a8ac,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.078907,52.217047,On or near ORCHARD WAY,E01033118,South Cambridgeshire 021E,Offender given community sentence
a86d7726ac094d0b9843dc35816115e08c1a2079bf8ecf068b8f89480b025970,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.236398,52.573731,On or near ST JOHN'S STREET,E01015612,Peterborough 014D,Court case unable to proceed
11a634c055ddc1923034697ab6d061b45cb7510ea29a6f65c942f097dbe234d5,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.246622,52.607842,On or near RECTORS WAY,E01015659,Peterborough 003C,Offender sent to prison
ad560677ef232ea6740822ad4037165257e452a5abc829df28f30e5f18f88bf4,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.185724,52.610845,On or near CROWLAND ROAD,E01015619,Peterborough 005C,Offender given community sentence
7a0e10d2fae64d1e359b48016166396cab91618afe3e7bc2390c16fa0173adae,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.288167,52.618798,On or near DAVID'S LANE,E01015686,Peterborough 006E,Offender sent to prison
0b2d510c05fdab4aa46d098ebdc073357464e6b1912188cbef8ce5b422b792d7,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.020358,52.210289,On or near ROUND HOUSE CLOSE,E01018231,South Cambridgeshire 010A,Offender otherwise dealt with
d5f788bbfbd906d496b20bd45ece65192e01754b7175549e8bf79599ac035430,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.246899,52.586843,On or near Supermarket,E01015601,Peterborough 012A,Court case unable to proceed
64afb2d4ecf5cf9c07dc2cf15237dcc4670b2e66ad3710389af3b9347fad2e4a,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.123160,52.202956,On or near Further/Higher Educational Building,E01032797,Cambridge 007G,Offender sent to prison
ed1e4819c68207d6deb8a393432a64d6f904529646ff22dd5402b4599972d5e7,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.284534,52.591935,On or near FLAXLAND,E01015594,Peterborough 011C,Offender sent to prison
6492e56a35244dde04d3a25adcd7bf716fefd3830d37f766a50532c4162cd45a,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.257627,52.593268,On or near BRASSEY CLOSE,E01015632,Peterborough 010C,Offender sent to prison
9b628bd425d1c317f894d8ba007e59812f14344635891a50b466de03fa05319e,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.295734,52.573063,On or near A1260,E01015598,Peterborough 015A,Offender sent to prison
e9a2a6b6668c984f28d7a8679a8d06da3e116692afdbbf150383f93fb9f8cd8f,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.174579,52.189296,On or near CHARTFIELD ROAD,E01017964,Cambridge 011F,Offender given community sentence
8374508db9d51314de4e84a4586b154fade12ce5b46d6e06734a5f31a6e88e88,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.124870,52.232347,On or near MONCRIEFF CLOSE,E01017979,Cambridge 001E,Offender given community sentence
69d8161933a44a211c1a555d5a0f6d9fa43f63d680684a7d5bf88f84f1a0f73d,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.227867,52.574134,On or near GLENTON STREET,E01015612,Peterborough 014D,Offender sent to prison
2ff2576c8149e27e8fbf91a0dda76f361bb88a7b6117cd774fc02153fd8b98af,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.243649,52.575080,On or near Shopping Area,E01015602,Peterborough 014C,Offender sent to prison
736288b613f5a59098e77a54852ee76743c1717e5df8861d17eb53c7579a9d36,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.143759,52.229865,On or near LOVELL ROAD,E01017976,Cambridge 001B,Defendant found not guilty
4ff447405e45655b9c705d7b7faa2b1cce6ea0a1b68b62cfe1f367dc82da318a,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.241137,52.574809,On or near Supermarket,E01015599,Peterborough 014A,Defendant found not guilty
f49c2c5cfdb8e390cd867191d80f13592e58562d2b1b53fce265d6f7d017f279,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.243552,52.606304,On or near PASTON RIDINGS,E01015658,Peterborough 007E,Offender given suspended prison sentence
1aa4e5f0164b16855917a2169c7b13066f16d977bbabf3892d36e4ff1ea16b96,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.272955,52.593942,On or near WILLONHOLT,E01015661,Peterborough 010D,Offender given community sentence
c8e80aa9d336ac150aa7db88422bfc65c8e02e848fcd6e53ff48ad37d6f6a154,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.268365,52.561301,On or near BARFORD CLOSE,E01015650,Peterborough 022B,Offender given conditional discharge
04b8b9902460c284f1f62471b38b6fb219fd2e2d577cd5752e0c069bb14d69b8,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.079999,52.546764,On or near ELLINGHAM AVENUE,E01018087,Fenland 009C,Defendant found not guilty
198417bcb021aa55509335be8d645a2044637957e7e80e872493767064684022,2016-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.179808,52.335589,On or near HORSE COMMON LANE,E01018143,Huntingdonshire 008A,Offender given suspended prison sentence
