Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0fafa8cc769918ef204ea2b8faf6d74e32e9aa9453f5e2787d591840212a5632,2016-03,Northamptonshire Police,Northamptonshire Police,-0.731242,52.400608,On or near Supermarket,E01027110,Kettering 007B,Defendant found not guilty
eefbe55beb47bb89e1dc9e5316fe9d202b52c55c7353c858a4aad8bcfc88927c,2016-03,Northamptonshire Police,Northamptonshire Police,-0.725296,52.400382,On or near TORDOFF PLACE,E01027110,Kettering 007B,Defendant found not guilty
8cb794f957a68feb68ef9f5e941a4d266c2bb58bbf4069c23894ef9dac94e0e0,2016-03,Northamptonshire Police,Northamptonshire Police,-1.170927,52.280521,On or near HARDWICK HALL WAY,E01026990,Daventry 006C,Offender sent to prison
ae077f026a32a113581e9f2d7831846ce7ff99886d99de3b19458d1fcdbb17c8,2016-03,Northamptonshire Police,Northamptonshire Police,-0.716003,52.293570,On or near WILBYE GRANGE,E01027351,Wellingborough 006C,Offender deprived of property
87937acdbfc9dea8f58a9a3c66f473bca1e9fa8722bbe08755d447f9dc680cab,2016-03,Northamptonshire Police,Northamptonshire Police,-0.656119,52.336689,On or near WELLINGBOROUGH ROAD,E01027326,Wellingborough 001A,Offender given community sentence
ab8dfd0bd9e86ab50b3e67a429d8baa053677b0494089352c53ddd22ef117bd9,2016-03,Northamptonshire Police,Northamptonshire Police,-0.897924,52.271816,On or near BLAKESLEY CLOSE,E01027147,Northampton 003D,Offender sent to prison
e04258b927ef1eeaca6dc6ba1c718ba8f256b7b0d432b23f99d736216e527388,2016-03,Northamptonshire Police,Northamptonshire Police,-0.589304,52.291082,On or near SYCAMORE CLOSE,E01027058,East Northamptonshire 009A,Offender given suspended prison sentence
69bec6a26e7b5c1207a6a13c73d5ce8896727d1576d974f9fd806aa319b4a677,2016-03,Northamptonshire Police,Northamptonshire Police,-0.720164,52.399949,On or near ALBERT STREET,E01027110,Kettering 007B,Defendant found not guilty
304aedbafd79da361199848191cd0d07c06f9aad5e1ee1d52835181772e4b156,2016-03,Northamptonshire Police,Northamptonshire Police,-0.508768,52.626797,On or near NEVILLE DAY CLOSE,E01027033,East Northamptonshire 001A,Offender given community sentence
048b07b9778c80332e688fe1ccc283001ebb133f5ecdb41cd43cae19ec0a5621,2016-03,Northamptonshire Police,Northamptonshire Police,-0.903666,52.232724,On or near TOWCESTER ROAD,E01032979,Northampton 021F,Offender sent to prison
d7a0c32f72af84417c666efecdff2a7531c892d0b7bc968f80ee3aac913d075d,2016-03,Northamptonshire Police,Northamptonshire Police,-0.883035,52.190103,On or near SCHOOL LANE,E01032982,South Northamptonshire 003F,Offender given community sentence
6904031bcc126e2df86b8a6156054c0dcf80fd64b80407215d2363b3630a660e,2016-03,Northamptonshire Police,Northamptonshire Police,-0.886687,52.237132,On or near Hospital,E01027223,Northampton 025A,Offender given community sentence
ec5d8015acc7cde8a691dd2e988a4a9346be42f420a4eaf7435c4bff51e6b9ba,2016-03,Northamptonshire Police,Northamptonshire Police,-0.895022,52.237058,On or near ST GILES' SQUARE,E01027223,Northampton 025A,Offender sent to prison
9a43ffd23a2811a580c4b293f0995ded1237191b16a64561684b7de66bcee5ba,2016-03,Northamptonshire Police,Northamptonshire Police,-0.898075,52.238543,On or near BRADSHAW STREET,E01032979,Northampton 021F,Offender given community sentence
4c6a53bbc8ed5f243bc909b0bac4305103557c9d1e6516c93662d97b9cc8c70a,2016-03,Northamptonshire Police,Northamptonshire Police,-0.895022,52.237058,On or near ST GILES' SQUARE,E01027223,Northampton 025A,Court case unable to proceed
c48f62fc663949c411feb326ec5b3371fc37e64364ea459f461e234321224562,2016-03,Northamptonshire Police,Northamptonshire Police,-0.901066,52.229499,On or near WEST COTTON CLOSE,E01032980,Northampton 028E,Offender given conditional discharge
d5189c448ba1908c5b2a0aab6e4dea716a43fe0f39c7ddc1e0fd19eb9ae7282a,2016-03,Northamptonshire Police,Northamptonshire Police,-0.723783,52.397803,On or near TENNYSON ROAD,E01027111,Kettering 006C,Offender sent to prison
f823de15bb6893da8b5ff0270bc724af1fa81eb67110901ea7cb3534e2335629,2016-03,Northamptonshire Police,Northamptonshire Police,-0.937431,52.239524,On or near Supermarket,E01027237,Northampton 024C,Offender fined
f7104a7a5699e29ddbbe99d6bf2c788868c69582e9c1556d6d80895954b4f288,2016-03,Northamptonshire Police,Northamptonshire Police,-0.717213,52.305478,On or near Supermarket,E01027342,Wellingborough 005D,Offender given conditional discharge
dbd3e90fd1a4d791745ac5a13e6cb2f6455cd0048e9621541b8aaff196221737,2016-03,Northamptonshire Police,Northamptonshire Police,-0.900536,52.262814,On or near Shopping Area,E01027190,Northampton 008A,Defendant found not guilty
29fba09488fdc78dfd7bab2e9935095f02f22094c5a9fc02951f5f1ede8a159c,2016-03,Northamptonshire Police,Northamptonshire Police,-0.879113,52.218666,On or near Park/Open Space,E01027202,Northampton 028D,Offender given conditional discharge
eeb3d03fe44de759c6eaf177efe03c93c7a96d2854da30c0dfe5df92c9d33660,2016-03,Northamptonshire Police,Northamptonshire Police,-0.899720,52.241903,On or near REGENT STREET,E01032978,Northampton 021E,Defendant found not guilty
e88bb6e71295f470c729c456f79c0df50da4d382d6908a4e96a9513312d7d344,2016-03,Northamptonshire Police,Northamptonshire Police,-0.834219,52.263868,On or near Pedestrian Subway,E01027198,Northampton 007C,Offender given community sentence
750824c6de71dd715803b3cf906e73f2645daab19d26f51b9c77b2e60bce9444,2016-03,Northamptonshire Police,Northamptonshire Police,-0.896303,52.244442,On or near LAWRENCE COURT,E01027153,Northampton 021C,Offender sent to prison
3ee73de89ee782fc9203f3dc9b3568bb0767440c51cc9619436a6aeb8ebac6d5,2016-03,Northamptonshire Police,Northamptonshire Police,-0.811292,52.272459,On or near ELMINGTON ROAD,E01027178,Northampton 005C,Offender sent to prison
43b5508e8663e48b57c567aa2967f4eae55db6322e21495e299b58e53212a047,2016-03,Northamptonshire Police,Northamptonshire Police,-0.725576,52.306944,On or near OWEN CLOSE,E01027339,Wellingborough 005A,Offender sent to prison
30f545f259806fe7a35e903c8d849472319e3cdc7fce8fe99d0351bf9ef25380,2016-03,Northamptonshire Police,Northamptonshire Police,-1.160770,52.255609,On or near Sports/Recreation Area,E01026991,Daventry 007C,Offender given community sentence
d70b2cbac0c32ea49b5d13c81a5c492a0e834bc29dde5ed6222d52b4f91c88ed,2016-03,Northamptonshire Police,Northamptonshire Police,-0.598649,52.297415,On or near Supermarket,E01027062,East Northamptonshire 008B,Offender given conditional discharge
459cffd8e1d0974a28d91bd9870c939844db2479f247613384b6c1b16ddac8da,2016-03,Northamptonshire Police,Northamptonshire Police,-0.617620,52.300408,On or near Park/Open Space,E01027063,East Northamptonshire 008C,Court case unable to proceed
42d03b0fc508275d2995a90ee7e83b4441f87076f45cf67623e09eede07f21c4,2016-03,Northamptonshire Police,Northamptonshire Police,-0.910714,52.272609,On or near ROOKERY LANE,E01027146,Northampton 003C,Offender sent to prison
99dcc0da09442977ea75a5770b3e50e760d48bb5dbcac9eff0e59c07558c274e,2016-03,Northamptonshire Police,Northamptonshire Police,-0.801195,52.418950,On or near JUBILEE STREET,E01027124,Kettering 003B,Defendant found not guilty
a6a8b19cf6cd63870b1985dada5038c88d6075cfb1a7ad6b2d7e4f260df0dfce,2016-03,Northamptonshire Police,Northamptonshire Police,-0.606673,52.287539,On or near GREENFIELD WAY,E01027073,East Northamptonshire 008F,Offender given community sentence
f1382ed09b62d63f83f8d3df4dfc459e27424f6bd6a1d9639d064403c1128082,2016-03,Northamptonshire Police,Northamptonshire Police,-0.804226,52.440099,On or near WILLOW CLOSE,E01027109,Kettering 002F,Defendant found not guilty
dff69e0f32763f43c4318a8c4c92fe2ede08f7bdf9418f0839fd43e1c9f65341,2016-03,Northamptonshire Police,Northamptonshire Police,-0.709074,52.390118,On or near PEBBLEFORD ROAD,E01027099,Kettering 008D,Offender given conditional discharge
750824c6de71dd715803b3cf906e73f2645daab19d26f51b9c77b2e60bce9444,2016-03,Northamptonshire Police,Northamptonshire Police,-0.896303,52.244442,On or near LAWRENCE COURT,E01027153,Northampton 021C,Offender sent to prison
ec5d8015acc7cde8a691dd2e988a4a9346be42f420a4eaf7435c4bff51e6b9ba,2016-03,Northamptonshire Police,Northamptonshire Police,-0.895022,52.237058,On or near ST GILES' SQUARE,E01027223,Northampton 025A,Offender sent to prison
873fd03826f8f3e7374a0d1ebbf32054e1b7f47c6fd3450740ef2b1bb54df835,2016-03,Northamptonshire Police,Northamptonshire Police,-0.684400,52.355061,On or near RIVERVIEW,E01027102,Kettering 011D,Offender given suspended prison sentence
0957867ececf5919e44a0d489f99c00defeee9bdbd936f3287d3bc4fdf0a473e,2016-03,Northamptonshire Police,Northamptonshire Police,-0.696284,52.286494,On or near SPENCER ROAD,E01027320,Wellingborough 008D,Defendant found not guilty
659444765771a65c66fa97af10e7dd38495b8f7c48ef632bb3a854f7f4c5654e,2016-03,Northamptonshire Police,Northamptonshire Police,-0.900595,52.264568,On or near HIGH STREET,E01027147,Northampton 003D,Offender sent to prison
c612b973c5ee119f8ccb95dbe396cdbe26784d6f7a2f6550c4e0f4eefcbf3a0b,2016-03,Northamptonshire Police,Northamptonshire Police,-0.700444,52.307165,On or near ELM STREET,E01027344,Wellingborough 003B,Offender sent to prison
4e4341ced1ac300f07bb299f5ed7c77eff2beabe4bbe83d5a26d5f57c1454f7b,2016-03,Northamptonshire Police,Northamptonshire Police,-0.696531,52.306052,On or near NORTH STREET,E01027349,Wellingborough 006A,Offender given community sentence
e991d08cae6e9591e5f4d562ecd5c674c2c053a38f8edb258d87c534adbcd478,2016-03,Northamptonshire Police,Northamptonshire Police,-0.684400,52.355061,On or near RIVERVIEW,E01027102,Kettering 011D,Defendant found not guilty
4a97287ac2b2077f55618edde6fcb6a0b329914d7c6c97488795060fe1a087ee,2016-03,Northamptonshire Police,Northamptonshire Police,-0.909121,52.231821,On or near ST JAMES MILL ROAD,E01032979,Northampton 021F,Offender given suspended prison sentence
07fc85892df6f2abcfd598ef1468b982a8d969845af2a55f00dbee4859a93cde,2016-03,Northamptonshire Police,Northamptonshire Police,-0.836618,52.257886,On or near Parking Area,E01027198,Northampton 007C,Defendant found not guilty
6900045358048d71048f11c7d9c6bbbac1eafca7adcba8ba5778326617ae852f,2016-03,Northamptonshire Police,Northamptonshire Police,-0.692571,52.314496,On or near HERON CLOSE,E01027331,Wellingborough 002B,Offender given community sentence
f162d783797bab3fc32729b4b04e153b6f7ffe4aa23e196aab0b86c587994998,2016-03,Northamptonshire Police,Northamptonshire Police,-0.840815,52.272213,On or near FARM FIELD COURT,E01027248,Northampton 004D,Defendant found not guilty
4ba9f4eeda50fbb9c6d63010938608b64da47926a24cd18275aa667bda804487,2016-03,Northamptonshire Police,Northamptonshire Police,-0.597813,52.295103,On or near Police Station,E01027062,East Northamptonshire 008B,Offender given suspended prison sentence
