Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
18baac482b8fd54941073607279846da8aa7ed6c447ba0c84fa2eca03cbf71a1,2016-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.235905,51.852166,On or near DORA WALK,E01022294,Gloucester 008B,Investigation complete; no suspect identified
2c21e90704f57070186d43a7a5a43e9f4677abeeacba679ffc19c68080b916b5,2016-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.041486,51.941809,On or near POTTERS FIELD ROAD,E01022434,Tewkesbury 004A,Investigation complete; no suspect identified
05b4f568428e5c8de3355474aa18050caff61d541049840cb0704eeae1ba7c1a,2016-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.060152,51.910945,On or near CLEEVEMOUNT ROAD,E01022140,Cheltenham 008D,Investigation complete; no suspect identified
84eb68bf19df3f42474f56b6329ea6b033fee8cdaeb5f7c77c7a24d24a7b9ac7,2016-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.568917,51.753355,On or near HILLRISE,E01022231,Forest of Dean 008A,Investigation complete; no suspect identified
669636929e32c4ff72055f22ed79787f65ea1defba932a10939ddbcacf8c7d67,2016-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.066752,51.901213,On or near FAIRVIEW CLOSE,E01022142,Cheltenham 008F,Investigation complete; no suspect identified
503da835a4f4980b60adf80451f654e72805b726ece850ddcf75a823d00b0500,2016-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.303576,51.811308,On or near STANK LANE,E01022380,Stroud 001C,Investigation complete; no suspect identified
870ac225c97aa48a9e8e6c50755679950e803714b94e906ac8ebeac53cd1b2f9,2016-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.082553,51.894568,On or near A40,E01022126,Cheltenham 009F,Investigation complete; no suspect identified
4be69687fc890d88941971f7ee39dab10dac74deda01d300f97e13e10b5eebaa,2016-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.068520,51.945285,On or near LAVENDER MEWS,E01022438,Tewkesbury 005F,Investigation complete; no suspect identified
53daa687553334edbb60498e2264a07f6b85ce11914fd4e7a0a0b9fc9eeda033,2016-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.085084,51.888111,On or near TUDOR LODGE DRIVE,E01022138,Cheltenham 011D,Investigation complete; no suspect identified
4a492deddd59277c302433b81bae4a2e8cd20e0beabb60d2bc23f12a8ee863ce,2016-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.239064,51.848257,On or near BATHURST ROAD,E01022329,Gloucester 008E,Unable to prosecute suspect
bac74302a085074d9d3c8a37c78149a4d2aab4620851d0c1629c869286cfae9c,2016-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.056895,51.910578,On or near WELLAND COURT,E01022140,Cheltenham 008D,Investigation complete; no suspect identified
962c472a5fb8b855a61529c940a801d80099899d81d0a9b8697035d6b77fbbfc,2016-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.190631,51.706521,On or near GRANGE CLOSE,E01022382,Stroud 010B,Suspect charged
77d2772fb800cc5d91a155dc0c9a20feab9b6bdbe9f3e406b51a142353fb4634,2016-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.157612,51.994451,On or near SMITH'S LANE,E01022459,Tewkesbury 002D,Investigation complete; no suspect identified
4fb8d60de445eff8a973eb3f1d577df4ea628f0d54a8aaf0e65e820d892c2aec,2016-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.112923,51.899469,On or near KIPLING ROAD,E01022148,Cheltenham 007A,Investigation complete; no suspect identified
47fd3923d538af46f82055d1b94242f0fb0371cba802750dbf7ca28b57f825c8,2016-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.077998,51.907311,On or near HUNGERFORD STREET,E01022154,Cheltenham 004E,Investigation complete; no suspect identified
1e5d85fafd4cba8b21f8089077072d3d4543cbbcef0b6b63dd3171469df9fb0e,2016-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-1.959050,51.696833,On or near PARK WAY,E01022225,Cotswold 008E,Investigation complete; no suspect identified
50b49aec84644e14c2c9ad1f086e62b035c68adecadf5eb8773d6bdbf5bbd525,2016-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.243157,51.864208,On or near Parking Area,E01032937,Gloucester 004F,Suspect charged
674d5506fb75e0866daf0147577381ffb96e95060bed590285ea8ad048ad436d,2016-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.096931,51.910623,On or near MOORS AVENUE,E01022155,Cheltenham 007D,Investigation complete; no suspect identified
