Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
920df071299c998bf28c99c6bb61b23144204890abdddbbb9aa5db30dfa8e8e0,2016-04,North Wales Police,North Wales Police,-4.561949,53.283885,On or near CHURCH DRIVE,W01000043,Isle of Anglesey 004E,Offender given a caution
c712ab25e971d120d248c8c7428bfd6843621d7e726ffc9c62e081d2e8682f0d,2016-04,North Wales Police,North Wales Police,-3.546796,53.273520,On or near NANT DDU ROAD,W01000140,Conwy 010B,Suspect charged
b4a2b3cf1b24168d4e0f4bed62d4d9e76e793f9e5e51340819ede8c4ac31a3b7,2016-04,North Wales Police,North Wales Police,-3.052229,53.005653,On or near ERW LAS,W01000405,Wrexham 015B,Local resolution
02f35d9665522d2b18db2db0766fb53aacf94eef4c2c99fddfed4e57bb869117,2016-04,North Wales Police,North Wales Police,-4.325983,53.238294,On or near HOLYHEAD ROAD,W01000007,Isle of Anglesey 009A,Offender given a drugs possession warning
561298798f5404ddd7e9d2260146a0183e3121709373eb0cf0647b27fe3d8b52,2016-04,North Wales Police,North Wales Police,-3.581839,53.294501,On or near Supermarket,W01001928,Conwy 010H,Suspect charged
9e105ff2168a6eb81cd7ae0dbff0dfe5dada3628b0f20c63e2eef8003e891157,2016-04,North Wales Police,North Wales Police,-2.988698,53.046111,On or near A5152,W01001931,Wrexham 012G,Offender given a caution
8cb69fa6a1d01378fbcdf340651a630af5479a011fbccf832376d59b14904f3d,2016-04,North Wales Police,North Wales Police,-3.076710,53.070697,On or near BRYMBO ROAD,W01000347,Wrexham 006A,Suspect charged
debaec8b73e11d4f91b988edd50ed4661aa0ec944b7d591a51bb16fffb60be43,2016-04,North Wales Police,North Wales Police,-3.076710,53.070697,On or near BRYMBO ROAD,W01000347,Wrexham 006A,Suspect charged
901d003dcbc7e57510eef43c1f17231df914748b7e839a0c74cde4e64ff8ad5b,2016-04,North Wales Police,North Wales Police,-3.833576,53.325776,On or near BOD-HYFRYD ROAD,W01000146,Conwy 001B,Offender given a caution
d13634b7e5856a447a70d968393ea875815165beae540a6cee38eb2b9e27e656,2016-04,North Wales Police,North Wales Police,-3.064816,52.998151,On or near COPPERAS HILL,W01000408,Wrexham 013D,Suspect charged
061e7da996d8a8ae40732a5e9cf612194abf2b49a381ec97485c34236ce103db,2016-04,North Wales Police,North Wales Police,-4.274623,53.139028,On or near Further/Higher Educational Building,W01000111,Gwynedd 007C,Suspect charged
fcfc33e807d98fb8ab3f0bee2e768d66dcff111266e78ba839ffd9dd9d2cb5b8,2016-04,North Wales Police,North Wales Police,-4.275461,53.140181,On or near TWLLYN Y WAL,W01000111,Gwynedd 007C,Suspect charged
af475980d4a48e46cfabb2ab30271721a0c624351ff8fb92c3c8252ee09b6af9,2016-04,North Wales Police,North Wales Police,-4.122941,53.229021,On or near BRICK STREET,W01000062,Gwynedd 001A,Offender given a caution
6d6de03e76275830fdcc320474cd1ee344760b560ba29e6a90b369942a807734,2016-04,North Wales Police,North Wales Police,-4.122165,53.229089,On or near STRYD JAMS,W01000062,Gwynedd 001A,Suspect charged
ec97813f54618365e72ac7a8174050cd44d82ce97c1ce3adf74c7aa481207e03,2016-04,North Wales Police,North Wales Police,-4.624422,53.303439,On or near MORRISON CRESCENT,W01000029,Isle of Anglesey 003C,Suspect charged
d5b752283e51096c025f427e5c030a7def39f8f7bd2496772216d12c3c023ae0,2016-04,North Wales Police,North Wales Police,-4.299191,53.256517,On or near PENCRAIG,W01000041,Isle of Anglesey 006D,Suspect charged
dfa004f9224f0ed868c8d4d47aea61745768075676a9d23f2082c3ca4467ffa7,2016-04,North Wales Police,North Wales Police,-2.982119,53.050013,On or near HILL CREST,W01000425,Wrexham 010E,Investigation complete; no suspect identified
ead937c7bdb4b388c7a4b095ee7f692c44d177d03e15f884add08058ea4afbc1,2016-04,North Wales Police,North Wales Police,-3.466525,53.291678,On or near PARC EDITH,W01000225,Denbighshire 009D,Suspect charged
cdc6e2449cd2366947f62a0e0ce507f9ada97eeef1e8797738eb27e467a2f1f6,2016-04,North Wales Police,North Wales Police,-2.988698,53.046111,On or near A5152,W01001931,Wrexham 012G,Suspect charged
24bc8e51d5c5b14c9a0d6ddd77f0fefe09f0d6819cac18c7a9caa99f955ee7dd,2016-04,North Wales Police,North Wales Police,-4.051849,53.175137,On or near CWLYN,W01000071,Gwynedd 003B,Investigation complete; no suspect identified
7beb51f03b521ef42d99b163fae25aa2641d6a142c9a77bd9eb328b58ea48c83,2016-04,North Wales Police,North Wales Police,-4.272766,53.138974,On or near WESLEY STREET,W01000111,Gwynedd 007C,Suspect charged
a955e613f7ffb1c2e42a6e6258862d6eae546c8fb825bb83f0212981e7cb7262,2016-04,North Wales Police,North Wales Police,-2.994262,53.046739,On or near Supermarket,W01000372,Wrexham 008C,Suspect charged
f538420efb7ae3dc66e10143dac5164108cc7770c009df017aa6bca1b7e90078,2016-04,North Wales Police,North Wales Police,-4.125475,53.228167,On or near Shopping Area,W01000062,Gwynedd 001A,Offender given penalty notice
0a9a5fcecf888da7186e329a9130e241a431018b1888eff36ca1789fd2243884,2016-04,North Wales Police,North Wales Police,-2.998727,53.045650,On or near Parking Area,W01000350,Wrexham 011B,Suspect charged
