Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b9de95adaef2b4a8b7e3635fd950bed4dcd1167daf97cf2af4ca860e87304c8e,2016-04,South Wales Police,South Wales Police,,,No location,,,Offender otherwise dealt with
9e49a9e39d4be6359c5bfea11fb3be33ade8e2c271379d4d4fd0dd36acb5ec5b,2016-04,South Wales Police,South Wales Police,-3.408479,51.705010,On or near BRYNGOLWG,W01001169,Rhondda Cynon Taf 004C,Court case unable to proceed
e4aef16eee41e45aa9a0db450dffcbce8a6dc9c690ddc72873759d68a1527148,2016-04,South Wales Police,South Wales Police,,,No location,,,Offender fined
58e56268102e024ea143b83dc1ee969ffbcd8f5fc8933b9a25351308e443fb8a,2016-04,South Wales Police,South Wales Police,-3.253495,51.412202,On or near QUARELLA STREET,W01001070,The Vale of Glamorgan 009C,Offender given community sentence
87cb20db556332b7dfe9529c5dd45232a3190e5ea82c5525a122902376033f78,2016-04,South Wales Police,South Wales Police,-3.769109,51.588223,On or near CONDUIT STREET,W01000966,Neath Port Talbot 018E,Court case unable to proceed
a57850c20317ece776b5c6c94f41da6b6a86115051a5207b6d798c8a5195a256,2016-04,South Wales Police,South Wales Police,-3.942954,51.621578,On or near COLLEGE STREET,W01001955,Swansea 025F,Offender given conditional discharge
6b481f36a7be782872aa725e616634208d741c1beaaf60a3662ee0edc55f363f,2016-04,South Wales Police,South Wales Police,-3.152544,51.512410,On or near MAELFA,W01001813,Cardiff 017D,Offender sent to prison
257453506afc08d3a6cb75923c649f6fb7a905e45c9b2fcdabc85128222067d2,2016-04,South Wales Police,South Wales Police,-3.186855,51.473007,On or near CLARE ROAD,W01001766,Cardiff 044C,Offender given community sentence
fa77b6fc350098a25e80ce9e28f0b1fb774b66ff9acb543b52ac8c0b1889b834,2016-04,South Wales Police,South Wales Police,-3.187776,51.528945,On or near Supermarket,W01001791,Cardiff 005A,Offender fined
d37d1be99b04c6175e4f3b40831eeec617ac56a9cf0b524d752d3b70c6e26396,2016-04,South Wales Police,South Wales Police,-3.539742,51.568905,On or near Petrol Station,W01000977,Bridgend 003B,Offender given community sentence
b2b68c4a1a22af8a1660141952ecf38b4f51112fa65bea7eac76afad6e9e36fa,2016-04,South Wales Police,South Wales Police,-3.928617,51.622111,On or near LEWIS STREET,W01000850,Swansea 021B,Offender fined
792262c4a06a4ff4fe3374a30f97b82557080c53878b6dcaec85e4c79d58bc0f,2016-04,South Wales Police,South Wales Police,-3.149016,51.525114,On or near WAUN FACH,W01001818,Cardiff 009D,Offender given community sentence
229051f31dcd19b5fb806d894a6c02dcb2b36416e010508071e48c90486be8bc,2016-04,South Wales Police,South Wales Police,-3.169127,51.490863,On or near KINCRAIG STREET,W01001829,Cardiff 033A,Offender fined
44aefcdaf72218a93d6000adcba5be2197ff43922afa0e02f532feafb40e0215,2016-04,South Wales Police,South Wales Police,-3.459626,51.620977,On or near CLOS GELLIFAELOG,W01001248,Rhondda Cynon Taf 016D,Offender sent to prison
b4fa1472af722a62f63c199053f309b454737e5362e75236a74aacfb850cd5aa,2016-04,South Wales Police,South Wales Police,-3.792381,51.650933,On or near CAE RHYS DDU,W01000943,Neath Port Talbot 012D,Defendant found not guilty
e80dd3238ce7389ce1dacd86ed075cc9384b5a35684f6a4c0145e993d37509c7,2016-04,South Wales Police,South Wales Police,-3.696642,51.526195,On or near PANDY CRESCENT,W01001049,Bridgend 008C,Offender given community sentence
a9672ead1f2ed244c177a823ecea81396414f9d2e48cca5fdb6dc050cdd8d791,2016-04,South Wales Police,South Wales Police,-3.998830,51.616566,On or near BRIAR DENE,W01000856,Swansea 022D,Defendant found not guilty
21781de08ce349092a63cd8aefe308d188c2fdac8fe855caf6ba80d4409b4da6,2016-04,South Wales Police,South Wales Police,-3.341616,51.601200,On or near MILL STREET,W01001228,Rhondda Cynon Taf 021D,Offender sent to prison
c68566fcf95e56b5f8ebd85c5d3b07a99a0580e050429345d86b60bf57219cfc,2016-04,South Wales Police,South Wales Police,-3.107835,51.517481,On or near GWBERT CLOSE,W01001883,Cardiff 016C,Defendant found not guilty
192ba48033600b50d106fa812f95f1e6bab4bb5699fd6c1c549e36df8c5258eb,2016-04,South Wales Police,South Wales Police,-3.174766,51.485538,On or near ST ANDREW'S PLACE,W01001939,Cardiff 032F,Offender sent to prison
536aa363222efc6460fd3f1f4e4dc6445723fd2614364fd796ea1e93b73df380,2016-04,South Wales Police,South Wales Police,-3.578113,51.541104,On or near HEOL CANOLA,W01000987,Bridgend 007B,Offender given suspended prison sentence
c80d82002aef47c1bb9a6e99bbfa571e74bc2b45183ea8d06ee4d7dbc1d727c7,2016-04,South Wales Police,South Wales Police,-3.576832,51.507383,On or near DERWEN ROAD,W01001021,Bridgend 014A,Offender given community sentence
808ce498f25a032be2a58bdfc954f22a9d90aee8bbc707fd83ad8f04b42abb0c,2016-04,South Wales Police,South Wales Police,-3.129319,51.533003,On or near LIDDEL CLOSE,W01001843,Cardiff 003C,Offender given community sentence
69c8f5a4a3b36ad8ca286c2c954532db46795f9be4ea8aee41fc793432eb7e30,2016-04,South Wales Police,South Wales Police,-3.933411,51.622401,On or near THOMAS STREET,W01000850,Swansea 021B,Offender given suspended prison sentence
08f9236bebc33513aa586e175489e801ea6a58cf069d0adf28735e0efc1064d9,2016-04,South Wales Police,South Wales Police,-3.332569,51.602868,On or near YNYSANGHARAD ROAD,W01001258,Rhondda Cynon Taf 019E,Offender sent to prison
8154471bac0a7cc7348e332a5fc5cb1765bed9a6603ca02b94943e2e3e1c070e,2016-04,South Wales Police,South Wales Police,-3.508199,51.738678,On or near BETHEL PLACE,W01001188,Rhondda Cynon Taf 001C,Offender sent to prison
e4d0bf4e515c29e9af041c4bc24eca9e15a8e7834201cdaee794c84e4c2b52dc,2016-04,South Wales Police,South Wales Police,-3.261929,51.407265,On or near Further/Higher Educational Building,W01001065,The Vale of Glamorgan 012B,Offender sent to prison
0a2d447c481044a35d2fedb88dd74ff79f1b4b45a632f82a47ea46f897017a18,2016-04,South Wales Police,South Wales Police,-3.152327,51.482128,On or near ADELINE STREET,W01001872,Cardiff 038B,Offender otherwise dealt with
d310ddf212889ca6d6237f78c44100ad0cdac78e0da7943f4b5c6dcdbb0be4eb,2016-04,South Wales Police,South Wales Police,-3.822551,51.662140,On or near Supermarket,W01000922,Neath Port Talbot 007C,Offender sent to prison
797302a5cf87a8ea3da1e311135c2dc5b11426115fe66071487141a8aea1c775,2016-04,South Wales Police,South Wales Police,-3.998830,51.616566,On or near BRIAR DENE,W01000856,Swansea 022D,Offender sent to prison
c280b59dd3a2e338401d56bada15f13bd71aca8393ed119a3c5e09eff5a5ca96,2016-04,South Wales Police,South Wales Police,-3.236345,51.498671,On or near HORNCHURCH CLOSE,W01001747,Cardiff 027A,Offender sent to prison
f93defbd9dc58d2d93927f596259fe5151076ed12d01142d0239b3ade2916c2c,2016-04,South Wales Police,South Wales Police,-3.169605,51.489312,On or near RUSSELL STREET,W01001832,Cardiff 033C,Offender sent to prison
b0f63e09a27c1881ba2ffc1ca28abee161cc0599e80bc1546b1e14b73c9c04eb,2016-04,South Wales Police,South Wales Police,-3.239800,51.483717,On or near MAUREEN AVENUE,W01001746,Cardiff 041D,Defendant found not guilty
91a7411412ae6986ea95bcf254d4fb7d5d4ed6317bdbefc0b437fb3e5be95fa9,2016-04,South Wales Police,South Wales Police,-3.185862,51.469681,On or near Supermarket,W01001768,Cardiff 044E,Offender fined
bf67acbe047b060cc9db536091c9fdbbcad5819eaa5d7135d32382dada9d0128,2016-04,South Wales Police,South Wales Police,-3.139098,51.491024,On or near AVONMUIR ROAD,W01001876,Cardiff 037D,Offender given community sentence
8a74c5248b054670748cc9e501fe83c7136a72ac5e410a567d76c457a64fff0c,2016-04,South Wales Police,South Wales Police,-3.419102,51.614343,On or near CYMMER ROAD,W01001232,Rhondda Cynon Taf 020D,Offender given community sentence
4392b6ff7ca7f92b28e8c2826730bbb8447be1f079ff4af6dac3d7157e09da5b,2016-04,South Wales Police,South Wales Police,-3.627369,51.679899,On or near BRICK STREET,W01000924,Neath Port Talbot 011C,Offender sent to prison
8c4ac8af353dc8834d9bef1082f302ff773a3f52803820cd86edb12f6ea6c397,2016-04,South Wales Police,South Wales Police,-3.271765,51.549151,On or near RIVERSIDE STREET,W01001240,Rhondda Cynon Taf 026C,Offender given community sentence
15e8846a6bf9b7b8f0d525772b7687632dbfd9b751b95b3323cddcb8a933b904,2016-04,South Wales Police,South Wales Police,-3.176377,51.477069,On or near Nightclub,W01001941,Cardiff 032G,Offender fined
606e574dea5b0d991ff090c0b9b80f50d64b22a130a370a66ba381f8c1e8d7cb,2016-04,South Wales Police,South Wales Police,-3.218863,51.494089,On or near HIGH STREET,W01001781,Cardiff 026C,Offender sent to prison
07df37f33077b21e3a2260c7091a0aa641087c8086c28a10709f41e750e66da1,2016-04,South Wales Police,South Wales Police,-3.378626,51.537854,On or near CHARTIST ROAD,W01001193,Rhondda Cynon Taf 030A,Offender sent to prison
0e9c6be919e442218aa1beb0c807d6c623512e8e44695e67f62bd5cbe8109c61,2016-04,South Wales Police,South Wales Police,-3.176819,51.478575,On or near Shopping Area,W01001941,Cardiff 032G,Offender sent to prison
248d402abcaa01e128e6a67254635af46c25b5bb5cd038af1f747c56fc9258a4,2016-04,South Wales Police,South Wales Police,-3.341376,51.598937,On or near TAFF VALE STREET,W01001183,Rhondda Cynon Taf 021B,Offender given community sentence
54c535e789b1452cca3fee0b36886446a08bce8c9317f493a93a3669b97f4df8,2016-04,South Wales Police,South Wales Police,-3.443147,51.582830,On or near BRYNGOLAU,W01001255,Rhondda Cynon Taf 023E,Offender sent to prison
43daac361cc93efa60ded8e3e3fb5f8c23ef8e21a857132369999ac0d27a9c8d,2016-04,South Wales Police,South Wales Police,-3.179290,51.481140,On or near Shopping Area,W01001939,Cardiff 032F,Offender fined
57cd2f3ff0bf01edb85a9ef5d130b7653bb142214d3a745cfb039f7963cfc131,2016-04,South Wales Police,South Wales Police,-3.523129,51.650733,On or near RAILWAY TERRACE,W01001271,Rhondda Cynon Taf 010C,Offender otherwise dealt with
7c68491ed37400a26faece7da0e192c9fdeefb7ada15386831b5fdfccbeea70e,2016-04,South Wales Police,South Wales Police,-3.311321,51.660718,On or near FIR TREE DRIVE,W01001320,Merthyr Tydfil 007C,Offender fined
db173acb0405ec413ee577f29e232803942e8ca12305c7d7d407c2fc47d67e3a,2016-04,South Wales Police,South Wales Police,-3.955597,51.628688,On or near ALUN ROAD,W01000864,Swansea 019C,Court case unable to proceed
d5b3f55d549939345bb353f7a3624c41c77abc087dc1518802f4d7b6d811a01c,2016-04,South Wales Police,South Wales Police,-3.178224,51.498469,On or near BRUCE STREET,W01001718,Cardiff 028A,Offender given community sentence
d25a9edcce8d8a663cf333ae718d479886e0505fb04f3021c52c13179225a3f0,2016-04,South Wales Police,South Wales Police,-3.705829,51.518202,On or near LLWYN DERWEN,W01001000,Bridgend 010B,Offender sent to prison
fcd3d4a9c647a08ca047215a26a27239956701aff83a64b0c0674443566a6fe9,2016-04,South Wales Police,South Wales Police,-3.673318,51.537995,On or near CROWN ROAD,W01001051,Bridgend 008E,Offender given community sentence
c17afef07fe15de6c85bc9f0cb5c8b264d15bd9c763e2f095a04e9bf829364aa,2016-04,South Wales Police,South Wales Police,-3.906054,51.661471,On or near SAMLET ROAD,W01000794,Swansea 010A,Offender deprived of property
c98daa7e8e62619ecee796174a917e4df24a937b374cbba4097c905fe14bddfe,2016-04,South Wales Police,South Wales Police,-3.939532,51.619260,On or near WIND STREET,W01001938,Swansea 025E,Defendant found not guilty
1967927ff60bae92a83fd5ad857ccd90daa9ed1ee09bac0781c38cc9122e4368,2016-04,South Wales Police,South Wales Police,-3.148653,51.489510,On or near MOORLAND ROAD,W01001697,Cardiff 036D,Defendant found not guilty
6c6ce18c49b5dd2e537e812bd66203ed5f3d6facc83341a723c19c49fbe4e630,2016-04,South Wales Police,South Wales Police,-3.186816,51.500891,On or near ST JOSEPH'S COURT,W01001758,Cardiff 025D,Offender sent to prison
7622b083d7e8c72549cd672a43ab24682b2dfda0dbdb63b2a6d50ec8f56babdc,2016-04,South Wales Police,South Wales Police,-3.171757,51.479984,On or near LOVE LANE,W01001939,Cardiff 032F,Offender given suspended prison sentence
e2e9d55fa502015b02e248236fd6dd7c48f176ccf495e277f042176dea6fec2a,2016-04,South Wales Police,South Wales Police,-3.176335,51.477699,On or near Shopping Area,W01001941,Cardiff 032G,Offender given conditional discharge
fe39950a893d6a2e3cff4d4aa3df4c3c838883b70def6ae68b9e03548f1e1194,2016-04,South Wales Police,South Wales Police,-3.176026,51.480220,On or near Shopping Area,W01001941,Cardiff 032G,Offender sent to prison
55b1bf6e9f5dc65554fc7260aecc2933d5dbe7d997bd121a6551121fe90e7c4e,2016-04,South Wales Police,South Wales Police,-3.138724,51.498545,On or near RHYMNEY RIVER BRIDGE ROAD,W01001825,Cardiff 029D,Offender sent to prison
0cee3374ef3cf44355890509f52fbef4424b21532ade813eff00ffe0c8f110c4,2016-04,South Wales Police,South Wales Police,-3.951472,51.618415,On or near WYNDHAM STREET,W01000745,Swansea 025B,Offender sent to prison
0f68f1447797d8779575e93ce37156c4e7602779257d7dc080706f5c89e4a756,2016-04,South Wales Police,South Wales Police,-3.446083,51.613465,On or near LIBRARY ROAD,W01001217,Rhondda Cynon Taf 018A,Offender sent to prison
41b4e42fbb29bfd55818d797197e09eaa383059ba49e425ac6c28f0a95676cdc,2016-04,South Wales Police,South Wales Police,-3.218911,51.513708,On or near RIALTO COURT,W01001891,Cardiff 020C,Offender given community sentence
2981d3f0492c5c657b8aee690eaa5052a3101936e3b3c2486b6c48c41af431ac,2016-04,South Wales Police,South Wales Police,-3.433009,51.602808,On or near RHYS STREET,W01001253,Rhondda Cynon Taf 023C,Offender otherwise dealt with
f53bc74cf8b52aa86f48b91a20a0e44f0c0055bf07892957fc7de90a2b8db0df,2016-04,South Wales Police,South Wales Police,-3.555115,51.745161,On or near HALT CLOSE,W01001233,Rhondda Cynon Taf 001F,Offender given community sentence
36f223e465342d2ef55f90aba5507b7e72f5491a0384391714e74afab7650d21,2016-04,South Wales Police,South Wales Police,-3.174054,51.482497,On or near Queen Street,W01001939,Cardiff 032F,Defendant found not guilty
6efaa564010dc10c73d7858f79a9b39e7ed85574aa493eb30d0d4cca96d8f8ac,2016-04,South Wales Police,South Wales Police,-3.466184,51.646927,On or near TYNYWAUN,W01001288,Rhondda Cynon Taf 014G,Defendant found not guilty
8154471bac0a7cc7348e332a5fc5cb1765bed9a6603ca02b94943e2e3e1c070e,2016-04,South Wales Police,South Wales Police,-3.508199,51.738678,On or near BETHEL PLACE,W01001188,Rhondda Cynon Taf 001C,Offender sent to prison
4fd12801f25e1dde4dd93e7fb123c933a387dd2fa0e025aad0a6f12effefcdec,2016-04,South Wales Police,South Wales Police,-3.162410,51.482765,On or near METEOR STREET,W01001696,Cardiff 036C,Defendant found not guilty
ef26005c83742e7d22bc437261e2767d6a5981ec18a30df25094735236d99cbc,2016-04,South Wales Police,South Wales Police,-3.168398,51.492777,On or near STRATHNAIRN STREET,W01001831,Cardiff 030A,Offender sent to prison
edc7449ac8103b5f64c9d15b36dfef765d3f3374b05facb00bd5f24d9438e73f,2016-04,South Wales Police,South Wales Police,-3.376314,51.742896,On or near YEW STREET,W01001318,Merthyr Tydfil 005D,Offender sent to prison
9393ede6c2f05eab9b7c89497cf5723c4dee059d01871aada00cb625a2632390,2016-04,South Wales Police,South Wales Police,-3.179290,51.481140,On or near Shopping Area,W01001939,Cardiff 032F,Offender fined
714a8c871774fd9fcb5e6c3557896ee39fa2a98a0a48b45230f54aec1c662c66,2016-04,South Wales Police,South Wales Police,-3.575861,51.509320,On or near A4061,W01001021,Bridgend 014A,Offender fined
0f68f1447797d8779575e93ce37156c4e7602779257d7dc080706f5c89e4a756,2016-04,South Wales Police,South Wales Police,-3.446083,51.613465,On or near LIBRARY ROAD,W01001217,Rhondda Cynon Taf 018A,Offender sent to prison
192ba48033600b50d106fa812f95f1e6bab4bb5699fd6c1c549e36df8c5258eb,2016-04,South Wales Police,South Wales Police,-3.174766,51.485538,On or near ST ANDREW'S PLACE,W01001939,Cardiff 032F,Offender sent to prison
c7d6138a2443dafdce5476632b5953923f21afeed865b13f23216629bbfacd57,2016-04,South Wales Police,South Wales Police,-3.586049,51.550789,On or near OSBORNE PLACE,W01001057,Bridgend 006B,Defendant found not guilty
1453fb69fe4b1e01c2eca6b80b11d342eea171617e9431f293e14e5081bb90c5,2016-04,South Wales Police,South Wales Police,-3.950480,51.619547,On or near Parking Area,W01000745,Swansea 025B,Defendant found not guilty
2b612292b03171b6a071b776f53eae3dec0235ddfb92ac31c7893aabf2fd3fce,2016-04,South Wales Police,South Wales Police,-3.219450,51.512309,On or near Supermarket,W01001891,Cardiff 020C,Offender given community sentence
36bbb4f9776e2058b6617a5824059241e7495b3568c4254caea7ac37b9e9256a,2016-04,South Wales Police,South Wales Police,-3.185862,51.469681,On or near Supermarket,W01001768,Cardiff 044E,Defendant found not guilty
1e29dea0c1d83e0839aebc6726ade737d4d4ef13b785ffc0367dba603f68ebff,2016-04,South Wales Police,South Wales Police,-3.179266,51.480799,On or near Shopping Area,W01001939,Cardiff 032F,Offender sent to prison
