Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fd0e0d81b14f76357a0a5f8b910531ca59522b792bc013acf95693eb4c947a67,2016-04,Sussex Police,Sussex Police,-0.274470,50.947313,On or near A281,E01031642,Horsham 014C,Investigation complete; no suspect identified
905c43a966aa6d9347042d91303a9d34c17245bda358c3c3cd6bb85f0bfbbd74,2016-04,Sussex Police,Sussex Police,-0.272492,50.993743,On or near BROOK HILL,E01031634,Horsham 011C,Investigation complete; no suspect identified
c3c1f9c6f88bd00c2ba5ee2ea609804fd16d9c7b89b6e43edaa563f3ed5f4223,2016-04,Sussex Police,Sussex Police,-0.141214,50.823156,On or near NORTH STREET,E01016952,Brighton and Hove 027A,Offender sent to prison
eefae19dedd62133d6afa7449afe4af3b0b711e3064f91dfcd9e3fedff84c6cf,2016-04,Sussex Police,Sussex Police,-0.124016,50.820066,On or near MONTAGUE PLACE,E01016944,Brighton and Hove 031E,Offender given suspended prison sentence
58fd6415fbaa9253257d0bcaff29b9666be0f416e56912c523ea8fe327209ab0,2016-04,Sussex Police,Sussex Police,-0.162498,51.123786,On or near BYCROFT WAY,E01031603,Crawley 005E,Offender given conditional discharge
14231670eda722009555eb9c006bd9b7ba5a8ad99e182119fd0ef25d1af2302b,2016-04,Sussex Police,Sussex Police,0.473100,50.840045,On or near Supermarket,E01021092,Rother 011C,Offender sent to prison
04144ee3a9989a0c5f759966b7cddd0c93695d477910bbed1af9ea7e6fc54a55,2016-04,Sussex Police,Sussex Police,-0.202916,50.845464,On or near GREENLEAS,E01016887,Brighton and Hove 013D,Offender fined
5ae8c177c762bac3b15cd44c3f2a1a29743b981bb11a65e402e92f0d2fab9a4e,2016-04,Sussex Police,Sussex Police,-0.185685,51.114823,On or near Parking Area,E01031585,Crawley 004C,Offender sent to prison
1ceb22a62c4dcc6ec2215e2c8192505c3c559202c05e709350c609e17f2b8b10,2016-04,Sussex Police,Sussex Police,-0.147567,50.823716,On or near CLARENCE SQUARE,E01016952,Brighton and Hove 027A,Defendant found not guilty
adb96d5f592c8233fe0dc59378dc38c5e3ad9d15929ef275fd2d12faaa4fec45,2016-04,Sussex Police,Sussex Police,-0.775899,50.835830,On or near BAFFIN'S LANE,E01031490,Chichester 010D,Offender given suspended prison sentence
8a3dff3bc05da7e335f32b09d1746c3426d3c5958b92f036eb45c8b0e01815cd,2016-04,Sussex Police,Sussex Police,-0.674957,50.784601,On or near Supermarket,E01031436,Arun 017D,Offender given community sentence
a8ba4781a77edbf0d9f5d68babbeff4e6ed9e62902ab3200c0cb87a6af053ca5,2016-04,Sussex Police,Sussex Police,-0.214404,51.117756,On or near SHIPLEY ROAD,E01031567,Crawley 006D,Offender sent to prison
12ade83b684be68d4d79cbaa2abc6bf44d2e008b1990342e4addec2d99190f95,2016-04,Sussex Police,Sussex Police,0.019158,50.923809,On or near HIGH STREET,E01021022,Lewes 001A,Offender fined
f0a7eab5e82a9a38fa0681d116d6bb591d198293161455a32d8bdad48bbba910,2016-04,Sussex Police,Sussex Police,-0.163049,51.155990,On or near Parking Area,E01031575,Crawley 001C,Offender fined
ce8cc0aa670fd95c3c4f46a307fd5aa34d2707b08acc4b85fc0d5a755dfaf327,2016-04,Sussex Police,Sussex Police,-0.105580,50.818869,On or near Supermarket,E01016869,Brighton and Hove 032B,Offender sent to prison
2f957627afceda54ef2aea35a1119809fc1dd7c94ed2bd84e06459a6429ea808,2016-04,Sussex Police,Sussex Police,-0.199395,51.114981,On or near LEOPOLD ROAD,E01031609,Crawley 003D,Offender given conditional discharge
2d38e80c71e7dbace025c2b33aaaf249c8bbeb76b5f5c304d5e501212ed64ee3,2016-04,Sussex Police,Sussex Police,-0.324103,50.826700,On or near Supermarket,E01031341,Adur 008A,Offender sent to prison
100b6899c26bac9f83d155eb0106df52c176bf0e40aae04efbafa866a838e196,2016-04,Sussex Police,Sussex Police,-0.187290,51.114695,On or near Parking Area,E01031585,Crawley 004C,Court case unable to proceed
0d604fa5bd3b84f066858680f45e02ac79e52453b079dfbbc2b76f40b3bb2e88,2016-04,Sussex Police,Sussex Police,-0.204515,50.829319,On or near Petrol Station,E01016994,Brighton and Hove 021D,Offender fined
25c88a2abe5b2296720519a51158486eff67745d036aa6d4d435f88facdbc2d9,2016-04,Sussex Police,Sussex Police,-0.189162,51.116163,On or near BANK LANE,E01031585,Crawley 004C,Offender fined
72ea3ff84fe987e4e5da8127ceeb380e9739d88e71a56542788bf14a8dbeba51,2016-04,Sussex Police,Sussex Police,-0.104024,50.822926,On or near THE MEADWAY,E01016868,Brighton and Hove 025E,Offender sent to prison
f8ad90ba277e864c3a0810284a9a4bb44d42d6580b2a954ede1e23d92e35cc68,2016-04,Sussex Police,Sussex Police,0.313590,50.797079,On or near ETCHINGHAM ROAD,E01020955,Eastbourne 003C,Offender sent to prison
2904d1f8d8fb4666ed342c33be793b4b4fc67aa748725bbfc568f630bf070e91,2016-04,Sussex Police,Sussex Police,0.029703,51.113854,On or near MAYPOLE ROAD,E01031696,Mid Sussex 003B,Offender otherwise dealt with
e96d0bed04ac9c80568c193b77e4ef8c50d7b68794c8251444c5e8f37f15193e,2016-04,Sussex Police,Sussex Police,-0.137909,50.823086,On or near Pedestrian Subway,E01016969,Brighton and Hove 027E,Offender fined
67a604ac14d5bc93e0f8d59be8a6deeae12231ed4c2741e68c1c9ca7e1b5ce58,2016-04,Sussex Police,Sussex Police,-0.782919,50.830202,On or near STOCKBRIDGE ROAD,E01031490,Chichester 010D,Offender deprived of property
bfd274f731747e0380620eca635ba546aa234f36b1e4d26a2a6b2ce46dfb5bea,2016-04,Sussex Police,Sussex Police,-0.153270,50.846155,On or near CLERMONT ROAD,E01017004,Brighton and Hove 011C,Defendant found not guilty
c85f355390e6570a9b45ff60bcdf2f2c910d7f007f2f9078770a7a9665d2a8a8,2016-04,Sussex Police,Sussex Police,-0.484451,50.830692,On or near LANSDOWNE ROAD,E01031387,Arun 002B,Offender given suspended prison sentence
2901d0122be3ae2508a5c1c6b9a7ed58cbbc8bd59a78d011df178199362ab167,2016-04,Sussex Police,Sussex Police,-0.324103,50.826700,On or near Supermarket,E01031341,Adur 008A,Offender otherwise dealt with
47f2f83f26b991ea161d0766a27990e388fa400cdae16a5e8f99bf0b0bc6088a,2016-04,Sussex Police,Sussex Police,-0.162188,51.157146,On or near LEIGH JENKINS WAY,E01031575,Crawley 001C,Offender fined
67252a60cc148b31ad5387231e196151301c7ff322fcb89f75e846864679c436,2016-04,Sussex Police,Sussex Police,-0.180086,51.107874,On or near RINGWOOD CLOSE,E01031563,Crawley 009D,Offender sent to prison
46928f1d5b371c2360f407c18a95759d23d114c971225dfbfcc53f9fc8a0ee2f,2016-04,Sussex Police,Sussex Police,-0.148057,50.960126,On or near Sports/Recreation Area,E01031716,Mid Sussex 014E,Court case unable to proceed
d172d3332af5d404633e631cb863369bab2fa8c81adb6f2ff8327227a4e30d19,2016-04,Sussex Police,Sussex Police,-0.366470,50.832067,On or near RADBONE CLOSE,E01031781,Worthing 005D,Offender fined
329686acda697a5ea7f5be9cb94fd526b96ce635ff23fe0884f95570e65c6a6b,2016-04,Sussex Police,Sussex Police,-0.104528,50.849735,On or near BIRDHAM ROAD,E01016908,Brighton and Hove 009C,Defendant found not guilty
3a63ff70cc27953658d6df1ee50893ba0dc3bdf80009dd088b1bae337c0ca16a,2016-04,Sussex Police,Sussex Police,-0.134073,50.826703,On or near SUSSEX PLACE,E01016947,Brighton and Hove 030C,Offender sent to prison
c89595f7dd579079e7016807b92865d6612efcc991525867f005a5a6e4eb975f,2016-04,Sussex Police,Sussex Police,-0.184771,50.968832,On or near JOB'S LANE,E01031698,Mid Sussex 016A,Offender fined
bdd8caa4942d902ff2b22f42f3a3722bc79dcbd495f0a02f0e8aeca62e286f91,2016-04,Sussex Police,Sussex Police,-0.132543,50.821993,On or near DORSET PLACE,E01016941,Brighton and Hove 030A,Offender given suspended prison sentence
229caf32e0a272ebad1272b5ac945b79dfb06f1d91b2c5ce277c4567c642ebda,2016-04,Sussex Police,Sussex Police,-0.677253,50.796741,On or near LANCASTER PLACE,E01031441,Arun 014D,Offender given suspended prison sentence
5c52a40c6c1dfc4be317cc84a6a07f75c1f2144fd68d209741dd86eeaffcf80f,2016-04,Sussex Police,Sussex Police,0.478540,50.920121,On or near CHAIN LANE,E01021086,Rother 006C,Offender given community sentence
