Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1a5c41bf3a4bdfabe2e7a62dd3ed510f692c24054f7359e5a4278d9463cb36fe,2016-05,Cleveland Police,Cleveland Police,-1.320203,54.560005,On or near SHAFTESBURY STREET,E01033477,Stockton-on-Tees 014G,Defendant found not guilty
40f48ff8895b022ee20924a89361cab6acae027eafe435ee53e6407b0a5fbbe0,2016-05,Cleveland Police,Cleveland Police,-1.311126,54.561868,On or near RIVERSIDE,E01033477,Stockton-on-Tees 014G,Offender otherwise dealt with
13edf4207ce68384fad60b430440145123f3ec41eaecfffbef3604f1940adaf7,2016-05,Cleveland Police,Cleveland Police,-1.313879,54.563681,On or near BLUE POST YARD,E01033477,Stockton-on-Tees 014G,Offender otherwise dealt with
bdc08eccd25b3516c851337a49168e28b6b2d4f4d3c875d7574b49c36485a007,2016-05,Cleveland Police,Cleveland Police,-1.233985,54.577743,On or near Nightclub,E01012068,Middlesbrough 001A,Defendant found not guilty
f8292299186626b28fac1a592cb44e1c6930cf757d03c594ed9cf90238eef3ea,2016-05,Cleveland Police,Cleveland Police,-1.207265,54.686205,On or near CHURCH STREET,E01012000,Hartlepool 007E,Defendant found not guilty
eed14ae6177a14291499f38112453f12900adf3b8d7cc0aa0b5b07ddc1e90bf7,2016-05,Cleveland Police,Cleveland Police,-1.242494,54.666111,On or near BRIERTON LANE,E01011980,Hartlepool 009B,Offender sent to prison
5830aa2bc62860b3e9f9e48bdfd13dd41dd1d58f66dbd8cc3c1d16d9e2cf7ccd,2016-05,Cleveland Police,Cleveland Police,-1.172058,54.577605,On or near STEPHENS ROAD,E01012170,Redcar and Cleveland 022D,Offender given community sentence
6afd76ddbbd36faf6950ad9dae4fe47a7be5fc933b7d8280941f37d628fdb0b6,2016-05,Cleveland Police,Cleveland Police,-1.066705,54.618116,On or near Shopping Area,E01012100,Redcar and Cleveland 001A,Offender fined
ef92465cc4234fae38d830d6ea33772f6d09bb269aaf136b118505408b9fef1e,2016-05,Cleveland Police,Cleveland Police,-1.237268,54.570071,On or near BARRITT STREET,E01012092,Middlesbrough 001D,Offender sent to prison
3e848a9ff0fa64a17307686f03de483576677ba360b34f32d62909395b8351e0,2016-05,Cleveland Police,Cleveland Police,-1.310449,54.566205,On or near Stockton Police HQ,E01012266,Stockton-on-Tees 014E,Offender fined
eb77363dec05ac8f3240b193b5c9729bc48a1648faa9f95707e18b67560985dd,2016-05,Cleveland Police,Cleveland Police,-1.064262,54.616615,On or near FRANCE STREET,E01012102,Redcar and Cleveland 001C,Offender sent to prison
093f253cdeffb0161e440f40c7996836caff9a858591112e104c596e3a0d8136,2016-05,Cleveland Police,Cleveland Police,-1.214866,54.699834,On or near GATESGARTH CLOSE,E01011992,Hartlepool 002D,Offender sent to prison
8691e285f9176fe816ff19851b3a1b9071a9720db6fcbf9341db757a9452c8ef,2016-05,Cleveland Police,Cleveland Police,-1.243510,54.560449,On or near Supermarket,E01012081,Middlesbrough 005D,Offender sent to prison
2b6c2ca330fca58c356bcc0e10b515f3559fa7ee823b7a10ea4e09b526a72b76,2016-05,Cleveland Police,Cleveland Police,-1.341535,54.588351,On or near Supermarket,E01012249,Stockton-on-Tees 008B,Offender otherwise dealt with
d013692671e27fad8d40a6742146614c00d8542362acfebe865bf835003029f8,2016-05,Cleveland Police,Cleveland Police,-1.301421,54.553284,On or near CROMWELL TERRACE,E01012288,Stockton-on-Tees 017C,Offender fined
1703815c8e33dab35707ff956eb9e20b35f998f7eba81bac969a3ebc36adf06a,2016-05,Cleveland Police,Cleveland Police,-1.190213,54.549122,On or near LEALHOLM CRESCENT,E01012017,Middlesbrough 007C,Defendant found not guilty
b70d3f3ae72108f17717e9ad5ea4f92982cdd983933446289b769ddf731fc288,2016-05,Cleveland Police,Cleveland Police,-1.314927,54.561126,On or near YARM LANE,E01033477,Stockton-on-Tees 014G,Offender fined
1e9e3f124b5a59e5a2af507d4db9c753f3ee76bbc7944300a72aed8524964787,2016-05,Cleveland Police,Cleveland Police,-1.253474,54.571178,On or near Supermarket,E01012041,Middlesbrough 003F,Offender fined
e3ac11feaea05b70c0f018f90b2159e5016a4427a2bfa0f5517b9f8248fdefc8,2016-05,Cleveland Police,Cleveland Police,-1.339695,54.572937,On or near TOLLERTON CLOSE,E01012204,Stockton-on-Tees 013A,Offender sent to prison
422f0c705dfac3ba7ed9a293ee2769dd457e6e8436982be9714895a76264b168,2016-05,Cleveland Police,Cleveland Police,-1.213009,54.560721,On or near CLAPHAM GREEN,E01012074,Middlesbrough 004A,Defendant found not guilty
77beb31728ea201d211440bac67362584970e13b5648c64502ee007377cafa78,2016-05,Cleveland Police,Cleveland Police,-1.336196,54.586506,On or near RADLETT AVENUE,E01012274,Stockton-on-Tees 008F,Offender given suspended prison sentence
5e62afd84db404a5175a1c978fd2ba8021ceda06b8452c73366b012de5080317,2016-05,Cleveland Police,Cleveland Police,-1.318907,54.556124,On or near GLADSTONE STREET,E01012262,Stockton-on-Tees 014A,Offender fined
9b81ccc0489253906ab6427541916147097efe0ed0a9a2ebd5cf3e0bfefa012b,2016-05,Cleveland Police,Cleveland Police,-1.215226,54.554005,On or near Hospital,E01012018,Middlesbrough 011A,Offender given conditional discharge
31cc5fd3afb0e28169408a60ec1d75b51f865971fb7d018600550844c0610099,2016-05,Cleveland Police,Cleveland Police,-1.293814,54.607027,On or near Shopping Area,E01012276,Stockton-on-Tees 002E,Offender sent to prison
1d26ba612cf0f1e5a4f0fdfa694ea0ba3dd2e90d39794793788e4cb560bb99ab,2016-05,Cleveland Police,Cleveland Police,-1.210859,54.533513,On or near JASMINE GROVE,E01012049,Middlesbrough 014A,Defendant found not guilty
3c7ee070000341a22449e12237c4dbc3fe4a1f1fdc7896c6ecb22afb793c983a,2016-05,Cleveland Police,Cleveland Police,-1.277516,54.557807,On or near NEWMARKET AVENUE,E01012289,Stockton-on-Tees 017D,Defendant found not guilty
8f77bb04b39152a05af6aaf4114dfa4e65778f2796009b9e5a0d5c4b64192ef5,2016-05,Cleveland Police,Cleveland Police,-0.946466,54.566073,On or near WOODSIDE,E01012097,Redcar and Cleveland 010B,Defendant found not guilty
a0b750adb4ffe58a456bba38bd28b6a5592373205066779c0700d067a6828050,2016-05,Cleveland Police,Cleveland Police,-1.236569,54.575234,On or near Parking Area,E01012068,Middlesbrough 001A,Offender given conditional discharge
6cfa31aa211f28f956fde62448488bc3ad1fc7c1abb419a12c50d382e24702e4,2016-05,Cleveland Police,Cleveland Police,-1.067044,54.617535,On or near Shopping Area,E01012100,Redcar and Cleveland 001A,Offender sent to prison
35284b0e8362b8200981570091d904d3106fc94749546ccbbc4cafbbb4ea19b4,2016-05,Cleveland Police,Cleveland Police,-1.236433,54.573408,On or near BAKER STREET,E01012068,Middlesbrough 001A,Offender given community sentence
8a1526e300e2e51b717f49a105d368bdee2c1abdabd6e2fd16bf1c69ac562393,2016-05,Cleveland Police,Cleveland Police,-1.231565,54.570691,On or near FERN STREET,E01012068,Middlesbrough 001A,Offender given community sentence
4f7d6f52a8cc26f626edcbb2d9d676f7668d4c13037ba16b5357be207a985531,2016-05,Cleveland Police,Cleveland Police,-1.311938,54.563194,On or near Parking Area,E01033477,Stockton-on-Tees 014G,Offender given community sentence
88ef3ad52017f4f453bd0be9f577ce6f9a7989a4a26bc1c75229510ad7853089,2016-05,Cleveland Police,Cleveland Police,-1.233669,54.557430,On or near EASTBOURNE ROAD,E01012079,Middlesbrough 005B,Offender otherwise dealt with
f2a574daca3d574c8beac0325d1b7a2f7f5ce6bd1b0c1504ed1637b40aeab86f,2016-05,Cleveland Police,Cleveland Police,-1.258984,54.542804,On or near CHILTON CLOSE,E01012048,Middlesbrough 013C,Offender given community sentence
4987bcd30f487390db36633e18ced741c647d3d00e84386b3da180f3c370a68e,2016-05,Cleveland Police,Cleveland Police,-1.075354,54.602752,On or near Supermarket,E01012129,Redcar and Cleveland 005C,Offender given community sentence
4db0f1a03705ed6e294dbc5e7147875d38b094ef1636d29f9ec54f48a04e7145,2016-05,Cleveland Police,Cleveland Police,-1.198573,54.530376,On or near Marton Shops,E01012063,Middlesbrough 020B,Offender given community sentence
d5ed13ae52db43dce153ca72c973c9b0ad536396f5a68ac52373075985683421,2016-05,Cleveland Police,Cleveland Police,-1.334645,54.539226,On or near PRESTON LANE,E01012264,Stockton-on-Tees 014C,Offender fined
097582d25b30f9c25bae57da60a4623276d4d0da18fa642996a6e90530b23928,2016-05,Cleveland Police,Cleveland Police,-0.906939,54.562991,On or near FRONT STREET,E01012096,Redcar and Cleveland 013A,Defendant found not guilty
d3c49643b622fce295ae35bb85f2460c9f7e141ffa6785020540708190e3173e,2016-05,Cleveland Police,Cleveland Police,-1.215505,54.658660,On or near ILKLEY GROVE,E01011989,Hartlepool 010C,Offender given conditional discharge
a9520a39457be1fb57867506a077bfea890af8c60bd4753d00256d8393989373,2016-05,Cleveland Police,Cleveland Police,-1.295786,54.553718,On or near LANGLEY AVENUE,E01012286,Stockton-on-Tees 017A,Offender sent to prison
1b736634d1160918977afcb26f71294685cfa625ea0ff6cfa794e44b4e909d8b,2016-05,Cleveland Police,Cleveland Police,-1.314650,54.558284,On or near CHALK CLOSE,E01012262,Stockton-on-Tees 014A,Offender sent to prison
d07a27eb4e24826592b6c08469badc1a43c88ad4bbcbd9ea9314050bbf556587,2016-05,Cleveland Police,Cleveland Police,-1.244071,54.668835,On or near SINCLAIR ROAD,E01011980,Hartlepool 009B,Offender sent to prison
f4ccbc6485b45edb540731e711431990392c8f397ce13e95e1026e5880bfb999,2016-05,Cleveland Police,Cleveland Police,-1.142332,54.560268,On or near Parking Area,E01012171,Redcar and Cleveland 011E,Offender ordered to pay compensation
b5d856fc4d137ec7e8f32d8a42ea6a7266657d9c37aa8805d0789a2a228b50ad,2016-05,Cleveland Police,Cleveland Police,-1.339695,54.572937,On or near TOLLERTON CLOSE,E01012204,Stockton-on-Tees 013A,Offender fined
1017518b0851da85e48650be7e42e326df7eb6808dcba728e85be12a53851716,2016-05,Cleveland Police,Cleveland Police,-1.230869,54.567388,On or near PARK LANE,E01012093,Middlesbrough 001E,Offender sent to prison
