Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ca76cee074251d28127ae6ba5e72070f2199e1a7234a5937bb4203642e45010a,2016-05,Gwent Police,Gwent Police,-2.989613,51.578656,On or near COMMERCIAL ROAD,W01001661,Newport 018C,Offender fined
a45f7accc3f09f9d0682883ea8d19ed7c2c79e31b627ab2910c000b6d3559517,2016-05,Gwent Police,Gwent Police,-3.049663,51.598744,On or near CROESLLANFRO GARDENS,W01001669,Newport 009A,Court case unable to proceed
97905fcc1ce3d115d9335d33137af4ebd161d26b29c6187273563419ae1c0ce3,2016-05,Gwent Police,Gwent Police,-3.023609,51.832968,On or near Conference/Exhibition Centre,W01001546,Monmouthshire 002A,Offender fined
5eedebd957e0187809d57de03db15d4584837304d156e1cd83f9bce36c1c381c,2016-05,Gwent Police,Gwent Police,-3.211302,51.795578,On or near EBBW VIEW,W01001442,Blaenau Gwent 001C,Offender sent to prison
14ac68c5dd494639152b4f2f29cba1d03af6a65dba54a3784790d7eb206938f5,2016-05,Gwent Police,Gwent Police,-2.989984,51.581773,On or near RUPERRA STREET,W01001661,Newport 018C,Offender otherwise dealt with
9437263926edc3d0d086fc073b0cea640714f262cfd0b4f8ba7460aa9cd409e8,2016-05,Gwent Police,Gwent Police,-3.198281,51.770481,On or near GREENFIELD TERRACE,W01001460,Blaenau Gwent 007E,Defendant found not guilty
0cab0343e586b6cba38153bedf9bef5b62dc338b23a4210435a4364835582e64,2016-05,Gwent Police,Gwent Police,-3.010165,51.666536,On or near PLAS BRYN GOMER,W01001493,Torfaen 008A,Offender given community sentence
eb92ed471d0ab09de182fe81ffe669d6a524d260617ab2917d21f39b1ec4cf9e,2016-05,Gwent Police,Gwent Police,-2.997976,51.595445,On or near Pedestrian Subway,W01001681,Newport 006B,Offender given suspended prison sentence
29e73c45f556a4382620d9df784edc86078853a089b513b8cbc075e3dbec84e3,2016-05,Gwent Police,Gwent Police,,,No location,,,Offender sent to prison
63132ae47011df70af9b071c01185fdc1b3aefa1c823eeed364f917d2eef469a,2016-05,Gwent Police,Gwent Police,-2.997443,51.588274,On or near Supermarket,W01001685,Newport 014B,Offender given conditional discharge
97555a8d193a053afae3e65ef9fb4f3edbcea1deef65c001eec086695e699811,2016-05,Gwent Police,Gwent Police,-3.041413,51.702490,On or near Shopping Area,W01001524,Torfaen 004D,Offender given suspended prison sentence
c87de4bd2601e8f91df5e89ee9ae32960b73cbd5d7155a571a7e9799b4167f47,2016-05,Gwent Police,Gwent Police,-3.256044,51.784336,On or near ASHVALE,W01001480,Blaenau Gwent 003E,Offender fined
473ce63158123822ba9245ac4d9094ffeb6a77faacf42dd48ce9f62dcafb7c20,2016-05,Gwent Police,Gwent Police,-3.214638,51.786444,On or near Supermarket,W01001458,Blaenau Gwent 004E,Offender fined
d309cea8018760edfe551afc5a59ab9eaeecdac87e6609cbb11e319d964d3cca,2016-05,Gwent Police,Gwent Police,-2.988464,51.576274,On or near NEW STREET,W01001659,Newport 018A,Offender given community sentence
e8fbce9ec58728cdb3257f8539f5f80aefdb1e12b12a135f98a7e5c65785ac35,2016-05,Gwent Police,Gwent Police,-2.993072,51.581765,On or near CARDIFF ROAD,W01001687,Newport 014D,Offender otherwise dealt with
5f541ebb9ced2cf35f228c601a9f0d426655b7dfe366cdc082b4b85d7c4d98b7,2016-05,Gwent Police,Gwent Police,-3.246205,51.774541,On or near COMMERCIAL STREET,W01001481,Blaenau Gwent 006E,Offender given community sentence
