Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b48f1699f73ee7cb6c970f244b5986d910ec1d246c240843687da24fc8113a81,2016-05,Merseyside Police,Merseyside Police,-2.708374,53.498053,On or near VILLAGE VIEW,E01006802,St. Helens 002A,Defendant found not guilty
385f013ed234a61b3c1e8cac1fb66e463dacd64446616080ed183232983ce60b,2016-05,Merseyside Police,Merseyside Police,-3.016411,53.395100,On or near Parking Area,E01007126,Wirral 016A,Offender sent to prison
3b04920e4b1a3c95d17e217ed31bba2e94d985472c43b45098fb171ab10ac911,2016-05,Merseyside Police,Merseyside Police,-2.962418,53.406227,On or near BROWNLOW HILL,E01006747,Liverpool 031B,Offender sent to prison
3c376d8b2418e22fd8f3a219ca810472cdd6df02893c4901a5b01540e94ca696,2016-05,Merseyside Police,Merseyside Police,-2.949679,53.409690,On or near FELL STREET,E01006691,Liverpool 030A,Offender given community sentence
6340dfab70fa91fef56faf7d192311559e241c1db3a4b46ff50ebd631a139199,2016-05,Merseyside Police,Merseyside Police,-2.983495,53.405686,On or near Shopping Area,E01033760,Liverpool 060C,Offender given community sentence
19d957872e72b3a3c5eee50b95439815d2ccf6a9898995a93e1119c11052696f,2016-05,Merseyside Police,Merseyside Police,-2.949942,53.395153,On or near EDEN STREET,E01006674,Liverpool 039C,Offender given community sentence
d166476b00803f000065e1b920a620f046b0c976a2047b3e2ab1d1e227342857,2016-05,Merseyside Police,Merseyside Police,-3.002177,53.650960,On or near Shopping Area,E01033097,Sefton 004G,Offender given suspended prison sentence
2fd6aba9af116cd4f96a0e5bb8a3c60a54422c4aa65fadbbc843b28da5c8c7f5,2016-05,Merseyside Police,Merseyside Police,-2.952538,53.425884,On or near BRECK ROAD,E01006547,Liverpool 019C,Court case unable to proceed
6f72a8ef4bff99cd66128cabbee8c7aab53ed9d9dbba7e7388fac4bda12a11ca,2016-05,Merseyside Police,Merseyside Police,-3.004054,53.349271,On or near Parking Area,E01007152,Wirral 036D,Offender sent to prison
0327a95c43ba02864c8d1d2edd7fce682eab6a9a75448809b70657ad03d5d4bf,2016-05,Merseyside Police,Merseyside Police,-2.993776,53.455013,On or near Parking Area,E01007007,Sefton 037B,Offender given suspended prison sentence
e1b05588a3675e251265ada2b7c3de3ca1adc688a8314a17d62a8ca9ec851784,2016-05,Merseyside Police,Merseyside Police,-3.095464,53.370840,On or near Hospital,E01007251,Wirral 025B,Offender sent to prison
cbf2b7f1b2bd40af32b70f7ad7ac4830411207c546c445d3865b17ff56bdd649,2016-05,Merseyside Police,Merseyside Police,-2.947053,53.510791,On or near WINDSOR ROAD,E01007072,Sefton 020D,Offender given community sentence
c136a826aa725e8bbc2b107aec205301775b12ec782ad6734ce76945dc3665e6,2016-05,Merseyside Police,Merseyside Police,-3.011553,53.460985,On or near VERDI TERRACE,E01007004,Sefton 034A,Offender given suspended prison sentence
f5ed0dc637ea767797fdb865e63c09e7c3dafe31e01f22db399a72829f75a621,2016-05,Merseyside Police,Merseyside Police,-2.984289,53.455703,On or near RUTLAND STREET,E01006966,Sefton 038F,Offender given community sentence
7005f4f01c1d3b7faff5bf25c55d91b24da72893116385b86b9496ba58585050,2016-05,Merseyside Police,Merseyside Police,-3.023701,53.384889,On or near ARGYLE STREET SOUTH,E01007291,Wirral 021D,Offender sent to prison
f65eb91ae5298bf6b63a46beceb097c8e1935834402a145c6f5b8d4d4b541dba,2016-05,Merseyside Police,Merseyside Police,-2.695585,53.451639,On or near Supermarket,E01006817,St. Helens 017B,Offender given community sentence
b384d4310e4f3a4e0ac5ef8535ada2d242c913bf522e2e1133fd2e52f73fc0b1,2016-05,Merseyside Police,Merseyside Police,-3.028750,53.389143,On or near Supermarket,E01007128,Wirral 016C,Offender fined
89acdc3895f63b860b72db00829c01b089c6b2c77a741953ee62b9e7b04d1ecf,2016-05,Merseyside Police,Merseyside Police,-2.923916,53.467619,On or near FORMOSA DRIVE,E01006653,Liverpool 001B,Offender otherwise dealt with
8724e4ac7f51bcff7919d444e359875e80815fe2b077cf967a434c028dc31251,2016-05,Merseyside Police,Merseyside Police,-2.966150,53.464022,On or near ORRELL LANE,E01006782,Liverpool 003B,Offender given community sentence
233627d2fed5711c4d8c9d9146ab4f2ad3e541b8f6338cd8c2d02773d1d45c61,2016-05,Merseyside Police,Merseyside Police,-2.739002,53.454488,On or near WILLIAM STREET,E01006877,St. Helens 012C,Offender given community sentence
60e17ac6565e9fddc8430639f1da3db1270844e36db887ed50186a0e373baa00,2016-05,Merseyside Police,Merseyside Police,-2.931264,53.470187,On or near WORTLEY ROAD,E01006655,Liverpool 001C,Offender sent to prison
2ae7940550c14163d110dfd1e958f0a0c91df9e87ecef7bd77fe436da75fabb1,2016-05,Merseyside Police,Merseyside Police,-3.048133,53.419779,On or near MOSELEY AVENUE,E01007217,Wirral 007D,Offender given conditional discharge
9cb13c53f4fe64143046f759483ed2dbda3312c2fb3be8357540848888e6cc97,2016-05,Merseyside Police,Merseyside Police,-2.877969,53.424469,On or near KINGSHEATH AVENUE,E01006638,Liverpool 017B,Offender given community sentence
017d25a48b86fcc026435f0562f5ae996c7d71fc37cc2c8df01d309771011c2f,2016-05,Merseyside Police,Merseyside Police,-2.974355,53.395379,On or near PARLIAMENT CLOSE,E01006515,Liverpool 037B,Offender given suspended prison sentence
92503ebd8ecf9dba88d4321a890f52cadb3d3688ae61b09bd368c6fbec740a3c,2016-05,Merseyside Police,Merseyside Police,-3.051473,53.400846,On or near MILNER STREET,E01032903,Wirral 010F,Offender sent to prison
fbaf0d967f9c0986579c641dc21f56a0bef2cb28c16df80bf9a79389699a1744,2016-05,Merseyside Police,Merseyside Police,-2.956010,53.422341,On or near RICHMOND TERRACE,E01006563,Liverpool 024B,Offender fined
b8bfd71304e7db395f8c32ca244d98f5b6de2af94479f007bf226e1c9459fa0b,2016-05,Merseyside Police,Merseyside Police,-2.993498,53.492759,On or near EDGE LANE,E01007038,Sefton 021F,Offender given community sentence
95e8c670d0a6022f648ec4c3e1674fd614bbcd38ca5f962bf8f27366415853df,2016-05,Merseyside Police,Merseyside Police,-2.978384,53.413710,On or near Police Station,E01006648,Liverpool 023D,Offender given suspended prison sentence
f22df27efb644d1538f364461cce817189320152e6f881c647e51a5a6cab5990,2016-05,Merseyside Police,Merseyside Police,-2.845862,53.421806,On or near CARTMEL ROAD,E01006442,Knowsley 010B,Offender given community sentence
6ac0fa71c0f359b0b645068ade91543ec6c57f5abf60ededa6f00ca35715df6d,2016-05,Merseyside Police,Merseyside Police,-2.981075,53.405122,On or near Shopping Area,E01033760,Liverpool 060C,Offender sent to prison
3221b7d31f080a8f9d1df1154cc0ecc794bc29d406f84ff5acf890300573baa6,2016-05,Merseyside Police,Merseyside Police,-2.955243,53.420316,On or near RED ROCK COURT,E01006693,Liverpool 024D,Offender fined
11f10515754b29d0b4d051436ac02208d6f2d698ea696a494f331678b1fee5ae,2016-05,Merseyside Police,Merseyside Police,-2.788497,53.415151,On or near WALPOLE AVENUE,E01006496,Knowsley 009C,Offender otherwise dealt with
72ec1497ba9c0f362b74d21c8229cc7e8e474e5587cabb83f8bd0db6cfba9855,2016-05,Merseyside Police,Merseyside Police,-3.030194,53.394137,On or near HOPE STREET,E01007127,Wirral 016B,Defendant found not guilty
472fb26449f9ba8eb0a747aee81be9a72ec83ceeee042c55ced9782a8482b4e9,2016-05,Merseyside Police,Merseyside Police,-2.975081,53.439643,On or near CHIRKDALE STREET,E01006699,Liverpool 014A,Offender fined
8c10381dbdcdcc60ab300220b6a77703ec897a7d83b61ddd0590536e83544aaa,2016-05,Merseyside Police,Merseyside Police,-2.777883,53.463392,On or near Sports/Recreation Area,E01006823,St. Helens 009B,Court case unable to proceed
33ae03d8ff355839d2ab188410e4701dd1fc77a9dbea6ed363e3b355ae27b389,2016-05,Merseyside Police,Merseyside Police,-3.009131,53.646920,On or near HULME STREET,E01006968,Sefton 004C,Offender given suspended prison sentence
1be0a6f4ebe70ac2792bd6517b935aeb95865750a5d6304286b56170039db7e2,2016-05,Merseyside Police,Merseyside Police,-2.969222,53.440833,On or near WILBURN STREET,E01006611,Liverpool 012A,Defendant found not guilty
cc00b1d99da742827af1c6c71ae3d018cd521380afa6a41af7a518b42568e614,2016-05,Merseyside Police,Merseyside Police,-2.918078,53.456059,On or near EAST LANCASHIRE ROAD,E01006660,Liverpool 001E,Offender given suspended prison sentence
debabe476efd6209b16b22c5bcc36d493cc543db73b42dc2f564931f07adbfea,2016-05,Merseyside Police,Merseyside Police,-3.020261,53.390078,On or near OLIVER LANE,E01007126,Wirral 016A,Offender fined
6d9edb687ec8211e55c16fa5f74b90695bfe11e71f1024366af1e8f32da8505b,2016-05,Merseyside Police,Merseyside Police,-2.831384,53.358464,On or near MARSDEN ROAD,E01006429,Knowsley 020C,Defendant found not guilty
186de53a76ba1aed32511b4d0e9efb5d9a6886ee01f09497a7822c50048100c7,2016-05,Merseyside Police,Merseyside Police,-3.002177,53.650960,On or near Shopping Area,E01033097,Sefton 004G,Court case unable to proceed
367c40d27d6e0c2afb64e7c5cd52d10d669377973654500e5485bb8109392f49,2016-05,Merseyside Police,Merseyside Police,-3.011339,53.632996,On or near BOLTON ROAD,E01006934,Sefton 007A,Offender fined
df3a03c350bdc465844fe3692720edae7cacce26bd4d4b29895df39feb704805,2016-05,Merseyside Police,Merseyside Police,-2.855327,53.425559,On or near ROSEBANK ROAD,E01033228,Knowsley 008F,Offender given suspended prison sentence
9ee254c35249e127f08b198224c763727b69bf1bfc7d514192dd95a4d0d41cb7,2016-05,Merseyside Police,Merseyside Police,-2.967646,53.461556,On or near DINGLEY AVENUE,E01006784,Liverpool 003C,Offender sent to prison
f27b4af8927b4ef11aa57d1cabc5b9a99ca25851d7c14092ccd9958f0b57c885,2016-05,Merseyside Police,Merseyside Police,-3.034854,53.395930,On or near PRINCE EDWARD STREET,E01032903,Wirral 010F,Offender fined
86984363d6bec07f512308a508199e03dd2a743e4fae80952399a861753fb013,2016-05,Merseyside Police,Merseyside Police,-2.878075,53.485816,On or near QUARRY GREEN,E01006447,Knowsley 003E,Offender given absolute discharge
3714cc0d11f5487cd9c6865bfc5b5490c037897d4c31ea4d897d8f28f656aa3b,2016-05,Merseyside Police,Merseyside Police,-2.908425,53.381274,On or near Petrol Station,E01006689,Liverpool 049D,Offender given conditional discharge
1c635997ba4aa3a2e6a02e1753c61d81c1aee49ec492d189b3e0b7acbe31f659,2016-05,Merseyside Police,Merseyside Police,-2.974885,53.408705,On or near ST VINCENT STREET,E01033760,Liverpool 060C,Offender given community sentence
4301848411dce555ea3cc071f57f2f434b5abf532761924df36e24899cd68a39,2016-05,Merseyside Police,Merseyside Police,-2.917056,53.390449,On or near Supermarket,E01006593,Liverpool 042E,Offender given community sentence
1be0a6f4ebe70ac2792bd6517b935aeb95865750a5d6304286b56170039db7e2,2016-05,Merseyside Police,Merseyside Police,-2.969222,53.440833,On or near WILBURN STREET,E01006611,Liverpool 012A,Defendant found not guilty
459ad9d3966e6fde19455d0a233f246bf041d8e83c89660ecd882a6051d40bd0,2016-05,Merseyside Police,Merseyside Police,-2.963550,53.381084,On or near LOCKINGTON CLOSE,E01006633,Liverpool 050B,Offender given conditional discharge
716645091bb8f948087978cd2eac418ebddd333212465d83472d5276e80afc1c,2016-05,Merseyside Police,Merseyside Police,-3.059880,53.403244,On or near Supermarket,E01007122,Wirral 011C,Offender sent to prison
