Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
94c300767dc23e1b7ee3b8e4fb789501d4a93712bd03d62d1abf211800652b8f,2016-05,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender sent to prison
42db773cc28a15971381c22db9478a4a07bddabae953e6e4e5a2767eebced06d,2016-05,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender fined
390c13765da1932eaf27449b8fdc72feb982ddb9c30fa28d360ba9741452b37f,2016-05,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender fined
b41cb20e3ca669e581d1064be7eef84ce2bf0323ac0983ec87a966261e33e496,2016-05,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender given community sentence
432e78590549c7ae6587916fcf46d262ff435ffea603acd2cc727ff160c64575,2016-05,West Yorkshire Police,West Yorkshire Police,,,No location,,,Defendant found not guilty
22de83024862a346757061241d3b168b71cdcff5d058fc496a4c7f021a7da36e,2016-05,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender sent to prison
d3a14e6fd8a1a00b4b1a00d0d509848c9d4c131e10478c143eb942dbc8c44f93,2016-05,West Yorkshire Police,West Yorkshire Police,-1.502647,53.803499,On or near BACK NOWELL MOUNT,E01011347,Leeds 065B,Offender given conditional discharge
d3058f974a50e0dc6f22a3fe3fa08135bf407b3becbee71eaf9dfb47d611f1aa,2016-05,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender given community sentence
ca8c71fb005911a385370821468b89e2091d5784d841e51c9a61c9ca1753ad74,2016-05,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender deprived of property
9c481aeddc69e9a8d093dc19bca24eee6c83d6819366ae2e70fd641aef8c4f20,2016-05,West Yorkshire Police,West Yorkshire Police,-1.816559,53.796372,On or near SANDPIPER MEWS,E01010631,Bradford 040D,Offender given conditional discharge
015921ae218d95e87051bcc5592fbdefa65a2d4a2b3dd861b9a64caf5f7d91b1,2016-05,West Yorkshire Police,West Yorkshire Police,,,No location,,,Defendant found not guilty
652d4596ae3a22c48f684ee5a23b5cec1bf985b57df77536d0f83a54cfc66465,2016-05,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender fined
882ba430436eff403b59ccaabc674afa46b465bb1872480e3a7f13f504d72dd0,2016-05,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender fined
9e43c8e4f6d8bcc7828daa2a03e7b3b3798045ccf0a9c7a99b871fedc303418a,2016-05,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender given suspended prison sentence
19e1c577163b4cdb65e6c7647fa82b721b2bef2bc7d833077b6d1cd36dadc2ba,2016-05,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender sent to prison
c47da12bab6d2fd91bbace7ff9ca8de0b46e1224793dba91b09d714cfd9325c7,2016-05,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender given community sentence
e0a9683b3136c31ba6580c809ea5f567a2d17602c08b2a2e82dad3a98d73c1a1,2016-05,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender fined
e50cb17bf75bd08e75f1598c97659380ffb423038e1a498b6279557bb9167cc5,2016-05,West Yorkshire Police,West Yorkshire Police,-1.460670,53.821968,On or near Supermarket,E01011661,Leeds 035D,Offender fined
2c50e1c54e948230a095a5b52dfe8477c1d3889a99c88b7e77be3270e7cef715,2016-05,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender given community sentence
aaa5f566539db91db437bfd19fd9d32e107a09ed45a0f33524a8ac8099935bda,2016-05,West Yorkshire Police,West Yorkshire Police,-1.783879,53.765722,On or near VICTORIA ROAD,E01010849,Bradford 059C,Court case unable to proceed
697c28789c113f5233a0a56e4e70d9ded9e99666ce9773b01faf427d917a1a5e,2016-05,West Yorkshire Police,West Yorkshire Police,-1.857234,53.597700,On or near HIGHFIELD LANE,E01011175,Kirklees 055C,Court case unable to proceed
baad7c0a3393744bcca6fb55667ed9c9dfd579926d3cfcb2ec001e86d47469e9,2016-05,West Yorkshire Police,West Yorkshire Police,-1.668506,53.702542,On or near WALKLEY LANE,E01011161,Kirklees 011B,Offender given conditional discharge
a813572832a5953bb5c52f9594b026e294e0c8fc25431675d5fca6d0305a1af2,2016-05,West Yorkshire Police,West Yorkshire Police,-1.750193,53.792684,On or near DRAKE STREET,E01033690,Bradford 039G,Defendant found not guilty
9569246b92b3559e63b2454a73cbfc15ea198466f8b94d1082b081ef26d21703,2016-05,West Yorkshire Police,West Yorkshire Police,-1.647786,53.700560,On or near HEALDS ROAD,E01033542,Kirklees 017E,Offender given community sentence
e63ae3d6c7054d1abd832d280e2fc0b7d7be1ca2f3df1e75357cb3ce0bb85d76,2016-05,West Yorkshire Police,West Yorkshire Police,-1.828243,53.801332,On or near WEYMOUTH AVENUE,E01010800,Bradford 036D,Offender sent to prison
b80c0054c912521c4a1adb9080ef3118d46b3f3a3c1d74348ad0396d4c0eca18,2016-05,West Yorkshire Police,West Yorkshire Police,-1.563909,53.783532,On or near COLENSO GARDENS,E01011366,Leeds 082A,Defendant found not guilty
539f10ff0cfffe8176c027192c099b0c80af6386aa7f642c4a379803774cb3b1,2016-05,West Yorkshire Police,West Yorkshire Police,-1.752945,53.804859,On or near Petrol Station,E01010830,Bradford 035C,Offender sent to prison
e07c412e03a3d5c33bc782fa7cadd642e204944795ae670edf237d1109a30a63,2016-05,West Yorkshire Police,West Yorkshire Police,-1.563241,53.844909,On or near SCOTLAND WOOD ROAD,E01011560,Leeds 018D,Offender fined
521bd7c3db790eefaf99d985bcaaef694b94e65773a1a7cb334abcf938365208,2016-05,West Yorkshire Police,West Yorkshire Police,-1.579892,53.795471,On or near MITFORD PLACE,E01011294,Leeds 071D,Offender sent to prison
45b9f7880429a8ee35414532b1adc4ceae4168286c07f3e1f2e473997f230b13,2016-05,West Yorkshire Police,West Yorkshire Police,-1.817223,53.629356,On or near ELGIN CLOSE,E01011085,Kirklees 047D,Offender given community sentence
011b70056331a5b83f890d4661f0c6e5e558d82e22bfe0620f7d733d66331769,2016-05,West Yorkshire Police,West Yorkshire Police,-1.476270,53.807350,On or near OAK TREE LANE,E01011341,Leeds 061A,Offender given conditional discharge
84a7ece88a902d03bde14666b60fea84063cd8846250c3916c86c73efcf5c58e,2016-05,West Yorkshire Police,West Yorkshire Police,-1.515907,53.818949,On or near BROOKFIELD AVENUE,E01011422,Leeds 048A,Offender sent to prison
03ce8a769312b46903548b3a48beff6aa0dbd844c5d98996aaef6f7ff7d5c8bd,2016-05,West Yorkshire Police,West Yorkshire Police,-1.906807,53.866923,On or near HANOVER STREET,E01010710,Bradford 008G,Offender otherwise dealt with
9f184e7ae63811388d66ee1c7db332a7e05126501c829579df5a944127859e50,2016-05,West Yorkshire Police,West Yorkshire Police,-1.795063,53.808641,On or near CONISTON GROVE,E01010806,Bradford 033B,Offender given conditional discharge
29882d51bcd93b7e0b672bcc9a6a4ca679130e8b6e20332fb7abf64d5af7002d,2016-05,West Yorkshire Police,West Yorkshire Police,-1.544387,53.797966,On or near Conference/Exhibition Centre,E01033010,Leeds 111B,Offender sent to prison
075a2f40545be15be78fc65a8d9065e54a709192d2517b573319e5eb7d9da3dd,2016-05,West Yorkshire Police,West Yorkshire Police,-1.517873,53.677889,On or near Supermarket,E01011907,Wakefield 028D,Defendant found not guilty
44ebb04c4308444a32f8fa309e05817bcc0eeeaf91bd797ea2b89790b6b1d392,2016-05,West Yorkshire Police,West Yorkshire Police,-1.538212,53.833517,On or near VALLEY GARDENS,E01011351,Leeds 034B,Offender given suspended prison sentence
91e6d37f10a6d5351d8335c1048079ceabee331eec1e7e0b91d66712dac0eb84,2016-05,West Yorkshire Police,West Yorkshire Police,-1.632692,53.614416,On or near ASPEN COURT,E01011119,Kirklees 054D,Offender given suspended prison sentence
