Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6a5dc778d6b00a982e64fb5dc6249d74a54eab1193d6bd6ee2027a04d5f3f208,2016-06,West Midlands Police,West Midlands Police,-2.072982,52.583116,On or near NEACHELLS COURT,E01010423,Wolverhampton 022C,Offender sent to prison
7312e65e74293bc002d44d98fef807b13f58fbb58178d6592776a08d5c485676,2016-06,West Midlands Police,West Midlands Police,-1.433705,52.398839,On or near DONNYBROOK DRIVE,E01009543,Coventry 033D,Offender otherwise dealt with
f550f83388c0fe5cc4a24df69f45bffd76740bf8c3488f41d24b2fad5fbebadc,2016-06,West Midlands Police,West Midlands Police,-2.134521,52.581660,On or near HALLET DRIVE,E01010464,Wolverhampton 020B,Offender sent to prison
4f76bb2d33938f1e58b16fa9a804ec81283a55cc186f2d71263537cb1005fb6d,2016-06,West Midlands Police,West Midlands Police,-1.903740,52.484131,On or near LUDGATE HILL,E01033622,Birmingham 138B,Offender sent to prison
b243d52228e5e5f39ca5eb583f563ee7e5687ae877e042732d3f2a812481bee6,2016-06,West Midlands Police,West Midlands Police,-2.078327,52.584246,On or near Petrol Station,E01010446,Wolverhampton 023E,Offender given community sentence
f4f6b8ab7ca8cb87663579670e3530025df57ca12a4c4eaa11c26bf71ba2e7b0,2016-06,West Midlands Police,West Midlands Police,-1.504216,52.408577,On or near COPE STREET,E01009642,Coventry 031C,Offender sent to prison
d0cf6197d8e4c2d7fb5126a436feb32068a407d575d423f73fdf8a1d6aff3ad9,2016-06,West Midlands Police,West Midlands Police,-1.867591,52.473452,On or near COVENTRY ROAD,E01009379,Birmingham 071E,Offender given community sentence
1d20f5284cc37bf619f0b90e138a9a7b9ea9b99caed57f422b9c6a39cdece59a,2016-06,West Midlands Police,West Midlands Police,-1.963976,52.509102,On or near Sports/Recreation Area,E01010052,Sandwell 023F,Offender given community sentence
4973ed6b7223860a095398357a11dc94e2b453f8a4330126ceee29287e8214de,2016-06,West Midlands Police,West Midlands Police,-2.080161,52.481292,On or near Supermarket,E01009876,Dudley 020D,Offender given community sentence
155687b5c750f6559319a2de11304828d389ef98ba3bebbf620e096d51686e93,2016-06,West Midlands Police,West Midlands Police,-1.738644,52.480564,On or near Shopping Area,E01010125,Solihull 006A,Offender sent to prison
a1ae10fb52564e539c340f7c3f6c143a050e1ef709a34b36dae74a461ca4f12c,2016-06,West Midlands Police,West Midlands Police,-2.087915,52.610813,On or near GRASMERE CLOSE,E01010458,Wolverhampton 008A,Offender given community sentence
abe95609a638cedec7aef046e396bb1402e1fdc74ca2c8760ea78784c8348a38,2016-06,West Midlands Police,West Midlands Police,-1.889356,52.559319,On or near LISSON GROVE,E01009233,Birmingham 008D,Offender sent to prison
f5913c652b468692c41150cb043e991eddef63956ec44b2cde7a69b55cd5746e,2016-06,West Midlands Police,West Midlands Police,-2.055213,52.582937,On or near ENSDALE ROW,E01010404,Walsall 025C,Offender sent to prison
01c0cd8061cba33e5334647835f061e7ddd126910aab99aa44f1aa2a4b835441,2016-06,West Midlands Police,West Midlands Police,-1.502933,52.412896,On or near PRIMROSE HILL STREET,E01009638,Coventry 024C,Offender ordered to pay compensation
11a8abbc05f20bf5130e9fbd28cb6b2b5e8d48ff1c1a4e61f3e03043d0695fd4,2016-06,West Midlands Police,West Midlands Police,-2.134850,52.582900,On or near STANHOPE STREET,E01010464,Wolverhampton 020B,Offender given suspended prison sentence
b44ce045bfeaac9e1f4cb3ef7e39c282d65177fd7e41f8489be5b3cfafde6b6d,2016-06,West Midlands Police,West Midlands Police,-1.921374,52.471558,On or near Parking Area,E01008994,Birmingham 074B,Offender given community sentence
48283c49984c3bba008554b0f46e4e4b35df0dfdc781f15b86bf02b6505016e3,2016-06,West Midlands Police,West Midlands Police,-2.063990,52.469301,On or near ROWLEY HILL VIEW,E01009958,Sandwell 038D,Offender given community sentence
415598f351ff5a1b25f162fd10668721549c72351e85c5dddb4bae6f00a5b3e6,2016-06,West Midlands Police,West Midlands Police,-1.493775,52.434568,On or near JOHN WIGLEY WAY,E01009567,Coventry 009C,Offender given conditional discharge
b427cfd11833bd1092e07a16a287336a855245d9957c16d8fa8151731f0ea46d,2016-06,West Midlands Police,West Midlands Police,-1.921374,52.471558,On or near Parking Area,E01008994,Birmingham 074B,Offender given suspended prison sentence
a9cbb650ead462b3e01ccd2dc51668205c5d097d0302876f90ff1a153422f140,2016-06,West Midlands Police,West Midlands Police,-1.866708,52.473433,On or near Petrol Station,E01009332,Birmingham 139E,Defendant found not guilty
9f64a43827fd1119ac8fe9cc88e339e18c11cd7c61dcc9b947c34735f4950c6a,2016-06,West Midlands Police,West Midlands Police,-1.995250,52.569061,On or near WALLOWS LANE,E01010336,Walsall 034A,Offender given suspended prison sentence
b279c8207c08b5b3b7559a6320163f61f0ff467bb6a318edff2ebfda830f5304,2016-06,West Midlands Police,West Midlands Police,-1.988444,52.587777,On or near Shopping Area,E01010368,Walsall 030A,Offender sent to prison
f64d47ed3d03c9fadb1c8dfe12bc74e240314e2bf073ba24daa6205f47536cb4,2016-06,West Midlands Police,West Midlands Police,-1.817942,52.471534,On or near FIELDHOUSE ROAD,E01008896,Birmingham 066B,Defendant found not guilty
365d31cb31428c5803bfc10bdabdde7544f7600011b37c84244939fa4dbebab6,2016-06,West Midlands Police,West Midlands Police,-2.175704,52.564930,On or near BOUNDARY WAY,E01010491,Wolverhampton 028C,Offender given community sentence
6ac0dd0825c74b5092e25097946617572dd9df6c0960d6665f3f6400042f81bf,2016-06,West Midlands Police,West Midlands Police,-1.836533,52.480164,On or near BROADWAY AVENUE,E01009197,Birmingham 058C,Court case unable to proceed
253a5c32e1f23e1ac840f5635fcd9c7119d18e070ccb606bb36af63a159d45fb,2016-06,West Midlands Police,West Midlands Police,-1.895378,52.476815,On or near Shopping Area,E01033615,Birmingham 135C,Court case unable to proceed
466dd92daf1c2d73e8129877905d891c42ad8736c65449242e2c9df143fd79f8,2016-06,West Midlands Police,West Midlands Police,-1.859300,52.525152,On or near STREETLY ROAD,E01009410,Birmingham 026D,Offender given community sentence
3b34146b2d0f8045752fd57946264bcd9e9abe8cdda7bfb467e06e3d674b49c3,2016-06,West Midlands Police,West Midlands Police,-1.812045,52.463299,On or near ASH TREE DRIVE,E01008886,Birmingham 076B,Offender given community sentence
a7b9fe925a2793970cc63f39d77b7c9938407ca40914f3a1bfae381d45e76f55,2016-06,West Midlands Police,West Midlands Police,-1.830741,52.466186,On or near BERKELEY ROAD,E01008882,Birmingham 066A,Offender otherwise dealt with
5e227b1b0cfee32755e8c27cc9b4436cfa76e37778d08a692c2b23974561ce33,2016-06,West Midlands Police,West Midlands Police,-2.054426,52.591145,On or near BLOXWICH ROAD SOUTH,E01010408,Walsall 025E,Offender given suspended prison sentence
d81ff31141ef236ae190750c8a524aa474f90a2c751e935a64bed01c269f371c,2016-06,West Midlands Police,West Midlands Police,-1.823146,52.561729,On or near Shopping Area,E01009449,Birmingham 009A,Offender sent to prison
12a931936af81134648a8f1d6222fcc357e5fc63f26cff2805f6ee42332c25af,2016-06,West Midlands Police,West Midlands Police,-1.797253,52.472759,On or near Sports/Recreation Area,E01009518,Birmingham 067D,Offender fined
66585cba63440ef54c4adbe253fab3e977e35612bafdb771f03fcd9c734a9cb9,2016-06,West Midlands Police,West Midlands Police,-1.489269,52.427357,On or near SILVERTON ROAD,E01009569,Coventry 015A,Offender fined
8f5b3ed1b2f0bec75bb381cc9fd708f9610c21c3f2de4f54dfa5683563715fb1,2016-06,West Midlands Police,West Midlands Police,-1.808202,52.487188,On or near Shopping Area,E01009095,Birmingham 056A,Defendant found not guilty
a075a21b61d7aaffafb0e8c50e628ef505dfcff06b31819a6118f5e255c65eb1,2016-06,West Midlands Police,West Midlands Police,-1.893810,52.529270,On or near COLLEGE ROAD,E01009239,Birmingham 033F,Defendant found not guilty
b8e6c0c3b7a376fff70171824fc0b52144086e06afe91e7c9507777e1d3f8f2a,2016-06,West Midlands Police,West Midlands Police,-1.940372,52.433379,On or near LOWER MOOR,E01009281,Birmingham 099A,Defendant found not guilty
e5e56778d5e6368889bc060d517651e92c3f739c35e763ad5606619252d378e7,2016-06,West Midlands Police,West Midlands Police,-1.984304,52.397280,On or near DEVON WAY,E01009162,Birmingham 124A,Offender fined
71671b2c1432822399e81f1b7e4ce69f589bc7a2181b3a18b5e75a48ea794ab7,2016-06,West Midlands Police,West Midlands Police,-2.018341,52.536381,On or near POULTNEY STREET,E01010095,Sandwell 013C,Defendant found not guilty
3274e140be40c7c4e3288b2d85b6fb9f78656666bc09a76ec6118e48b0f84596,2016-06,West Midlands Police,West Midlands Police,-2.129833,52.593190,On or near OXLEY LANE,E01010528,Wolverhampton 016C,Offender sent to prison
3ea5f5c72f607df0fdf181cc38628e27e915e184c991586265aa7188899cce92,2016-06,West Midlands Police,West Midlands Police,-1.887957,52.454063,On or near EDGBASTON ROAD EAST,E01009376,Birmingham 084C,Offender given community sentence
d28e72d42d3d58201d3100c4899a4c1de3206ee0bc3207c33f5644347dbb62cb,2016-06,West Midlands Police,West Midlands Police,-1.971279,52.540919,On or near TURNERS CROFT,E01009951,Sandwell 039E,Offender given community sentence
26144fa61b2c9ca427b0e76c52515adf9279278267b5ad1d1a22946969f646fe,2016-06,West Midlands Police,West Midlands Police,-1.467046,52.407939,On or near AMBLER GROVE,E01009617,Coventry 027C,Offender given community sentence
5f60092a60e948799576b3ca66e9a1017903557071f44ccae633bd1c28102d08,2016-06,West Midlands Police,West Midlands Police,-1.970551,52.414529,On or near ROCHESTER ROAD,E01009219,Birmingham 120E,Offender given suspended prison sentence
a8362300ddfc1aafa8e8c81f23f5ce1407b8bdae10c80b620744a2b04e640bed,2016-06,West Midlands Police,West Midlands Police,-2.126485,52.491968,On or near FENS CRESCENT,E01009752,Dudley 017B,Defendant found not guilty
2af9010e8288ad30ef2027ff200d215cfcce7ba70f7c3b8fae9171a8a63738b7,2016-06,West Midlands Police,West Midlands Police,-2.083721,52.510669,On or near STONE STREET,E01009881,Dudley 011C,Offender given community sentence
8b2034f8555f17ac93184e0c3b1049c6ee8db3ee684729fc89379ae687d82b4b,2016-06,West Midlands Police,West Midlands Police,-1.831285,52.396837,On or near BAXTERS GREEN,E01010211,Solihull 023C,Offender fined
a54b42bdf46591d804fa8b09a2d4fcacc35b544bc2183eb46f8187f29a5dfb8c,2016-06,West Midlands Police,West Midlands Police,-1.938525,52.492487,On or near Prison,E01009345,Birmingham 053D,Offender sent to prison
adc84e808d8eb40996e8f8df1e723ce934996f5d88ff0885fca4a334c6c2fec2,2016-06,West Midlands Police,West Midlands Police,-1.941495,52.507349,On or near BERNHARD DRIVE,E01009274,Birmingham 036C,Offender sent to prison
a81c762047f326d6a1e33e30834427d1a8cbd23d2826f1913fa2a24bc8e2ad42,2016-06,West Midlands Police,West Midlands Police,-1.999499,52.540608,On or near GORDON AVENUE,E01009998,Sandwell 010F,Offender given suspended prison sentence
6763975b35c12b7f8ac04e7f78196c2c9d724d9b7aa288e33e84cfc93063a152,2016-06,West Midlands Police,West Midlands Police,-1.962180,52.559175,On or near THE PRIMROSES,E01009971,Sandwell 002C,Offender given conditional discharge
74af8386d4e8c30254edf69a1a5ebe5d3ac49f6ef7aa0aa670b589106259b74a,2016-06,West Midlands Police,West Midlands Police,-1.915854,52.409442,On or near BROADMEADOW CLOSE,E01008977,Birmingham 123A,Offender given suspended prison sentence
783210d2518a471cffc3e9d794b276a4a8bb713ed6c5b825e95dd32cc18dea3e,2016-06,West Midlands Police,West Midlands Police,-2.004437,52.524417,On or near CARTER'S GREEN,E01010103,Sandwell 017D,Offender sent to prison
eb5a571d15b03a5405d78f4d5d57bfd7712affb4fe70723042fbbd328415b350,2016-06,West Midlands Police,West Midlands Police,-1.993104,52.516857,On or near Shopping Area,E01010102,Sandwell 020C,Offender sent to prison
fe0ca7691ca2884fb83a2f331ecf599e59a2ba228c4021f9b48d1ed059597c1d,2016-06,West Midlands Police,West Midlands Police,-2.129660,52.584488,On or near VICTORIA STREET,E01010521,Wolverhampton 020F,Offender fined
415d2f9fe17e77eb5df09e7c15a57d9f1ac8cbe1b3fe3c82d296d04c6a5bc9a5,2016-06,West Midlands Police,West Midlands Police,-1.966859,52.417567,On or near Shopping Area,E01009218,Birmingham 120D,Offender given suspended prison sentence
090f90c8a5b853abc0e0db6ab930efcac40af00d8ef527767bed9b2afdd20495,2016-06,West Midlands Police,West Midlands Police,-1.479093,52.442245,On or near BERKSWELL ROAD,E01009604,Coventry 004A,Offender sent to prison
cf8e1a0b5bc1197134b53f761c83550b97e0051ecd573252bd0933fb2c7e3811,2016-06,West Midlands Police,West Midlands Police,-2.145228,52.588138,On or near MIDDLE VAUXHALL,E01010508,Wolverhampton 017B,Offender sent to prison
519cdd6a63dcd63d1999469fb794955cb5d36eb1d5d16ab183232b34bab9dc06,2016-06,West Midlands Police,West Midlands Police,-1.973463,52.586013,On or near WALHOUSE CLOSE,E01010369,Walsall 024D,Defendant found not guilty
f319c17765b7d2fafe7e45173d40c9fddc6460d67b30186ca20310197578fb43,2016-06,West Midlands Police,West Midlands Police,-2.054492,52.584852,On or near UPPER LICHFIELD STREET,E01010406,Walsall 027C,Court case unable to proceed
928204bdc72c25d24eacb070e8efe8192062edcc917b70b5709bb2301b1b8857,2016-06,West Midlands Police,West Midlands Police,-1.865492,52.534554,On or near WENDOVER ROAD,E01009121,Birmingham 014A,Offender given community sentence
26b65b728f07a5b5a1a4cd4ce2762aaa6451b941f47531fd061969aadc57bb27,2016-06,West Midlands Police,West Midlands Police,-2.165961,52.567407,On or near Supermarket,E01010491,Wolverhampton 028C,Offender given conditional discharge
