Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9a7c0acae3ffc3b6012805af87c10c8536c0b13b88aff08bec65e3ebe8c9c04e,2016-07,Bedfordshire Police,Bedfordshire Police,-0.484334,51.895224,On or near MACAULAY ROAD,E01015762,Luton 013D,Suspect charged
c4b7d1d7c997c8f9eee98b1d9bcbb8608a06649c7f7b9c75bdbe7a2382c31a2c,2016-07,Bedfordshire Police,Bedfordshire Police,-0.419905,51.875000,On or near WINDSOR STREET,E01015795,Luton 021F,Investigation complete; no suspect identified
40afd40ce37fd9ed9d9f6418509e0b603611954f049623c8c14089bc89e68fe8,2016-07,Bedfordshire Police,Bedfordshire Police,-0.430467,51.910838,On or near DEWSBURY ROAD,E01015744,Luton 004A,Unable to prosecute suspect
8082e2421e756c4f41d2a221677448ec724b4c584fc999fc3b3afebe5b8c141f,2016-07,Bedfordshire Police,Bedfordshire Police,-0.495448,51.850508,On or near WICK HILL,E01017586,Central Bedfordshire 032C,Unable to prosecute suspect
7f3b115077acd7706ff3da476b8750b98ebfa42e6f0780352363bfe5d4b4bc97,2016-07,Bedfordshire Police,Bedfordshire Police,-0.433307,51.894826,On or near ASCOT ROAD,E01015701,Luton 010B,Investigation complete; no suspect identified
9192141650273774a74be29990c1388f3d143a6e9f8738c2c44a13f24ab2176e,2016-07,Bedfordshire Police,Bedfordshire Police,-0.383519,51.884199,On or near MISTLETOE HILL,E01015721,Luton 014A,Investigation complete; no suspect identified
5f782951859ebcd28dc123c1ba0475d22150343ea37177c21d37fae37910addf,2016-07,Bedfordshire Police,Bedfordshire Police,-0.470685,52.141009,On or near BOSWELL PLACE,E01017502,Bedford 010F,Suspect charged
739b5b599f70c09a632d4d3027045830977961de12303510a4e762fbbd24ba1b,2016-07,Bedfordshire Police,Bedfordshire Police,-0.452072,52.010544,On or near HIGHFIELD ROAD,E01017398,Central Bedfordshire 017A,Investigation complete; no suspect identified
e87e15856791f37b7f18a4dd2fe1790e98e642ea77fe7fcb878d108c0c82a945,2016-07,Bedfordshire Police,Bedfordshire Police,-0.482538,52.140982,On or near MILTON ROAD,E01017499,Bedford 010C,Offender sent to prison
282f00093fa15045b615a07f08135a0cc9c0e4b8e86969981bf58b6384aaf554,2016-07,Bedfordshire Police,Bedfordshire Police,-0.425035,52.152564,On or near CRANBORNE CLOSE,E01017492,Bedford 007E,Offender given community sentence
b762fb3a315c5f0b9f16df66893ff3d5cd6f0c9338397a316787e99136ebde58,2016-07,Bedfordshire Police,Bedfordshire Police,-0.406542,51.881923,On or near MOULTON RISE,E01015743,Luton 018D,Defendant found not guilty
3152da9c247dba4f57eb24203713220734b01472c71fdaf7d75cf0a96365c9c1,2016-07,Bedfordshire Police,Bedfordshire Police,-0.472102,52.124384,On or near AMPTHILL ROAD,E01017475,Bedford 015D,Offender given community sentence
07658264fc28b6c0764682da19f58d0752432c12881b322c17b9d6f8f0013680,2016-07,Bedfordshire Police,Bedfordshire Police,-0.462292,52.144559,On or near PEMBERLEY AVENUE,E01017482,Bedford 009A,Offender sent to prison
0e1e2824eac95af457521853c658a3f7777174f4061e144e5753e78710981461,2016-07,Bedfordshire Police,Bedfordshire Police,-0.664074,51.917057,On or near Supermarket,E01017555,Central Bedfordshire 021A,Offender sent to prison
1a71860068f891e4fca2d917a21b13a653a22b4f2efb12cdc9d6b26283543cc0,2016-07,Bedfordshire Police,Bedfordshire Police,-0.522882,51.904382,On or near ROMAN GARDENS,E01017579,Central Bedfordshire 026B,Offender fined
ca333ac460485967265dea0696c1ca7fbf646802d0023297397678de9f806468,2016-07,Bedfordshire Police,Bedfordshire Police,-0.253934,52.083915,On or near ELM ROAD,E01017382,Central Bedfordshire 006B,Offender sent to prison
55bc91a225a7f4a69e48732f801dbb42827b1a4889a9eeefd1f9876f98408958,2016-07,Bedfordshire Police,Bedfordshire Police,-0.584981,51.873819,On or near KNIGHTS CLOSE,E01017571,Central Bedfordshire 032A,Court case unable to proceed
b4bbfdf736064b0c657b4fd98112e45b8c3a28f3ff4a180fd320d1e9b47d3921,2016-07,Bedfordshire Police,Bedfordshire Police,-0.475106,52.136525,On or near ALEXANDRA ROAD,E01017466,Bedford 012A,Offender given suspended prison sentence
78df2f6ceb7b26170ff630cd4ffbbe51f9cfe702abff1704c14157fc77ed424d,2016-07,Bedfordshire Police,Bedfordshire Police,-0.414197,51.879077,On or near Parking Area,E01015794,Luton 018F,Offender given community sentence
fbbd687e3afa222027cfad27673217c7745a259b6da5d2a3734884635bb4cbb5,2016-07,Bedfordshire Police,Bedfordshire Police,-0.466075,52.138251,On or near Nightclub,E01017469,Bedford 012D,Offender given community sentence
55f75a2a1cac86a660e0ef8be88e21d54f1b6d12095dd50831b69d3c910140ac,2016-07,Bedfordshire Police,Bedfordshire Police,-0.429552,51.880380,On or near BELMONT ROAD,E01015729,Luton 019C,Offender sent to prison
d19c8abba3a2a5ce467d92a7ace4c5761da04fc5cfba92f2261a0a8fc4916f04,2016-07,Bedfordshire Police,Bedfordshire Police,-0.483015,52.133399,On or near CROMWELL ROAD,E01017536,Bedford 013B,Defendant found not guilty
1be90d8cec29072cc384ccf3da7a747bb0b593cd2b591add0ba0820723a03ec9,2016-07,Bedfordshire Police,Bedfordshire Police,-0.413327,51.879443,On or near Supermarket,E01015794,Luton 018F,Offender sent to prison
fdf4aaa4f372c5f9b383710a9367270dbdb414824eba49aed771af09ec197524,2016-07,Bedfordshire Police,Bedfordshire Police,-0.293370,52.133999,On or near EAST ROAD,E01017434,Central Bedfordshire 001B,Offender sent to prison
883137abc97fbf6c6db52e13372a6fa31b993bd1bb8403c85cb13738a4d3cee3,2016-07,Bedfordshire Police,Bedfordshire Police,-0.422877,51.883888,On or near CRAWLEY ROAD,E01015699,Luton 017B,Defendant found not guilty
493a138646db3655584c581d132a530a7e226a22cab8205ce420dd56ae4c9d01,2016-07,Bedfordshire Police,Bedfordshire Police,-0.226517,52.013757,On or near HIGH STREET,E01017447,Central Bedfordshire 014B,Offender fined
50c1fda863a4b617bf88359db8b510cddb831c19d0a646fccfbddd24b5b5e711,2016-07,Bedfordshire Police,Bedfordshire Police,-0.452864,52.127316,On or near HARDING CLOSE,E01017523,Bedford 014F,Offender sent to prison
ce56c0c61810d004b09b40adedab5ebbf3964f9c5b39852870a330a95c01a2d8,2016-07,Bedfordshire Police,Bedfordshire Police,-0.647712,51.924918,On or near HORNBEAM CLOSE,E01017603,Central Bedfordshire 020A,Offender given community sentence
e5a6c5d55d22b4c218f46205f30fc2d05e692d3cacb7110e181bacbae9f5f8fd,2016-07,Bedfordshire Police,Bedfordshire Police,-0.417033,51.897602,On or near GREENHILL AVENUE,E01015695,Luton 007C,Offender given suspended prison sentence
882b16bf2497585262e100d515f894ef90d3a81885451546202221ad9cbe8803,2016-07,Bedfordshire Police,Bedfordshire Police,-0.421460,51.877862,On or near BUXTON ROAD,E01015795,Luton 021F,Defendant found not guilty
4042ffa158a5479aea8213e838bae214ac09ab4c5150a98c580a051d9d44a268,2016-07,Bedfordshire Police,Bedfordshire Police,-0.493186,52.032359,On or near Supermarket,E01017374,Central Bedfordshire 012D,Defendant found not guilty
2589f9567150da28b33a6bf082c441aa7492d85cf224490a8397d91399618261,2016-07,Bedfordshire Police,Bedfordshire Police,-0.501636,52.107923,On or near Police Station,E01017514,Bedford 018B,Offender otherwise dealt with
879910ec460845cbef68eee4ea78d5bed97c1b936af9083e3743c4f67a6b2441,2016-07,Bedfordshire Police,Bedfordshire Police,-0.490192,52.120760,On or near BEDFORD ROAD,E01017512,Bedford 016D,Offender sent to prison
a037c7c0f1d7c0bd0c8729294d76a6aac0fe7915852c4faa9e12767d7c2d9f5f,2016-07,Bedfordshire Police,Bedfordshire Police,-0.423397,51.877744,On or near NAPIER ROAD,E01015795,Luton 021F,Offender given community sentence
668bd2bc813143687ed792a9e712f86751796e22c5cee4b47b8dddb72b714a05,2016-07,Bedfordshire Police,Bedfordshire Police,-0.499033,52.109769,On or near WOBURN ROAD,E01017514,Bedford 018B,Offender ordered to pay compensation
49f09cac3652936cb3ce44e94b94af420a6ef002ca74a0b1a819ce8206b33da7,2016-07,Bedfordshire Police,Bedfordshire Police,-0.469508,52.135707,On or near Parking Area,E01017466,Bedford 012A,Offender given community sentence
eceb7092c18c75d83f6cc52f76a36b892205e31348016f8a4dabab0d29eeeb76,2016-07,Bedfordshire Police,Bedfordshire Police,-0.466128,52.136706,On or near Supermarket,E01017469,Bedford 012D,Offender fined
d19c8abba3a2a5ce467d92a7ace4c5761da04fc5cfba92f2261a0a8fc4916f04,2016-07,Bedfordshire Police,Bedfordshire Police,-0.483015,52.133399,On or near CROMWELL ROAD,E01017536,Bedford 013B,Defendant found not guilty
2fabfc2bbcdc0c40751b9041c44fed1069e3d244a769870c957e03599aaf0505,2016-07,Bedfordshire Police,Bedfordshire Police,-0.226844,52.013582,On or near Supermarket,E01017447,Central Bedfordshire 014B,Offender fined
2f271766d78e19e7f4f7b97564267f8dee51bfba0dbcb998f1112a82690edfb5,2016-07,Bedfordshire Police,Bedfordshire Police,-0.415264,51.885934,On or near MUSSONS PATH,E01015739,Luton 018A,Offender sent to prison
c43fd766f2acddb0ed260f89c63cbd09e5cd8ed993d1176f17711c875c9447c8,2016-07,Bedfordshire Police,Bedfordshire Police,-0.410101,51.875362,On or near CHEQUER STREET,E01015789,Luton 018E,Offender sent to prison
fc313d8bf12aa090591d34e9b953a1cae803f6b6339d7c35b4fd77d3e0c08565,2016-07,Bedfordshire Police,Bedfordshire Police,-0.416840,51.877458,On or near Conference/Exhibition Centre,E01015791,Luton 021C,Offender sent to prison
7e5a4227c115e7b21a4e01bf2d0dc77195c6a4be20101bfc784c2000a88f564f,2016-07,Bedfordshire Police,Bedfordshire Police,-0.452376,51.923959,On or near UNDERWOOD CLOSE,E01015773,Luton 003D,Offender sent to prison
71c7a7329812a6138f2d700058384820dff36cd50eaab632852ce81654851202,2016-07,Bedfordshire Police,Bedfordshire Police,-0.522952,51.886274,On or near Parking Area,E01017568,Central Bedfordshire 029C,Offender sent to prison
49795a2a123153d201fe795276a8c13045df148f4f77927423fcff1e2ce33fb5,2016-07,Bedfordshire Police,Bedfordshire Police,-0.466128,52.136706,On or near Supermarket,E01017469,Bedford 012D,Offender sent to prison
fac0960646ea03400fa6405d4680c1fa48f6057f64a601d5178ae9ebe3c50a72,2016-07,Bedfordshire Police,Bedfordshire Police,-0.458925,52.138365,On or near ROTHSAY GARDENS,E01017469,Bedford 012D,Offender otherwise dealt with
54c8b23db26a1d42d9bf2837a1354fedc9feb8c972d82e72cc4df7a4e5bc041c,2016-07,Bedfordshire Police,Bedfordshire Police,-0.534564,51.885322,On or near HAMBLING PLACE,E01017596,Central Bedfordshire 028C,Offender given community sentence
824b4576919017c56e7f7754dc6f457e6019edc1f49157d575b104045b1c2261,2016-07,Bedfordshire Police,Bedfordshire Police,-0.500106,51.876346,On or near MORCOM ROAD,E01017594,Central Bedfordshire 030C,Court case unable to proceed
b28bc8c59809057fac85c3d430d0126493f8e449e99e48bc88ebd234dbaaf4a3,2016-07,Bedfordshire Police,Bedfordshire Police,-0.645188,51.911195,On or near WESTON AVENUE,E01017575,Central Bedfordshire 024C,Offender given community sentence
d19c8abba3a2a5ce467d92a7ace4c5761da04fc5cfba92f2261a0a8fc4916f04,2016-07,Bedfordshire Police,Bedfordshire Police,-0.483015,52.133399,On or near CROMWELL ROAD,E01017536,Bedford 013B,Defendant found not guilty
336c11395423d8274212c298909c52a3a7bc5c6583a006afead1601e690e5704,2016-07,Bedfordshire Police,Bedfordshire Police,-0.364071,51.890368,On or near EMMER GREEN,E01015810,Luton 014F,Offender otherwise dealt with
