Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
26c433ddf23d9c08ae93daebc4c29b7feacc043f9d587862aed5447c2c14c1f2,2016-07,Kent Police,Kent Police,0.755107,51.334112,On or near PRINCE CHARLES AVENUE,E01024600,Swale 011D,Offender fined
fd2ed3e52e09be0641fc7cd139a5a568d5f20ddf48688b0030212bfea0b10311,2016-07,Kent Police,Kent Police,,,No location,,,Defendant found not guilty
2e2f546649a73133709ca13ae10faaec925adb2f63ce78ea57786c4390e8a619,2016-07,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
61bc70a58664f08e552d6d4ccc71f7a4c75b5919485b485de8cc4a5a8e1d153b,2016-07,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
53d500581ee926ecea7a11923af646100975b2cf8a80ec4123b2fa783dedae57,2016-07,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
320420ab9a844308c8482b767770795edf3aecc0392f23c6fc9d73b2168432b8,2016-07,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
34d02e0ed4cce236a6e2c0687968abe71461d8e4f8eeb480b0fd8f8db008a2e0,2016-07,Kent Police,Kent Police,0.362506,51.418353,On or near CHALKY BANK,E01024316,Gravesham 009C,Suspect charged
a11ea176e082163a41a288c3ee280c7fd2601c097dc992ea00f4fdafb61f83e4,2016-07,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
ffa7cddd660f5440a33bbe72ad6bcaba666d0f0aad60927aa819f0b0db69ac84,2016-07,Kent Police,Kent Police,,,No location,,,Suspect charged
f7249f3a13e20d833b30771e0dfbfb7b66649987b907d6a27ac53d7e6230863f,2016-07,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
db21166dd3b9b816b3e33b7fa41a689815ca8b502aa5b057f2cece02369add3a,2016-07,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
4f06ccd8cb37746920fb6dc7f2a795f176b630f17337ab6d70682a3d3c64c6a0,2016-07,Kent Police,Kent Police,,,No location,,,Offender given a caution
f75755002c966abdffb3c605a6ce1736fd6e368409c9eace634f4859a01e9ae5,2016-07,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
c478947a3b14365fd667a6c7053cfa3f36e508881eac074d556bcb528a1b2dcb,2016-07,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
