Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
79f32950c524e91e8aa1effcad3baa56e72d6376e8aca007b94cc9a9a2b9526d,2016-07,Leicestershire Police,Leicestershire Police,-1.181094,52.596725,On or near EVERARD WAY,E01025627,Blaby 006C,Offender sent to prison
d8661462fb2d436141d924de676a8a62ff0da76e41286403b20306535220eaea,2016-07,Leicestershire Police,Leicestershire Police,-1.216517,52.774200,On or near OXFORD STREET,E01025724,Charnwood 003E,Offender sent to prison
745fb3c436799313f4a7b760d49f84fbc2d765112b9bb1b54e6cedac89f922ab,2016-07,Leicestershire Police,Leicestershire Police,-1.120574,52.650753,On or near COSSINGTON STREET,E01013713,Leicester 010A,Offender given community sentence
e20707339edc6448c505c3646ba91fbdd0755eb3a0a88f08e3ae92e353503638,2016-07,Leicestershire Police,Leicestershire Police,-1.132898,52.636721,On or near HAYMARKET,E01032867,Leicester 041A,Offender given suspended prison sentence
168537e03a41e7f5f6fb306cab67865aa5f0f41314ec141957489805b9dd1e20,2016-07,Leicestershire Police,Leicestershire Police,-1.162546,52.618639,On or near ELLESMERE PLACE,E01013633,Leicester 028A,Defendant found not guilty
fc46813545855608e45b12a37e1c354bf6c6ae21e7c15cb6b4488cd5f7c81b73,2016-07,Leicestershire Police,Leicestershire Police,-1.207934,52.772561,On or near SWAN STREET,E01025720,Charnwood 003A,Offender given community sentence
cd29463f62f5648a9b6fec5b98f37c9741ae0bd2b3d5f14cfefe145a09749860,2016-07,Leicestershire Police,Leicestershire Police,-1.206768,52.771510,On or near Shopping Area,E01025720,Charnwood 003A,Offender given suspended prison sentence
ffcc0b7ac4690189d06e5054cf5f344777d1e74a4d01317af5efcdbe9c9c624f,2016-07,Leicestershire Police,Leicestershire Police,-1.171816,52.617437,On or near Supermarket,E01013634,Leicester 028B,Offender sent to prison
c295843e1f20a62bff2b17a934255fc38e7ac4100a7822b317bfb13afe297895,2016-07,Leicestershire Police,Leicestershire Police,-1.182095,52.648389,On or near DUNNOCK COURT,E01013722,Leicester 039A,Offender given suspended prison sentence
cf93c1fb97f2e8b775ab5036af145b2dbc789ff1ec7c6d27db628ff0d77817f7,2016-07,Leicestershire Police,Leicestershire Police,-1.130751,52.637712,On or near Haymarket Bus Station,E01032867,Leicester 041A,Offender sent to prison
ad6f88c167ad427487b4286038ad94be557ab6ccf8230732066758762b29f4bb,2016-07,Leicestershire Police,Leicestershire Police,-1.141229,52.584801,On or near CRETE AVENUE,E01025987,Oadby and Wigston 006C,Offender sent to prison
