Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fd9a38507ae2417efc2733b281804d183a11b6f12534555e72b42b4e05292d4d,2016-07,Lincolnshire Police,Lincolnshire Police,0.346530,53.144476,On or near SCARBROUGH ESPLANADE,E01026093,East Lindsey 014B,Suspect charged
b46de3253fe2dfa66387e20dacf3a54e1e69e4b87d50fa5ab207c416e7251b29,2016-07,Lincolnshire Police,Lincolnshire Police,-0.609925,52.803446,On or near Petrol Station,E01026331,South Kesteven 009B,Investigation complete; no suspect identified
31eb51f1c6e973ecf73e2a903c58feb75977aa75dc4d65454882b4cb0c6770d3,2016-07,Lincolnshire Police,Lincolnshire Police,-0.041255,52.985585,On or near SHAW ROAD,E01026011,Boston 002B,Offender given a caution
524b18fc9ad0dcae498e0d4f9c127ae4e202a659489d0ddecb1af221d0e44c41,2016-07,Lincolnshire Police,Lincolnshire Police,-0.641903,52.908766,On or near WILLIAM STREET,E01026317,South Kesteven 006A,Suspect charged
de7599105051764c9ba455acf35290100b044dd20763e9a90d28c0cd61efc311,2016-07,Lincolnshire Police,Lincolnshire Police,-0.543884,53.225433,On or near Shopping Area,E01026132,Lincoln 005A,Investigation complete; no suspect identified
a6cec8a7623a2ce649196cac4116e3150f57e66d6fec7ce4a0a3747f5f717c4f,2016-07,Lincolnshire Police,Lincolnshire Police,-0.427293,53.157588,On or near B1188,E01026211,North Kesteven 005C,Unable to prosecute suspect
5b7b6fbb08280eb733497641db187b82c40e05ce11c533fe7798c5c657209e6f,2016-07,Lincolnshire Police,Lincolnshire Police,-0.199429,53.384874,On or near BAIN RISE,E01026071,East Lindsey 007A,Unable to prosecute suspect
f49944f9075790aaf7c567c327ae18c7d684716838a876c901bff0f4e5ade78a,2016-07,Lincolnshire Police,Lincolnshire Police,-0.029836,52.974275,On or near KING STREET,E01026006,Boston 003A,Suspect charged
58eb1cd1e8bf9e19a2b95ab7778524e3f0cf43cab4b36a4799d076c8104d382e,2016-07,Lincolnshire Police,Lincolnshire Police,0.013853,52.800568,On or near STATION ROAD,E01026250,South Holland 003A,Suspect charged
0d08747f47664220388819721570f728acd9563d6b3cbfd4f14865f922e58498,2016-07,Lincolnshire Police,Lincolnshire Police,-0.773560,53.393815,On or near PORTLAND TERRACE,E01026383,West Lindsey 004E,Suspect charged
ff6a9445d59c165975312b43c2b288db7dc79465a84defa48571317a19404b22,2016-07,Lincolnshire Police,Lincolnshire Police,-0.007833,52.988941,On or near BURTON CLOSE,E01026021,Boston 003B,Formal action is not in the public interest
a10e303ed2c2d8f51f99b3bbe1e562a678a07e8ffcf65792f713da10da75a920,2016-07,Lincolnshire Police,Lincolnshire Police,0.181930,53.282574,On or near ROSE LANE,E01026117,East Lindsey 008E,Formal action is not in the public interest
42b164d2747eabad5c2066b4638bdf7c3c4d50fe158dafbd61b905a750e5d7c7,2016-07,Lincolnshire Police,Lincolnshire Police,-0.011392,52.820153,On or near A17,E01026286,South Holland 004E,Unable to prosecute suspect
9f6c1f9311b7ed62618b7d2cdb8874c5a88f4038dfcb589d21370631402e0ed5,2016-07,Lincolnshire Police,Lincolnshire Police,-0.014117,52.761992,On or near ROSE CRESCENT,E01026285,South Holland 004D,Unable to prosecute suspect
1ed3e43389602031462f0da4938cd05a8e2e2b57c04b0342903cfbe2b36868ac,2016-07,Lincolnshire Police,Lincolnshire Police,-0.495834,52.938301,On or near MERE LANE,E01026332,South Kesteven 007E,Investigation complete; no suspect identified
a28646520666e20801feba1dd48e8e88c8b117f8edaa559e2792b678bc281790,2016-07,Lincolnshire Police,Lincolnshire Police,-0.519492,53.245098,On or near MACAULAY DRIVE,E01026152,Lincoln 004E,Investigation complete; no suspect identified
e4c2752237de9d5f7031cd2e97bc1f3ffad60de3775b4e5acf8b08296c8d5b61,2016-07,Lincolnshire Police,Lincolnshire Police,-0.644760,52.917285,On or near NEW STREET,E01026353,South Kesteven 003F,Suspect charged
256f5ca45185064599836859caab80cb73b4d930a1573d3a78014f778e961d61,2016-07,Lincolnshire Police,Lincolnshire Police,-0.059759,53.505327,On or near ST PETER'S CLOSE,E01026062,East Lindsey 001C,Suspect charged as part of another case
fd9a38507ae2417efc2733b281804d183a11b6f12534555e72b42b4e05292d4d,2016-07,Lincolnshire Police,Lincolnshire Police,0.346530,53.144476,On or near SCARBROUGH ESPLANADE,E01026093,East Lindsey 014B,Offender given a caution
f36113895626d970939731354535c4fd257afd6ecc2fb3b33e7d2e8a1dffdb1f,2016-07,Lincolnshire Police,Lincolnshire Police,-0.522195,53.244503,On or near COTTINGHAM DRIVE,E01026156,Lincoln 004G,Suspect charged
964e99ef28cfc9aab8ca6a167846890015f8ced1fe5881decce1abad71243b12,2016-07,Lincolnshire Police,Lincolnshire Police,-0.610328,52.796870,On or near Parking Area,E01026331,South Kesteven 009B,Offender sent to prison
