Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
113ffbf268d5a8a57ae8984cfaeb15b45a1cc1b9cc4392d8c8c4326933fc7307,2016-08,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given community sentence
017f521a9063420185fa7c918878949be045a2dca737cc427fd2492a3746a2ab,2016-08,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given community sentence
fe7d41a5afe3e8846b8f19df7fc2d7277f8b4c2eecaec5662937b4e539fba446,2016-08,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given suspended prison sentence
ebbe3b1b236ca6475ac1c8a5b534518f550828c8f31ef417fc6546246f2e11fb,2016-08,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Defendant found not guilty
36b13bcbf799c6ef79e13aec08469cb419b3e86aca5a37ca927e3e94953c341d,2016-08,Devon & Cornwall Police,Devon & Cornwall Police,-3.533505,50.723071,On or near NORTH STREET,E01020018,Exeter 008E,Offender given community sentence
12bedf9581124a7a579a4478666b3c67f2c8d9bb3d7fd2757fafd522db72b828,2016-08,Devon & Cornwall Police,Devon & Cornwall Police,-3.530590,50.464043,On or near ST LUKES ROAD NORTH,E01015256,Torbay 008C,Offender given community sentence
6cc2c42d2fbfa2f10f2efdd1b8b526588d66f19c1a0a265ea7b4822992947d43,2016-08,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given community sentence
481c47fe23362036ce17409c0c9a76d42f7fbe29ecdfa237ffe93e476dd34d05,2016-08,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given community sentence
80b216468506509718cfbc1053d2797eac9976ab23516de439498b3641d3a31f,2016-08,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given conditional discharge
c39e27ce975c9fdcae84cf7a1c90ac3161f5344166da9a403e115fdf520b7625,2016-08,Devon & Cornwall Police,Devon & Cornwall Police,-4.531632,50.828470,On or near ELIZABETH ROAD,E01018937,Cornwall 001B,Court case unable to proceed
c46cb40381d82eb1c434a9456232ddb6bf253397ae9df4c94ad34c522968400d,2016-08,Devon & Cornwall Police,Devon & Cornwall Police,-3.383578,50.634295,On or near CHESHIRE ROAD,E01019924,East Devon 018E,Offender sent to prison
b4795acefeba81bd3d265d81f97d6dbc7641e0ade6d840c6714291db909cc70e,2016-08,Devon & Cornwall Police,Devon & Cornwall Police,-3.517728,50.485670,On or near REDCLIFFE ROAD,E01015236,Torbay 002A,Offender given community sentence
7b3b0fbf6069d21943bda9d5731c79a87722de56134b402f346915ecaf0916ed,2016-08,Devon & Cornwall Police,Devon & Cornwall Police,-3.514621,50.466977,On or near MIDDLE WARBERRY ROAD,E01015270,Torbay 010D,Defendant found not guilty
ecbd89ef3d301826e4c036c9b5a391daa8fd3ed6cd3ed32aa8cef94f4ce25497,2016-08,Devon & Cornwall Police,Devon & Cornwall Police,-4.098312,50.388046,On or near Supermarket,E01015055,Plymouth 021A,Court case unable to proceed
1d64c2d20ff509a484fb5da436331e61c028c36dcee2c4134a1aca12b7c455b5,2016-08,Devon & Cornwall Police,Devon & Cornwall Police,-5.421333,50.183960,On or near FOUNDRY SQUARE,E01018984,Cornwall 057E,Offender given community sentence
6534c560a07d142f8208cbb2f8c0c915ed683fdbe91c45b4d6bee1e4434f9cbf,2016-08,Devon & Cornwall Police,Devon & Cornwall Police,-3.973515,50.741867,On or near HIGHER STOCKLEY MEAD,E01020322,West Devon 001C,Offender given conditional discharge
f38ab722995d2dd1a504635c2b99efb6d1cdb55d9681c98286d0d6e793bd73a1,2016-08,Devon & Cornwall Police,Devon & Cornwall Police,-5.411183,50.190953,On or near FORE STREET,E01018982,Cornwall 057C,Defendant found not guilty
5536776b0cfe45490668cf58bc35b14fdb32a75758787b95b786236629bbf3ed,2016-08,Devon & Cornwall Police,Devon & Cornwall Police,-3.477912,50.909695,On or near COWLEY MOOR ROAD,E01020065,Mid Devon 004C,Offender given community sentence
d9710452857b579fb27985cecc4d35da8d0331d3527cde4196bb9e29767ec16a,2016-08,Devon & Cornwall Police,Devon & Cornwall Police,-4.166146,50.380865,On or near DEVONPORT ROAD,E01015170,Plymouth 024B,Offender given suspended prison sentence
24c4e0e1c9fb2de2c76166557891e8aed9b580cf7694527f0c9627cbf0b7d0c1,2016-08,Devon & Cornwall Police,Devon & Cornwall Police,-3.523175,50.461739,On or near THE TERRACE,E01015267,Torbay 010A,Offender fined
