Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1e3c7b04009598a95ee361a3158eb5dba040f663bcd0bceaee9f744423feaef6,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.084315,53.407668,On or near PINFOLD LANE,E01028000,Bassetlaw 001A,Offender given suspended prison sentence
2467368fc2a439f757bfc7dc1d50c3cbeec43d13a5afef231ea43ce0115cc7e2,2016-08,Nottinghamshire Police,Nottinghamshire Police,-0.808784,53.078439,On or near Supermarket,E01028310,Newark and Sherwood 007F,Offender given conditional discharge
7516aab5cb00d21a3d5cb93d040587506c2f82c596aa2ed0cfe88b6e9475e884,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.150829,52.954053,On or near Shopping Area,E01033406,Nottingham 039E,Offender given conditional discharge
ab316d783811706099b1fe4ce87874199e73f531b745c0e9f915467707c2ec99,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.003899,53.212087,On or near CHESTNUT CLOSE,E01028339,Newark and Sherwood 001D,Offender given community sentence
b65a1f45100548da2b0b151c845fb3347600bd837a53ba8ff3e96ca83660a324,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.186159,52.992470,On or near RADLEY SQUARE,E01013834,Nottingham 008C,Court case unable to proceed
b295110f117740f34bc24bd64b8b2f080de20bb5813aba7971db63ca1fed0454,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.152397,52.953777,On or near LONG ROW WEST,E01033400,Nottingham 039B,Offender given suspended prison sentence
712a8c9b1d844cd22a65262e3af5a01789b41418da4633ca6f5188fe45a75121,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.111722,52.972430,On or near PROSPECT ROAD,E01028162,Gedling 013C,Offender given suspended prison sentence
9b449d632ccc48afd5069272b6bc07fc8f083766aea4c0f8085bd14ea09daaf9,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.159735,52.969920,On or near MYRTLE AVENUE,E01013843,Nottingham 017A,Court case unable to proceed
ff8eaac63b6516897ca47a6b6e97200e38777c2628ac9644c1ba08f2c9472ef7,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.305864,53.019567,On or near PRINCES STREET,E01028112,Broxtowe 002C,Offender given suspended prison sentence
74d0903ac4a02d84a5b75130a917d68360e65d384768fef9e72d6f8c67a7e21a,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.229215,52.965698,On or near DARNHALL CRESCENT,E01013858,Nottingham 025A,Defendant found not guilty
9b3191a026cd98fdfbba07f9e873584eacd64717137907d5a3e823e5fe11c9be,2016-08,Nottinghamshire Police,Nottinghamshire Police,-0.817728,53.072388,On or near KING STREET,E01028311,Newark and Sherwood 007G,Court case unable to proceed
ad76008bcfc9ecff18bac116c3e070d7ad17ca2709f1e9d61796f832309c1ea2,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.084284,52.960113,On or near CAMEO CLOSE,E01028188,Gedling 015E,Offender given community sentence
ef1e453b8459b3d6de4af3754051cef4875ff4a61ef06537b8dd6cac8c9c62a8,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.150352,52.951794,On or near HOUNDS GATE,E01033400,Nottingham 039B,Offender given suspended prison sentence
845d55634afe153e73f6c14cca4e0fe98ecb9e98b6d848152a229385034c1428,2016-08,Nottinghamshire Police,Nottinghamshire Police,-0.907140,53.386429,On or near HALL DRIVE,E01028005,Bassetlaw 002B,Offender given conditional discharge
1897275a1aaa9bf88fafd0031c9a5097823c029fd89c264f26ba30c76739940b,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.194906,53.144494,On or near Parking Area,E01028274,Mansfield 009C,Defendant found not guilty
8bde078fd174d315086c7b69f2a153749ab41ffcab6cb7751bbb27c6099bafb3,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.198540,53.142810,On or near STATION ROAD,E01028268,Mansfield 008D,Offender given suspended prison sentence
9475fcf637314acd6f10919c63d7191fcd5fcdae10347c76f96df6d77af252c5,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.142980,52.953539,On or near Nightclub,E01033406,Nottingham 039E,Offender given suspended prison sentence
927cbb393d271a491151c188a50b264721f8c5dac9334f1db1b4b485b3dba857,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.134887,53.218476,On or near MEDEN SIDE,E01028257,Mansfield 001B,Offender sent to prison
fe09e8b8609df064977d5c8b1c61a5031c372e08b6d4b3a2e1820d3f4c0be692,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.219021,52.967888,On or near Sports/Recreation Area,E01013867,Nottingham 014D,Defendant found not guilty
c73586f8c4ba4d4f5c17df10f5ca4e88a6269c04b0ed1a9185658151f37b371f,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.029101,53.200160,On or near MANSFIELD ROAD,E01028341,Newark and Sherwood 001F,Offender fined
57715f01ecf63e1dc6f78711b54d862ca976a16b96a5406012c18ccc75435779,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.309670,53.009926,On or near BROOKHILL LEYS ROAD,E01028110,Broxtowe 002A,Defendant found not guilty
9fa11ecff71c3216d41098f9e506a717217a9196b0e83e8eb6f88a7db05101e0,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.148037,52.958295,On or near Parking Area,E01033399,Nottingham 023E,Offender given suspended prison sentence
2f56672e9d7190d9728bf049fb62cb8c50bb420aa740f88692c0b64f433fc4af,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.254462,52.933911,On or near RUFFORD AVENUE,E01028087,Broxtowe 007A,Defendant found not guilty
4162074fa8b22068102763be24d3fe7b3cef8686c44752b45f73165a1289b64a,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.122922,52.983363,On or near PLAINS ROAD,E01013935,Nottingham 010A,Offender given community sentence
2467368fc2a439f757bfc7dc1d50c3cbeec43d13a5afef231ea43ce0115cc7e2,2016-08,Nottinghamshire Police,Nottinghamshire Police,-0.808784,53.078439,On or near Supermarket,E01028310,Newark and Sherwood 007F,Offender given conditional discharge
dd1a4e3111c66f15c8330deae44115028c2db59bfd28aa7f3e0d326c95578fc3,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.256041,52.996262,On or near GREENS LANE,E01028102,Broxtowe 004A,Offender given conditional discharge
e8f77d1fae3060fd4938aa1728499d092f02e146a8fe1bcb95db17ac2aa8f200,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.176039,52.979401,On or near WESTERN BOULEVARD,E01013833,Nottingham 009E,Offender given conditional discharge
bc80f0daae56afaea67008a697e97fe39b60eef06353ccdd50a560769f99ba0f,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.303870,53.017443,On or near Supermarket,E01028112,Broxtowe 002C,Offender given suspended prison sentence
7430a7526207c745d5ed51ddb9d5a045d70a97237c23fd3a1c81654057068e90,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.179158,52.964887,On or near FRETWELL STREET,E01013810,Nottingham 018A,Offender sent to prison
939c6211a9d2f665dd8e03bd6fcf6d56de3ca32be5c55409d311956d158c0d91,2016-08,Nottinghamshire Police,Nottinghamshire Police,-0.987566,53.251924,On or near MAIN STREET,E01028006,Bassetlaw 015A,Offender given suspended prison sentence
4a629ceb01d2382d593691663cd1a3f7fa32ad2c014825f3cacd1779aaa01c5e,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.148358,52.951797,On or near Shopping Area,E01033400,Nottingham 039B,Offender sent to prison
ef811a5a6f8db7b01a2c81ea6d86deb3b1415d8702c1e7b9699b3d5823c24a9a,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.154274,52.955238,On or near WOLLATON STREET,E01013816,Nottingham 022D,Offender given conditional discharge
e7e9e99d0a60272e2da3ebe904be8d3d325da65a90a4b2bdda228701f36fcbc7,2016-08,Nottinghamshire Police,Nottinghamshire Police,-0.850876,53.144791,On or near MOORLANDS CLOSE,E01028349,Newark and Sherwood 003D,Offender given community sentence
c19e8ff3b56a58af3f817d712747f504d50e7ebada75ce4c77a6428ceb6067cf,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.256110,53.116162,On or near ELDERFIELD DRIVE,E01027974,Ashfield 005D,Offender fined
eca1c578354c50ca6dbcfca567d19c985042772628feb01fc8668232b80e7d59,2016-08,Nottinghamshire Police,Nottinghamshire Police,-0.812944,53.074840,On or near Bus/Coach Station,E01028311,Newark and Sherwood 007G,Offender given community sentence
6b0e6d4fed1602eab621a2ab63997e06559f556db5f0c2b35bf8296b211947c2,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.141092,52.950406,On or near PEMBERTON STREET,E01033403,Nottingham 039D,Offender given community sentence
c0e78c79f27734d23de9f2945c879d770e90d6f2749c4c1af98937c0254835d6,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.139267,52.998109,On or near PARKYN ROAD,E01028167,Gedling 006D,Offender given conditional discharge
210ee000e53a9b828113ce7a9e8aceea5eab717b409397a11f9eefeb73d81b45,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.178939,52.959986,On or near HARTLEY ROAD,E01013947,Nottingham 026D,Offender sent to prison
18d1863561d42e8a7eb801ca060630ffbaa0c02fd9f968524fd3861db3fb34db,2016-08,Nottinghamshire Police,Nottinghamshire Police,-0.791221,53.055779,On or near STAFFORD AVENUE,E01028291,Newark and Sherwood 011G,Offender sent to prison
1893498194014c76d2a89fcf3e79a8d65b3cc8a83176f27e88da99b3dff71282,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.151658,52.948935,On or near ISABELLA STREET,E01032522,Nottingham 028F,Offender given community sentence
7c49d39e79a4e0d3844a4f23401216c49290cf1e6eb3a3f5304dcefd362a2364,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.194906,53.144494,On or near Parking Area,E01028274,Mansfield 009C,Offender given conditional discharge
2467368fc2a439f757bfc7dc1d50c3cbeec43d13a5afef231ea43ce0115cc7e2,2016-08,Nottinghamshire Police,Nottinghamshire Police,-0.808784,53.078439,On or near Supermarket,E01028310,Newark and Sherwood 007F,Offender given conditional discharge
486b2a40b9cc47687a49bee2519f9b8ddfcdf20d922526106ce73f05e10b95e5,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.145420,52.972479,On or near TAVISTOCK AVENUE,E01013938,Nottingham 015B,Offender given conditional discharge
cb2c8ad6216df6f77377f6721f3dabaf0dc7682b362f07e1888b83ea6a7bcb8e,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.147591,52.955945,On or near Shopping Area,E01033409,Nottingham 023H,Offender sent to prison
da661d719f6e7db4b86a73e18f15a552fd15dc36f27e8f30f5561f1cc5b9f052,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.172259,52.969882,On or near BEACONSFIELD STREET,E01013842,Nottingham 018D,Defendant found not guilty
d22931aab69ce4c27e7e93e4736b914cc6767bc1aaee7469e0793e70c7d8d979,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.254804,53.130384,On or near BEIGHTON STREET,E01027967,Ashfield 004A,Offender fined
92599aa82492ecfd5ad69b3898c95355f1219fd9e431538e93e21bbb8a1032aa,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.144430,52.953199,On or near WARSER GATE,E01033406,Nottingham 039E,Offender given community sentence
2bea258edaeef1fd7dc43a54d767b56dd531418b4046a295bc14d4970400aee3,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.122825,53.307407,On or near B6045,E01028057,Bassetlaw 012A,Offender given community sentence
48d93ae8786fff6e1045b9cd2679c2e9f2b7144d7cfc475c05925a6cd3b4d2dd,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.225155,53.152605,On or near MELLORS ROAD,E01028232,Mansfield 006B,Offender otherwise dealt with
772db46b306ff621f674837413936be83708f52788a4199ee9ebaab0eddf1f2b,2016-08,Nottinghamshire Police,Nottinghamshire Police,-1.142147,52.979081,On or near FAIRLAWN PLACE,E01013968,Nottingham 010B,Offender otherwise dealt with
