Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
15cd397c47b61f37133b57a816b7190a03fe3f2b3305c2b6cb4f4eb6048d8e60,2016-09,Durham Constabulary,Durham Constabulary,,,No location,,,Offender given community sentence
577b6bd5b48b6a6fe034360643d0f58a91e929662bce69016417cd632c2d55e5,2016-09,Durham Constabulary,Durham Constabulary,-1.566953,54.773361,On or near Prison,E01033197,County Durham 030F,Unable to prosecute suspect
3fd3eb58443e87030026ad025c69dc7587c30cdf457fb8bc9292d0d5aa39b779,2016-09,Durham Constabulary,Durham Constabulary,-1.410174,54.800676,On or near REGENT COURT,E01033206,County Durham 021G,Further investigation is not in the public interest
2fad5cde9b8efe10c93d425c2ad9d674d0a8b059c3a25b0fe92cc0137f25da1a,2016-09,Durham Constabulary,Durham Constabulary,,,No location,,,Defendant found not guilty
00ab0a5959f3d1f00ae9a83b25c49f4b68bf5ed9ca56bde457554a8eb63cc4e7,2016-09,Durham Constabulary,Durham Constabulary,,,No location,,,Defendant found not guilty
4ea0a4e04f52cd3b39b6b0bccb92fe25a8f068f760bfa73482aa6266f4e5dba1,2016-09,Durham Constabulary,Durham Constabulary,-1.601155,54.698682,On or near Supermarket,E01020836,County Durham 052E,Offender sent to prison
5cc211a2e037de1c583023759c2b6dd3989395790674e2a4afb22c05e6e56483,2016-09,Durham Constabulary,Durham Constabulary,-1.814904,54.747095,On or near CASTLE BANK,E01020894,County Durham 045E,Offender given suspended prison sentence
d69666869c74b44b584c31a3b18bd2ef89cc57e81b663d52d9d0f25c62c176e5,2016-09,Durham Constabulary,Durham Constabulary,-1.547637,54.548001,On or near Supermarket,E01012324,Darlington 002D,Offender given community sentence
7a2570e47d41bb755c253a9999dd76484fcccafba316cd64aca497d9fcb9a512,2016-09,Durham Constabulary,Durham Constabulary,-1.560589,54.528107,On or near MAUDE STREET,E01012355,Darlington 008D,Offender ordered to pay compensation
d6d993b4eb12d67591a12354371237dfa1c3781d4cac70f3b147db9f59ace026,2016-09,Durham Constabulary,Durham Constabulary,-1.675283,54.664799,On or near Parking Area,E01020868,County Durham 055A,Offender sent to prison
1008870db647939f5b9e1bf5cba190744c516740198c1add48fff2f2d2f073c9,2016-09,Durham Constabulary,Durham Constabulary,-2.181819,54.737178,On or near SCHOOL CLOSE,E01020889,County Durham 042A,Court case unable to proceed
c842fb6d100ea9bc819e52cb776c309e97f8a651684129638a6bb94b69312724,2016-09,Durham Constabulary,Durham Constabulary,-1.381256,54.738515,On or near B1280,E01020794,County Durham 043C,Offender given community sentence
c857e3b1f43f331d0bcfbd292654f621a80c27cd0870d3b1813303166b58002f,2016-09,Durham Constabulary,Durham Constabulary,-1.674579,54.665570,On or near Shopping Area,E01020868,County Durham 055A,Offender sent to prison
476300268563c8fa5578c2f3621b1f6f4f80ec6c70120bdfa12dc6fb0b506841,2016-09,Durham Constabulary,Durham Constabulary,-1.598005,54.623255,On or near BLACKTON CLOSE,E01020815,County Durham 060C,Offender sent to prison
3f194a7d0c11b84b5c1ed9dffebbd9a16b7455ec2491e5342adc2e87924d5f4b,2016-09,Durham Constabulary,Durham Constabulary,-1.336339,54.760349,On or near Pedestrian Subway,E01020780,County Durham 035F,Offender fined
029810050e9445bd195518d73501cdf4934c090055e1012d8c5652f7014cdaaf,2016-09,Durham Constabulary,Durham Constabulary,-1.580923,54.776861,On or near Nightclub,E01020703,County Durham 030A,Offender fined
19abf7d548e562139097d939be82334bc4e308cad2295d63ef992a365e512d74,2016-09,Durham Constabulary,Durham Constabulary,-1.316813,54.763556,On or near TEES STREET,E01020764,County Durham 036A,Offender given conditional discharge
98c44c26b7ed0a1dcf47a001d0e2e51f697ee26b491393fa3e0836d33a7d23e0,2016-09,Durham Constabulary,Durham Constabulary,-1.775998,54.739885,On or near B6299,E01020893,County Durham 046C,Offender given community sentence
0318947552ab5f9876d8c4a3855e13cc5f1d3759effc6a7c18cd8b90ade08172,2016-09,Durham Constabulary,Durham Constabulary,-1.677064,54.665064,On or near Parking Area,E01020868,County Durham 055A,Offender fined
c120b1011a169287f9d57fdd8161b085a3ab19b44b1e1313c7e038ba060d13bc,2016-09,Durham Constabulary,Durham Constabulary,-1.675283,54.664799,On or near Parking Area,E01020868,County Durham 055A,Offender sent to prison
110ed883365ce9cc21eed34597b2d601df5e069e5b422d461a61dc922f6cf54a,2016-09,Durham Constabulary,Durham Constabulary,-1.608222,54.759212,On or near HIGH STREET,E01020684,County Durham 033A,Offender given suspended prison sentence
372b5b4c57dc8bff1ea9a3103df89f8f0c92e45b3bc012827a7f16b9a79039a2,2016-09,Durham Constabulary,Durham Constabulary,-1.913318,54.548833,On or near KYLES YARD,E01020853,County Durham 066B,Offender sent to prison
1eaa5ddbebc45530fb00875f77d3218aee8dca64bff7db02c7d32fe2a7040a0b,2016-09,Durham Constabulary,Durham Constabulary,-1.592686,54.623965,On or near MEADOWFIELD WAY,E01020816,County Durham 061A,Defendant found not guilty
f885c1b92074a3baad2dd39d63d86e297b08a9556845d19731a5fd2440d7decc,2016-09,Durham Constabulary,Durham Constabulary,-1.626752,54.817566,On or near Supermarket,E01020619,County Durham 019C,Offender given community sentence
2b393ddb23b656a9e254da42743d0cd29990a66e1ce6efffabde8f4a918214bb,2016-09,Durham Constabulary,Durham Constabulary,-1.550631,54.687731,On or near WILLOW ROAD,E01020799,County Durham 050C,Offender sent to prison
c3c408e8862a33866abfb598b5c4ecf2e5c88a355a312d5ddb07d3aa7a512119,2016-09,Durham Constabulary,Durham Constabulary,-1.579409,54.534123,On or near FORCETT STREET,E01012313,Darlington 006E,Offender sent to prison
937baffbd67fd879224f4b1b2805e623f0278e8b5a718a4de5d6a14c01390b90,2016-09,Durham Constabulary,Durham Constabulary,-1.501408,54.520607,On or near Conference/Exhibition Centre,E01012366,Darlington 001D,Offender fined
1dfd6c7c5bf706bd77b04187148fc0499bb525c0ab099defae56b713db7c7ccc,2016-09,Durham Constabulary,Durham Constabulary,-1.592686,54.623965,On or near MEADOWFIELD WAY,E01020816,County Durham 061A,Defendant found not guilty
9e099eb3abff197218be143725a8c4b80ef74407e9f51a9e8e5971816e35e2cf,2016-09,Durham Constabulary,Durham Constabulary,-1.642036,54.623294,On or near BOUCH STREET,E01020802,County Durham 059B,Offender sent to prison
bf61026cf2290aebbd0634679eec556dfb68f41468da049443907f3122d3e1f0,2016-09,Durham Constabulary,Durham Constabulary,-1.600631,54.886266,On or near THE OVAL,E01020614,County Durham 002B,Defendant found not guilty
69623d1b810b9d95456ad0c69e84cc09dd6825d8bfb4215447e2aa6436567849,2016-09,Durham Constabulary,Durham Constabulary,-1.543047,54.521572,On or near THOMAS STREET,E01012305,Darlington 012B,Offender given conditional discharge
1e1007bb7773e4c6a2a677e8b392480e8311e188658008fc8c4881d3a4256c16,2016-09,Durham Constabulary,Durham Constabulary,-1.333421,54.759209,On or near Shopping Area,E01020746,County Durham 037A,Offender given community sentence
b81370d828af87c36075ea1d7314b403efb25aec281d03f66bb4498947cb2f89,2016-09,Durham Constabulary,Durham Constabulary,-1.530805,54.519422,On or near HARRIS STREET,E01012306,Darlington 012C,Offender fined
97a32b74c24c3374f281e2079cc615983bb38f2be7ccfbeac16461f0f99937cc,2016-09,Durham Constabulary,Durham Constabulary,-1.354974,54.785621,On or near CADWELL LANE,E01020754,County Durham 025C,Defendant found not guilty
ff465c11bb3676422f8cdc05830f76659eb7cae679fd391f1288cf9019c63da1,2016-09,Durham Constabulary,Durham Constabulary,-1.511891,54.699857,On or near CHESTER CRESCENT,E01020797,County Durham 050A,Offender fined
c50e50a91f73b3565d4308db95c9e4de8a988c0231466d7a243d584e594dc101,2016-09,Durham Constabulary,Durham Constabulary,-1.362389,54.836156,On or near EASTLEA CRESCENT,E01020748,County Durham 018C,Offender sent to prison
07446d1f0b48f94ab003cef708d771a9a8b4714c5105475567e2da13745055d1,2016-09,Durham Constabulary,Durham Constabulary,-1.331697,54.834607,On or near LINTHORPE ROAD,E01020784,County Durham 017F,Offender given community sentence
7b81c0353bb45e4bea669d0d9d4ff9da94518725fc75a6b4b48cea39b94e4d7c,2016-09,Durham Constabulary,Durham Constabulary,-1.332928,54.760824,On or near Pedestrian Subway,E01020746,County Durham 037A,Offender otherwise dealt with
e8fd1d98e9b42cf451a3d39b07a7ecdd33b498ecb90f446f28769d1607201fe9,2016-09,Durham Constabulary,Durham Constabulary,-1.590148,54.542015,On or near MINORS CRESCENT,E01012312,Darlington 006D,Offender given suspended prison sentence
851578effbf92ef6f84a8ec6aa273f88e95f6e83e9fcf895635b1a14601781d0,2016-09,Durham Constabulary,Durham Constabulary,-1.640102,54.779171,On or near NEW ACRES,E01020716,County Durham 026E,Offender sent to prison
6232a566d62e5862e1cf2b767b3111f4a5a850f9d948adedec57167a095dd6e8,2016-09,Durham Constabulary,Durham Constabulary,-2.145528,54.738288,On or near BULLFIELD,E01020889,County Durham 042A,Defendant found not guilty
7fa4450922a2234528167511237e14a9255ba04865eeb7de0a03f08fcd23f9a8,2016-09,Durham Constabulary,Durham Constabulary,-1.294420,54.750011,On or near ELEVENTH STREET,E01020737,County Durham 039B,Offender given community sentence
fe8d8c8ad1058e1defc9bbb8e44c326d5fc2332801ef753ae073560130a72829,2016-09,Durham Constabulary,Durham Constabulary,-1.542348,54.778698,On or near Supermarket,E01020693,County Durham 029A,Offender given community sentence
