Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0d1fb22113647b85b335bbb5df0aecc85558660ff9e262efebfe84287133b244,2016-09,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given suspended prison sentence
94c1c743e4054f6e1271258cae84a336241bd244db6c37b7521b60cf98c289e0,2016-09,Staffordshire Police,Staffordshire Police,-1.783357,52.643344,On or near JERRY'S LANE,E01029488,Lichfield 012A,Offender fined
226ef9b5a8761d3c84d9ac33e9ed43a78895ebf2a3f234a8bcac62f473800fb2,2016-09,Staffordshire Police,Staffordshire Police,,,No location,,,Defendant found not guilty
3f52cbf7c376911b9097a5dc4954883a7acc86ab0b7acc720c8d01cf4773ba49,2016-09,Staffordshire Police,Staffordshire Police,-1.688391,52.857057,On or near FISHPOND LANE,E01029464,East Staffordshire 004D,Offender sent to prison
9b9c43ec78912239868ef2d729580c454a11b58fc1c811f2d663e56b5b2b9864,2016-09,Staffordshire Police,Staffordshire Police,,,No location,,,Offender otherwise dealt with
66c3c098a76927017b379222853a57436279ea8e403a4eea886fdaae89ae76fa,2016-09,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given conditional discharge
0d1fb22113647b85b335bbb5df0aecc85558660ff9e262efebfe84287133b244,2016-09,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given community sentence
ca79cf2682c5f4303699c9a9859492480c40dd1e9ad5745f180c5c064798b584,2016-09,Staffordshire Police,Staffordshire Police,-1.924156,52.677624,On or near CEDAR CLOSE,E01029527,Lichfield 010B,Action to be taken by another organisation
7e76d3a78b7d9fa7f65689ffbb82f2eec531391b0aff3534085a92f7121b3a22,2016-09,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
7c9d88f7cf38bcf4681ff74fbd1ddf57b54964abeab4de98712068f289af467e,2016-09,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given community sentence
088ce13190348f638c8ee454de27936597be4dc0b7fb2f316bd980b3fcc5279e,2016-09,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
8360731a21bf0f1e9b4528c59eca5f2ed13984828791b781053f3ddae4890084,2016-09,Staffordshire Police,Staffordshire Police,,,No location,,,Offender sent to prison
825051b0e58ef3c2577cd02a84c0983d7f86a2b68b2d00e25971dee4dfe4f744,2016-09,Staffordshire Police,Staffordshire Police,,,No location,,,Offender otherwise dealt with
5f2f2d6ed65ea70414992edd8d76d4fe1f6ed4cd5ebb60923d1ce2ee1fd11ebb,2016-09,Staffordshire Police,Staffordshire Police,,,No location,,,Offender sent to prison
bfb54f8beec42eaca1dbf498320d848cf176342180c6ade09c2b1103299d0658,2016-09,Staffordshire Police,Staffordshire Police,-1.632808,52.801676,On or near Shopping Area,E01032896,East Staffordshire 011F,Offender otherwise dealt with
ac9d89612c8d52bdf25624491482de337ee9416a0ac566d25d2a0ddf6422a79d,2016-09,Staffordshire Police,Staffordshire Police,,,No location,,,Court case unable to proceed
163f8919cba0bc0ca9d862492c91fefd4de81a2fc9546886ce012dc6cea9b7a3,2016-09,Staffordshire Police,Staffordshire Police,,,No location,,,Defendant found not guilty
faff3aa10e17c38e22361953c97ff4ff7b3e3b981773d124801f814a4df7765e,2016-09,Staffordshire Police,Staffordshire Police,-1.696090,52.638765,On or near SALTER'S LANE,E01029851,Tamworth 002E,Defendant found not guilty
9d773e5d2c3171c4ecdac7d92159c14a552afa4f1b6625fdd8eac0ef6591c3e7,2016-09,Staffordshire Police,Staffordshire Police,-2.118385,52.814302,On or near WOGAN STREET,E01029689,Stafford 010A,Offender fined
beec69a5ed739e7e03981cae9be5e9cf38ff7cb83dcdb959160b1c2a34fc5313,2016-09,Staffordshire Police,Staffordshire Police,-2.137054,52.989681,On or near MOULTON ROAD,E01014302,Stoke-on-Trent 022D,Offender sent to prison
357ae741a3274f42ee8d5d2ae6c6863bf25c771491db3a31aa807a0552a39973,2016-09,Staffordshire Police,Staffordshire Police,-2.024368,52.689997,On or near A5190,E01029367,Cannock Chase 011E,Offender fined
44aa2db9a0a4cf4cef814587cc34d8545ffc2ff0f1e5e77bb2bcb22fed5e4938,2016-09,Staffordshire Police,Staffordshire Police,-2.023320,53.104900,On or near Parking Area,E01029804,Staffordshire Moorlands 005A,Offender ordered to pay compensation
be5cf5c75d5740e76af9609a96c2a0320b36131d3dc4818476f49287356996e8,2016-09,Staffordshire Police,Staffordshire Police,-1.701757,52.626769,On or near Shopping Area,E01029835,Tamworth 002A,Court case unable to proceed
cc8d7589a23e1d91df52bbec3576c4686b85c70023c273dfba3f5d046eabb50a,2016-09,Staffordshire Police,Staffordshire Police,,,No location,,,Court case unable to proceed
6a522803449582b7cc622249ce3ea391e5bc73d1fe985aae0ee2e0ff0be87853,2016-09,Staffordshire Police,Staffordshire Police,,,No location,,,Offender sent to prison
69b23d55231f5d8cf6ccfd2147f2f8b4643deb992a014704d4896fd22716a3b3,2016-09,Staffordshire Police,Staffordshire Police,,,No location,,,Offender sent to prison
