Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8089991457501e1daf3d28e9e0d1c153c1754141ce556523aed286796de95646,2016-09,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Offender given conditional discharge
2b03c3448d39e27f543c1e16aa19b1ff9282cb7237fd95e91e238de6344b2774,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.141924,52.060874,On or near WILBERFORCE STREET,E01030024,Ipswich 006C,Offender sent to prison
91af6f18bbc2846f6ae9267e8846b93213ec5f1f964d86a1f57babde6442ab8b,2016-09,Suffolk Constabulary,Suffolk Constabulary,0.998446,52.180461,On or near Petrol Station,E01030080,Mid Suffolk 008D,Offender given community sentence
2a41cb76cce0c135ec1224aafbd97b4c658b953df5d9652eb7f11bc6990f22a3,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.152112,52.057814,On or near Nightclub,E01033125,Ipswich 007G,Offender sent to prison
92c04e9ae63f7e58430da788859a008293f74bd7eaae01b9bcd61dc3269f6bd5,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.207466,52.035399,On or near RANSOMES WAY,E01030196,Suffolk Coastal 011A,Offender given suspended prison sentence
b95aefb2d250373f1f668ddf567d311630d9b9fa427d4bd1c4c7019481e96a65,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.152191,52.057290,On or near KING STREET,E01033125,Ipswich 007G,Offender sent to prison
8d45397631ad436070268b4e1870d75be9ab631ac7e1a4ed9f19a3d14c09983e,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.127293,52.034210,On or near FURNESS CLOSE,E01030021,Ipswich 015E,Offender given suspended prison sentence
b3843303cf89bb2444deec74a0e5a3b33d832767c7b5ee8f187630d0f16eeae9,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.324967,51.979054,On or near BURNHAM CLOSE,E01030216,Suffolk Coastal 012D,Offender given community sentence
ed12ea69c3c714a37f4da6697a10c0f7ce8adfaa9f9552afb8f77f58a9023b97,2016-09,Suffolk Constabulary,Suffolk Constabulary,0.427229,52.077590,On or near BUCKINGHAM ROAD,E01030114,St Edmundsbury 014F,Offender sent to prison
e90a9bd820a5a86af60b19827b05b4131fa672b29f21d3cb3c2c3a70ee3b1075,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.135008,52.060681,On or near YARMOUTH ROAD,E01030023,Ipswich 006B,Offender sent to prison
5da8d7770550bed0933d7d5e05d50bc9bcdcbc995e0e852b6fbd844a2595b0b6,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.157595,52.057577,On or near Supermarket,E01033129,Ipswich 007H,Offender sent to prison
1528f3c667dd91fbb5a36ee2374739bd2f05bed576b00d4f7228fdcaae4fe68b,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.748662,52.471672,On or near PARADE ROAD NORTH,E01030258,Waveney 007D,Offender ordered to pay compensation
3d91c1485cdd961e07131cb24b7b6b0965fec8f9048861e0b69427319c512e79,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.142409,52.050132,On or near GIPPESWYK ROAD,E01029985,Ipswich 010B,Offender fined
fafa13456dfe2ae8489f9b6f8ac2eb39b1b31c340131dea1d07953bfc6336741,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.158138,52.057617,On or near Shopping Area,E01033129,Ipswich 007H,Offender given suspended prison sentence
2fe0cbe72f6b159d86afc8ce901571b24f317eb931fd0ae9ee205542f0087ced,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.117561,52.039577,On or near IRLAM ROAD,E01030016,Ipswich 013E,Offender sent to prison
69f62c544032207c2785593f576d5859dd2c286f9c2195fe083c2ab810c3fb6e,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.743495,52.466673,On or near Supermarket,E01030258,Waveney 007D,Offender sent to prison
0b0ae8758caef50f57e9069ac32ec9a09a5ac845f8cce5d235b3beda7d5e5f8b,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.742299,52.492130,On or near MYLODON ROAD,E01030277,Waveney 002C,Offender sent to prison
27b4a721d7a40ceb0120d4dc064895e74814a8ad536ee5d3ed65dbda012a6c05,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.166414,52.060956,On or near HAYHILL ROAD,E01030007,Ipswich 005A,Offender sent to prison
e7c1f24b17421fb95ab792e68937641414388b5873b7a122ea02ebece60ffed8,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.352286,51.966703,On or near Supermarket,E01030159,Suffolk Coastal 013D,Offender given suspended prison sentence
b3843303cf89bb2444deec74a0e5a3b33d832767c7b5ee8f187630d0f16eeae9,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.324967,51.979054,On or near BURNHAM CLOSE,E01030216,Suffolk Coastal 012D,Offender given community sentence
06afd4c31c2877e13b88ba3e74fe000ab174cbfb4d23b80bc50c67a84c7bc2b5,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.207466,52.035399,On or near RANSOMES WAY,E01030196,Suffolk Coastal 011A,Offender otherwise dealt with
9e07dbe10df5d013dad115fb7340504e579390f9df6b9bbccd7cde733102369c,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.736318,52.464534,On or near CARLTON ROAD,E01030257,Waveney 008A,Offender ordered to pay compensation
8fa241c3a540d563d650ff5fb68bf984aca8daa1bf9ef34db8506081057c5a60,2016-09,Suffolk Constabulary,Suffolk Constabulary,0.729052,52.234792,On or near BYFIELD WAY,E01030144,St Edmundsbury 009D,Offender ordered to pay compensation
82d7497a639e688ef4acfe475b81b840f214e0219c0f21071b1bf2baa1a4e896,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.208269,52.032562,On or near WEST ROAD,E01033127,Ipswich 014E,Offender fined
4f9b968e3f8a8d16c2c8ccd7b89c49bb7704e16f2ed2a15006cef82e50ed1673,2016-09,Suffolk Constabulary,Suffolk Constabulary,0.983812,52.191975,On or near ST MARY'S ROAD,E01030072,Mid Suffolk 009C,Offender fined
d3e635953c8c73ba922bfec7c9c8a9418285ad92750af9150f304311db88d486,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.742299,52.492130,On or near MYLODON ROAD,E01030277,Waveney 002C,Offender sent to prison
c7b9e3d5a5b62e4e0f4eb13e90d78f9aa28564f817463820850fea8580923fc6,2016-09,Suffolk Constabulary,Suffolk Constabulary,0.755445,52.030738,On or near CLOVER COURT,E01029889,Babergh 008D,Defendant found not guilty
123e581f0f7c367a6c9b7093db8932f98b7955fb50771ff26d1723290559806f,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.741493,52.477269,On or near NORWICH ROAD,E01030265,Waveney 004F,Offender given community sentence
1484d6645d5ee8ed3dfe1ad23af1ec7f6962b3b2b75618c8270cb7d67067344c,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.117561,52.039577,On or near IRLAM ROAD,E01030016,Ipswich 013E,Offender sent to prison
b1eb91b69fc853f0195881dedc9bcd950bbc8220374dbfecace412bf904a7427,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.492752,52.338923,On or near BARLEY MEADOW,E01030245,Waveney 015D,Offender fined
8ccf1279ecf1ccefdd04d341902b6a950f4885b604163e9faab5012deaa75052,2016-09,Suffolk Constabulary,Suffolk Constabulary,0.511816,52.342392,On or near Supermarket,E01029947,Forest Heath 004E,Offender sent to prison
7ff61cec890b88a61a3e09b7d18dc4409fd0c1d06b6bc0fa934b51b7190d1489,2016-09,Suffolk Constabulary,Suffolk Constabulary,0.727530,52.155015,On or near THE STREET,E01029881,Babergh 002A,Offender given community sentence
fafa13456dfe2ae8489f9b6f8ac2eb39b1b31c340131dea1d07953bfc6336741,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.158138,52.057617,On or near Shopping Area,E01033129,Ipswich 007H,Offender given suspended prison sentence
71d07b59a1b446586815067842108713061fac6c7bb13d3ffcb10e10df33e32c,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.752254,52.475444,On or near Shopping Area,E01030247,Waveney 007A,Offender given conditional discharge
14b0077b156ff488b8877a957e71702f5a814abf5744538f984c63592fde5575,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.751738,52.476998,On or near Bus/Coach Station,E01030249,Waveney 004C,Offender fined
bb769301475cfd9878e5e8776fb72ddcc55bb9e749bf9b7ddc793261d10b571a,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.316453,51.975004,On or near CORDY'S LANE,E01030216,Suffolk Coastal 012D,Offender sent to prison
821051d9dfbf9157b3332f8b58a1301508d106fa335c6a16326582fd6db157c6,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.737778,52.464911,On or near CLEMENT ROAD,E01030257,Waveney 008A,Offender given conditional discharge
a44f06bc6f79fcb09c6e1a95bca0d20e2fdd9e41f6b8c51d34a1d70d0a130379,2016-09,Suffolk Constabulary,Suffolk Constabulary,1.197999,52.056802,On or near Further/Higher Educational Building,E01029965,Ipswich 009C,Offender fined
