Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
87a55fb934f8da1bf3085235e290d5df8fe6e492219f0039657a2e5fd4ba13b7,2016-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Court case unable to proceed
422efad540c4cd90a05359e3c50896f843d4cb58c2b7ca4ce7c59805210dd664,2016-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given community sentence
1ba016e5a7fdebd183f1e42696a35456b2ef1dda9bb7e1e140f0e06dd9c61d1c,2016-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender sent to prison
229c2d64c69cd90cdae79c7b12a13c2b93edbdc56ecdfc09e0e6538774bde229,2016-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender sent to prison
931db0186ba823ef4b0025adf93dc9eea2efd5bb43131e2c6b78e25b1c145459,2016-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender sent to prison
35fe8dd078d13699a8610323998a87bacc87edb2a63cf8b937d0f85267d9cead,2016-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given suspended prison sentence
0de17400c70323dd5b9a2cb7d38c7034c8d65784f20f0c1e93d4861242c78dc4,2016-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender fined
d8cbc4057505625da5505c2366bb2337ecd509887ad4e2b173c2923485b69f25,2016-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given community sentence
08c3d1f9e2bd24f4d54fbe577cf4e134e79e582d046444c2dcebefda05091342,2016-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given conditional discharge
5d6704ea6b39415dfdc9e5a0306abed7d8318a03fa48f5884b10a481993acc86,2016-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given community sentence
d3c3e46fd0df36d77f5a3737a6ad1f02e8af36664270e88f28499214f709ff27,2016-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
e49e272cb7c4ddf87c81d7cbb65ecb16ffee264183983f47753d1a9cb841fd1d,2016-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Local resolution
