Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2121f80a17c443f5dd78c054ce7baa515ba6cc2ec1cd1bf55673cb3dc863a1ea,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Further investigation is not in the public interest
0d8a881a8b9e3127394513628c34dba1ace783ff9c4f79980c73d62d004bb30a,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.512342,52.299456,On or near Police Station,W01000487,Powys 012E,Unable to prosecute suspect
020a48f013b19b3ecb2db1a0e39c44002c518f9b3718bb2bcdf9261dfe472e23,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.934048,52.219767,On or near Petrol Station,W01000550,Ceredigion 011G,Unable to prosecute suspect
f901a1563b34848cf08e45799c20d556a06735e497516e346bbf4f5b20e1a51c,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.655384,52.095367,On or near A483,W01000471,Powys 014E,Investigation complete; no suspect identified
eb52bef85c0c1c912b6cba99b34adf873a3c622997c415125974d17faa7d004c,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.378324,52.239715,On or near LINDENS WALK,W01000454,Powys 013A,Offender given a drugs possession warning
db60e45abe8fd87dc5b1356160eb34de40e6eba50d438971c4ffc2bfd7e6f96c,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.373242,52.243038,On or near LANT AVENUE,W01000454,Powys 013A,Unable to prosecute suspect
5ee1ade2c13ffe47d9540252632bfd4b638571d63c15cddd769c85183da0f090,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.383280,52.242750,On or near DYFFRYN COURT,W01000454,Powys 013A,Unable to prosecute suspect
846ac05b846c44ff4701d317a8d065e7e1e409549e4e6bd8b0c1ec48afbc582e,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.378600,52.238705,On or near ARLAIS ROAD,W01000454,Powys 013A,Investigation complete; no suspect identified
83df9ace8f51d9b846e65bcff56336e645ad62662f18e34110566216094b2584,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-2.999205,52.348616,On or near Parking Area,W01000449,Powys 011C,Investigation complete; no suspect identified
ec5b42c114bc3603d3aec05dd973b421b68bdf95afa6427c6bec4a3441aa78ea,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.309961,52.309867,On or near MILLSTREAM CLOSE,W01000464,Powys 011D,Investigation complete; no suspect identified
2ef2d0bdd8458fbafd8c9f61489cf1e58df8d34c1d4171c31a07fce6c9d0e2e7,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.464660,52.683123,On or near FFORDD NANT GOCH,W01000452,Powys 004B,Investigation complete; no suspect identified
2517a7b5bd55af229d0ed3919a5c514b099910dd8c3e3c10a5b11b8dcffd2ebb,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.147969,52.658484,On or near Supermarket,W01000498,Powys 003A,Unable to prosecute suspect
f8648ac2b1c518545449f50ec6218acbe9845cd815029d522f8bb68ca94a0549,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.141505,52.657216,On or near SEVERN ROAD,W01000499,Powys 003B,Unable to prosecute suspect
758da5d42ad019895a8f77016028f0b72b21ae0443b7b1e72886b37b2091663b,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.156118,52.660788,On or near DOLYFELIN,W01000501,Powys 003D,Offender given a drugs possession warning
bb39c914bbd714d341804ee28af98f03a86251241595c8ab3c1053fa90b3625a,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.437068,52.484105,On or near Parking Area,W01000453,Powys 010B,Unable to prosecute suspect
52791405c120c5662495214f9fa2d631be6fbef08d0712da59e0911c55ca2212,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.420195,52.520757,On or near TY GWYN ROAD,W01000433,Powys 006A,Unable to prosecute suspect
c08b991f2cef3d5e39e36b3b9499096b8e92c63e1f6830354a1619ec9ac0c4c7,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.236684,52.541275,On or near COURT CLOSE,W01000439,Powys 007B,Unable to prosecute suspect
61db0a0ddbb05cb2986e5737e06a645a58e538aadf5b8d3e130ceeea19215eef,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.194562,52.581103,On or near Parking Area,W01000428,Powys 005A,Unable to prosecute suspect
4c20a0eeec5c0c492d630d3ee680071a00988eed511ad3ca64d9ec39ad539023,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.311619,52.514000,On or near Parking Area,W01000480,Powys 008A,Unable to prosecute suspect
ced6fe8635b7931bc9d488efa8a2e1e955c690751265f42df3d6faea5741faad,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.249832,52.495942,On or near Sports/Recreation Area,W01000447,Powys 007C,Unable to prosecute suspect
e18f7cc4344df60cdf7c4dab01fbcc4b754681c5695d10ed9615ed60689d9448,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.331893,52.505116,On or near SGWAR RHEDYNEN,W01000483,Powys 009C,Investigation complete; no suspect identified
c1ae13cbcb1fad335cf53a249a45b45a43b7ac37431f0fdffd6c4efc715df054,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.330925,52.510629,On or near LON MASARN,W01000479,Powys 009B,Unable to prosecute suspect
c6105b08cfc69824f622ac70b24e2bcc11f42a16007b129a587a447094018ef3,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.323976,52.509376,On or near LON HELYG,W01000479,Powys 009B,Unable to prosecute suspect
ca117c24dcbd8c715d9ee2252084e524df910e28803d4cc43321e0c919b2b426,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.330230,52.506168,On or near VIOLET CLOSE,W01000483,Powys 009C,Unable to prosecute suspect
aaca80f21ae8022d1bcfcbbb651d41729c6674c3643760a1e0049fc75cc9c9b1,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.172589,52.509310,On or near Sports/Recreation Area,W01000447,Powys 007C,Unable to prosecute suspect
7c65c6fd0bc8242cb8f7fbe11aa0edffd804cf0b6d8b13cb4b02657a35cd87db,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.343862,52.507219,On or near GLANDWR,W01000478,Powys 009A,Unable to prosecute suspect
23576f5429dfcb4366bfc6a762d3633af024bef98fc2fecbb6939a389645ef24,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.340753,52.507722,On or near HEOL PENGWERN,W01000478,Powys 009A,Unable to prosecute suspect
c9e1aca1cda1d322a292ca06ecef2beb1bcd4bf7a0a15c2eab6aaebec49dc179,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.331893,52.505116,On or near SGWAR RHEDYNEN,W01000483,Powys 009C,Unable to prosecute suspect
2790a3ee8fe46d24000a3a7043edc9a8f5b1714e54d6d8c2fa9952ee2e89e3e7,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.745357,51.787008,On or near CWM TAWE ROAD,W01000426,Powys 021A,Unable to prosecute suspect
bdfb7f31d7b84f4f02908667340f06f5d8e4f73ffaefe5e8882f4c270fee2554,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.753296,51.783851,On or near PEN-Y-BRYN,W01000504,Powys 021D,Unable to prosecute suspect
0c76094b2005a87c6cbc7a5f8ee03dae85f920c7692dfbdc686252ae136227d4,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.752995,51.781688,On or near LLUEST,W01000504,Powys 021D,Investigation complete; no suspect identified
836a3f1d08ec9adf88301bd82b3cf94904a9f1636cac27fbeed68131ea9b7cdf,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.772560,51.767097,On or near WIND ROAD,W01000502,Powys 021C,Unable to prosecute suspect
3ca9ef7a801b5c9910d7c78f81a182f0d3d078f020324fb69febf247027a452b,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.756958,51.775470,On or near MAESCYNOG,W01000502,Powys 021C,Unable to prosecute suspect
7c2a512ab3699f332313bc098940bbfd250c8b05c9be79562decc52dca3d1beb,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.774380,51.774327,On or near SPENCER TERRACE,W01001899,Powys 021F,Unable to prosecute suspect
9ef3ebf32b1f0ae14811c44bac0ee47171998144a4cc2887734de9c13b653e11,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.232192,51.994573,On or near REGENT STREET,W01000494,Powys 015E,Unable to prosecute suspect
de64a0fb5f6e68ef77961ac2b377bc368198d9bf9d1f5d8b22217c11a22074d5,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.186572,52.019812,On or near NANT-Y-DERI,W01000445,Powys 015C,Unable to prosecute suspect
05b6c1903eb2cbee4a88238bab1e8cc0d5143d4343f582e774e886315ade39dc,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.170928,51.865373,On or near B4558,W01001904,Powys 018G,Unable to prosecute suspect
2e28232893f1a44d3550d8ab088b8e4e876d856b3442e91ccde76e4297c8f87b,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.132175,51.862876,On or near DERWEN FAWR,W01001903,Powys 018F,Investigation complete; no suspect identified
55d23466d9a3c9146b8cbc07df01fa62a7887a173f8d4e163365fb6dda19fd5c,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.459017,51.831770,On or near A470,W01001897,Powys 020D,Unable to prosecute suspect
4fea903b2aa4b2cadf4405e4c8c52709af19f6320a7fb192389cdd722f1436dc,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.387138,51.947452,On or near HEOL GOUESNOU,W01000493,Powys 017E,Further investigation is not in the public interest
be3d9e936bdfedb2fb1ff1573ef2fb1c1615015f7c748daf95dd3fc99e661965,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.395074,51.947178,On or near BRIDGE STREET,W01000489,Powys 017A,Investigation complete; no suspect identified
be18a3be4d8d8d5def0eec2088ac80210c7f4c13dd6d4eb25d81345961bf92e9,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.381816,51.942821,On or near Petrol Station,W01000493,Powys 017E,Unable to prosecute suspect
d798749b2ff18afa996078283710c0afab14fa0a4e068745271a5851516c23ec,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.493001,51.946004,On or near A40,W01000503,Powys 020C,Unable to prosecute suspect
681d91d60600104627943172d3c79316a75bd2344a6527e34cd39d9eb86ae0c6,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.398323,51.953856,On or near UPLANDS,W01001902,Powys 017G,Unable to prosecute suspect
c2c7f3f07e6fea2bc7d335ada7941aa3e7a4d5cd9434b23dc49f2b4e146ea1e3,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.398378,51.955187,On or near BRON-Y-CRUG,W01001902,Powys 017G,Unable to prosecute suspect
39f0c6f0782c58665dae42c8c24945af4097a40f89422d8eccfe6a1e7705157e,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.391338,51.947753,On or near HIGH STREET,W01000492,Powys 017D,Unable to prosecute suspect
2de9ee47472de3099711e914c167760cbd99aac3fb95f9d2b7f76174c4852318,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.391338,51.947753,On or near HIGH STREET,W01000492,Powys 017D,Unable to prosecute suspect
9a56f0b82d0475f1397d7e43045ddeca266cb69309bf55623b1ec44739e5652e,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.388784,51.955039,On or near BEECHGROVE,W01001901,Powys 017F,Unable to prosecute suspect
cfe0645e1f258c5c078d23f602d989d5e23b98815b76dfaa62346f44e151cbb5,2016-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.292496,51.898546,On or near B4558,W01001897,Powys 020D,Unable to prosecute suspect
