Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
97c9cbe2c3ac4c1902d9dffc98e6a80e6381175aa8a72a59d3368d31b5a0fe25,2016-10,Essex Police,Essex Police,,,No location,,,Suspect charged as part of another case
32a7ad10173ece351750b459165b47a87c1168d99eb554421d043611e232d401,2016-10,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
fa4ecba493c4c5b85b2f17ca6d03467b450fa2d0a46a20da1ab201d98d6a89b9,2016-10,Essex Police,Essex Police,1.079991,51.797253,On or near SPRING ROAD,E01022045,Tendring 018D,Investigation complete; no suspect identified
5a828d0d3faf8355b68374b0e35faba952f7fee3aa54cd8f0890480a78e021b5,2016-10,Essex Police,Essex Police,1.147433,51.789620,On or near Supermarket,E01022038,Tendring 017E,Investigation complete; no suspect identified
ee131349a7e133b73dea5ab2e2463369336f6d29e9170b07692a298a6cd4eaf4,2016-10,Essex Police,Essex Police,1.151563,51.802452,On or near Sports/Recreation Area,E01022042,Tendring 014A,Investigation complete; no suspect identified
f02ae81203c91d346873e69f3835f8d52c3dca482edbfca02d9650d9875314b2,2016-10,Essex Police,Essex Police,0.281355,51.654167,On or near SOLID LANE,E01021444,Brentwood 001D,Investigation complete; no suspect identified
3d52c5a069ef7fdc433043c49ff0580e349dc6f0588498d50b5233e5579262b7,2016-10,Essex Police,Essex Police,0.356213,51.463491,On or near DUNLOP CLOSE,E01016003,Thurrock 018A,Investigation complete; no suspect identified
c795828304722c1914982674df44a9f7f62671893c65169de11ad5a4f777b705,2016-10,Essex Police,Essex Police,1.154354,51.788616,On or near COLNE ROAD,E01022025,Tendring 016B,Investigation complete; no suspect identified
dcf959c3361c6c6e91dc71e7e193b44e0c01efe587bcfabc222ff628f3fef070,2016-10,Essex Police,Essex Police,0.346604,51.630974,On or near BROOKFIELD CLOSE,E01021448,Brentwood 003A,Investigation complete; no suspect identified
d662eb119d6116d8051b59cab6ceacfcdc0908bf6711c6df0aa1b90b41ba72c9,2016-10,Essex Police,Essex Police,0.655495,51.541965,On or near WEST STREET,E01015849,Southend-on-Sea 011E,Investigation complete; no suspect identified
44507f2b131ff9e45b729f4839f76e797b7301778d1cbdf3cbd14881db512b28,2016-10,Essex Police,Essex Police,0.295639,51.522744,On or near CANTERBURY PARADE,E01015971,Thurrock 006B,Investigation complete; no suspect identified
35aa31a753d8b04e7bd43dd6387acbcf7cc99c4f2120047b3b099fef7e8fe1c6,2016-10,Essex Police,Essex Police,0.343830,51.489028,On or near Petrol Station,E01015965,Thurrock 010C,Investigation complete; no suspect identified
5623b55b925ce2fc04188e4e94b3a894ba763a078af42181adae0bd28ada425b,2016-10,Essex Police,Essex Police,0.053139,51.645061,On or near Conference/Exhibition Centre,E01021781,Epping Forest 014B,Investigation complete; no suspect identified
