Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
19de586fe5d3d46570f5a104e1c6851e27c71fa38fcdd29443786f8f53be308a,2016-10,Hampshire Constabulary,Hampshire Constabulary,-1.474314,51.214874,On or near WATERY LANE,E01023203,Test Valley 004D,Offender sent to prison
8085e5c4ba9be1c6fcb502fb7e72b5d2379d6d910810549215dcc03aa9a89772,2016-10,Hampshire Constabulary,Hampshire Constabulary,-1.161986,50.721553,On or near ALFRED STREET,E01017339,Isle of Wight 007A,Investigation complete; no suspect identified
d3eca7fb1033c7d90a390350f028fc2cf937f18c39e17c109160f5964f88c4ad,2016-10,Hampshire Constabulary,Hampshire Constabulary,-1.101106,51.262680,On or near LAWRENCEDALE COURT,E01022482,Basingstoke and Deane 012B,Investigation complete; no suspect identified
d47ce6523741dd5c4256d420467a26ab32135caa09ba407f0a941e1f0d981192,2016-10,Hampshire Constabulary,Hampshire Constabulary,-1.434871,50.924071,On or near REGENT'S GROVE,E01017246,Southampton 010A,Investigation complete; no suspect identified
bf9911b101bd525209950c85c667fe8bf12c0800cf5d6ae8814da62bcbf9b056,2016-10,Hampshire Constabulary,Hampshire Constabulary,-1.335522,51.305500,On or near Parking Area,E01022489,Basingstoke and Deane 003B,Investigation complete; no suspect identified
2501fdedf2ab87a01fbf3e89f9bf06de37e617cbdc9a2e30b4458a29e973acf4,2016-10,Hampshire Constabulary,Hampshire Constabulary,-1.087612,50.801022,On or near Supermarket,E01017040,Portsmouth 016F,Investigation complete; no suspect identified
af602e2bb5ec2c9b40480803ffb1f3e8cfddcf5ca27bdcf6d971cde39c935c7f,2016-10,Hampshire Constabulary,Hampshire Constabulary,-1.140677,50.804554,On or near SAN DIEGO ROAD,E01022818,Gosport 005D,Investigation complete; no suspect identified
01e7ecbdd9c6390c6a6c946047382e7b05e2def19955a8d20db8b66c914d3307,2016-10,Hampshire Constabulary,Hampshire Constabulary,-1.148003,50.801263,On or near ST ANN'S CRESCENT,E01022807,Gosport 005A,Investigation complete; no suspect identified
c02bbb1b6bd81f24d77844cbeb1a031ccb376052584242e4878c7fa79cf93146,2016-10,Hampshire Constabulary,Hampshire Constabulary,-1.081982,50.806670,On or near HERTFORD PLACE,E01017037,Portsmouth 013B,Investigation complete; no suspect identified
8d83d47e310c7c3ad8795021eca5ad8e2ac2055bef2bb70537ba5ee0d07f6675,2016-10,Hampshire Constabulary,Hampshire Constabulary,-1.153014,50.654958,On or near Supermarket,E01017349,Isle of Wight 014D,Investigation complete; no suspect identified
225b0b54a0025f5c75b726d38af9acbb218f441be7970baccc3439bf20972e31,2016-10,Hampshire Constabulary,Hampshire Constabulary,-1.442484,50.933486,On or near BIRCH ROAD,E01017251,Southampton 010C,Investigation complete; no suspect identified
8de04fb4e946bc79ad091cff39df6ec0894f5403bd527348fd1a8db09304dc5f,2016-10,Hampshire Constabulary,Hampshire Constabulary,-1.078507,50.813747,On or near HAVANT ROAD,E01017110,Portsmouth 011E,Investigation complete; no suspect identified
4aaf503cb8540424adfcc3b823511ff6e3c4780d19f96f9daad9cde2a264043a,2016-10,Hampshire Constabulary,Hampshire Constabulary,-1.277143,50.916691,On or near DOWNLAND CLOSE,E01022652,Eastleigh 011A,Investigation complete; no suspect identified
2736870f17aaf1a859ebd45d93ff4fb1b99d16d9a00db8e68b0d7898d29cba9b,2016-10,Hampshire Constabulary,Hampshire Constabulary,-0.986344,50.853046,On or near PARK WAY,E01022953,Havant 014A,Investigation complete; no suspect identified
8d0125de259c09a333915c11188aa34eb89f245406727475007a153ac1a992a7,2016-10,Hampshire Constabulary,Hampshire Constabulary,-0.836159,51.334712,On or near CULLEN CLOSE,E01022898,Hart 002E,Investigation complete; no suspect identified
92a0c435c4ec3d6c18ad94917b2528f32143fb80254da5439bd75176995b5174,2016-10,Hampshire Constabulary,Hampshire Constabulary,-1.136351,51.236590,On or near LONG CROSS LANE,E01032850,Basingstoke and Deane 021G,Investigation complete; no suspect identified
5210a083ed5dcdaa28f974d37e063660572598170aa1cb1bd8fb8c2a5a78de8d,2016-10,Hampshire Constabulary,Hampshire Constabulary,-1.447326,50.928402,On or near LOCKERLEY CRESCENT,E01017207,Southampton 015A,Investigation complete; no suspect identified
f58cd4d4278dcc3860f71f796b86d4945f81ce48a738142b96efe38764b7f40d,2016-10,Hampshire Constabulary,Hampshire Constabulary,-0.748836,51.281468,On or near CAMBRIDGE ROAD WEST,E01023138,Rushmoor 007E,Investigation complete; no suspect identified
809534c420ee3399b9229404fffb3c8aacfa9c093e4d3115f60e5cf04e53b122,2016-10,Hampshire Constabulary,Hampshire Constabulary,-1.090646,50.793150,On or near PEEL PLACE,E01017130,Portsmouth 018D,Unable to prosecute suspect
cff0d6546f994e86f07bf32ba61cd13c04610cb481cd39662f8ec145d7c8b370,2016-10,Hampshire Constabulary,Hampshire Constabulary,-1.404280,50.902966,On or near WEST BARGATE,E01017139,Southampton 029A,Investigation complete; no suspect identified
3e3045e6f391c60cc1461b8c1b0763f7d06ace118ade58226e47b6c7ffd982b5,2016-10,Hampshire Constabulary,Hampshire Constabulary,-1.248705,50.875217,On or near MOLLISON RISE,E01032859,Winchester 013F,Investigation complete; no suspect identified
7a3538a92c80251ec20a4da953e9f1f835acefdea5effd7b6c10b91461e14e53,2016-10,Hampshire Constabulary,Hampshire Constabulary,-1.064914,50.817785,On or near Supermarket,E01017049,Portsmouth 011D,Investigation complete; no suspect identified
e8374a15fb7662f51f4c5f3e5705cf219c3025d8c38cc785c60f8fdac7264d42,2016-10,Hampshire Constabulary,Hampshire Constabulary,-1.064914,50.817785,On or near Supermarket,E01017049,Portsmouth 011D,Investigation complete; no suspect identified
1bc3ef5b4cd111cf6bb6de6c067d23b5279f83158e716cdb3eed8a53ce935eb0,2016-10,Hampshire Constabulary,Hampshire Constabulary,-1.042174,50.868328,On or near CROFTON CLOSE,E01022948,Havant 011B,Investigation complete; no suspect identified
