Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
68631a5a1d7f860ce8263e212e9b505b5f9e0cd452c855374a6c84f6db0c9c01,2016-10,Humberside Police,Humberside Police,-0.596233,53.476676,On or near GROVE STREET,E01013322,North Lincolnshire 022A,Court case unable to proceed
882345ae1a3b2660ea96f76b0d06d9659dd7e7d12bb97501cdf45b5246bab0c5,2016-10,Humberside Police,Humberside Police,-0.314563,53.792257,On or near KINLOSS GARTH,E01012783,Kingston upon Hull 004B,Investigation complete; no suspect identified
d384a0e30f0f94b01ee651067347d08c064186dbabd55df93358fc385e9cfe3d,2016-10,Humberside Police,Humberside Police,-0.045020,53.553614,On or near APPLEGARTH CLOSE,E01013130,North East Lincolnshire 018A,Investigation complete; no suspect identified
b7ac75bd65a27afda5b6dbd69171bfdefcc0a3b289532a60335c1dc5a83e91b0,2016-10,Humberside Police,Humberside Police,-0.871956,53.695867,On or near Supermarket,E01013000,East Riding of Yorkshire 041C,Investigation complete; no suspect identified
8adf905793db465f4fc0def7407735dc23772c9ab696d6c9323c00f4cc10bf1b,2016-10,Humberside Police,Humberside Police,-0.085336,53.564138,On or near GARDEN STREET,E01013221,North East Lincolnshire 003D,Investigation complete; no suspect identified
0a22332fc33ddd63101fa91566f11e6d1afff8ae23dec60dc8c37aacd79c61d5,2016-10,Humberside Police,Humberside Police,-0.279266,53.756248,On or near HILSTON GROVE,E01012895,Kingston upon Hull 017D,Investigation complete; no suspect identified
15abb57b4248be2887597acd9f5cbb05cee2e2997e983c32c935623f93ae791d,2016-10,Humberside Police,Humberside Police,-0.066796,53.570024,On or near COPE STREET,E01013139,North East Lincolnshire 002C,Investigation complete; no suspect identified
bd11ef6f99b82c3ac0e5aca2323cc7661102d9e5f3b801f2e5642c01b58033e7,2016-10,Humberside Police,Humberside Police,-0.297383,53.755365,On or near ROSEDALE AVENUE,E01012899,Kingston upon Hull 022B,Investigation complete; no suspect identified
1d1ac22dcec8ddb65d1f9b0c3e8544569274bed07208aa9a25ef3bd937ce1549,2016-10,Humberside Police,Humberside Police,-0.349915,53.752954,On or near CROMWELL CLOSE,E01012857,Kingston upon Hull 024D,Investigation complete; no suspect identified
19628866c11bc2832eca824940ec9b6f030f38e68255ae4ce7455aff759bbaa0,2016-10,Humberside Police,Humberside Police,-0.385421,53.762049,On or near HAYBURN AVENUE,E01012794,Kingston upon Hull 014D,Investigation complete; no suspect identified
f6f20f632d97d91e15df82c12e87fd47452d7d4c974baa2108186ecb033155c5,2016-10,Humberside Police,Humberside Police,-0.505605,53.723076,On or near Supermarket,E01013089,East Riding of Yorkshire 035B,Investigation complete; no suspect identified
74ab545d28124e7de1deab1582eeb41c925506c8834af5b9502df56e6d390f3a,2016-10,Humberside Police,Humberside Police,-0.063555,53.564281,On or near DURBAN ROAD,E01013140,North East Lincolnshire 006B,Investigation complete; no suspect identified
17a32857514f2285acdd96c8d5677e537fa71655d221ae7e2055a1f88540a337,2016-10,Humberside Police,Humberside Police,-0.034109,53.552869,On or near HIGHGATE,E01013132,North East Lincolnshire 014B,Investigation complete; no suspect identified
7e6148d404c964f9823d65ef027eee41a4d8f6b75f31d053dd97007009063a79,2016-10,Humberside Police,Humberside Police,-0.086503,53.570072,On or near ALEXANDRA ROAD,E01013221,North East Lincolnshire 003D,Investigation complete; no suspect identified
4ad6f7e7235dfaea4de6af2229ae11b1714a85d76d9e684335caf8fe9902444d,2016-10,Humberside Police,Humberside Police,-0.350094,53.761523,On or near BEVERLEY ROAD,E01012867,Kingston upon Hull 024E,Investigation complete; no suspect identified
eca0ebb1968e885fe58e650f9544ff937f73b353837a7590fc778affed2c153c,2016-10,Humberside Police,Humberside Police,-0.656109,53.574977,On or near ASHBY ROAD,E01013316,North Lincolnshire 012C,Investigation complete; no suspect identified
247883dac78c855be807aac767c0ad39e0e82b236c84cf15aa32303a5b1aa913,2016-10,Humberside Police,Humberside Police,-0.303528,53.780532,On or near CHURCH STREET,E01012904,Kingston upon Hull 007B,Investigation complete; no suspect identified
94974e1ed5622975c1e0c6f2cdc13c348c4c6204ee895a82294a2b363cf9d8a7,2016-10,Humberside Police,Humberside Police,-0.404121,53.728581,On or near HESSLE ROAD,E01012883,Kingston upon Hull 033B,Investigation complete; no suspect identified
7355e026d303efe92023213b5f52ceee2e16f3c93d29d14d583e3143a352de72,2016-10,Humberside Police,Humberside Police,-0.374704,53.758299,On or near Petrol Station,E01012756,Kingston upon Hull 025A,Investigation complete; no suspect identified
3f4e065dac1b5f45393bfa20f5342a776b548772504a2b44c3eeb0da6c8b4010,2016-10,Humberside Police,Humberside Police,-0.669439,53.562667,On or near SPILSBY ROAD,E01013284,North Lincolnshire 017D,Investigation complete; no suspect identified
ca44de596881064864f837eb52d9928a30df5f3454fcfa568a19fa63056e8adf,2016-10,Humberside Police,Humberside Police,-0.264400,53.755539,On or near Supermarket,E01012843,Kingston upon Hull 021B,Investigation complete; no suspect identified
179379f0c1620b0259649b6eb06393e9128f946fb54891e0cc2475d83df97cdb,2016-10,Humberside Police,Humberside Police,-0.492214,53.551944,On or near Shopping Area,E01013272,North Lincolnshire 011E,Investigation complete; no suspect identified
62599f848cba8faa78b9b7d66c2d6c4595b6b2499ac04b8909a93d244f8ecfae,2016-10,Humberside Police,Humberside Police,-0.451503,53.764979,On or near OAK HILL,E01013113,East Riding of Yorkshire 028B,Investigation complete; no suspect identified
7831bf4f510c9d40957f30ed7b0b87837758baa09720e083d4e0c7f2938a76e3,2016-10,Humberside Police,Humberside Police,-0.184742,53.738124,On or near BOND STREET,E01013098,East Riding of Yorkshire 033B,Investigation complete; no suspect identified
c5692383e59ea79188f00c2b35c1fe9706b8e444930d08e99244bf88b8689f6c,2016-10,Humberside Police,Humberside Police,-0.371435,53.728690,On or near Shopping Area,E01012889,Kingston upon Hull 030B,Investigation complete; no suspect identified
