Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1e9772070885c550e4b95d38903d108090dabfeeb345d268ebc5e66b2d1dd1bb,2016-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
7fc22a6ed5df8094fd253ea45457ad96a9729103207fed3f4f3c3136c8ff4a3e,2016-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Local resolution
fa9b5da606ee8851a8fddc48dba45ab28253ddee36b8308d24132d8ad5baf297,2016-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
b47831df826c50e6808392191bf4815f3b7e35586db690824d70511ee701966e,2016-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
3a9c44b0ee8797fbe265fdc4a5ee688b3d8ee5c01892be99f32db06c3dbf963f,2016-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
7f9f9c18fe9f1d08b35a08d1121508d6d39f44597288023868ac21a8d18edded,2016-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
8f4ac6ac081b5d5284e7523f1e10a4048b4191019a56caccbfb37e8513cfdb67,2016-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
c7caedfa655ffd1aeca8f08c27c4bb76b6b7efb3647f9f64389027b61214ad53,2016-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
4c50e445d678ad5c5811ff3595d83659d0a42b81c343c66a6362135503448850,2016-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
563bf5ba1ff6ca0bf097696fa31315a507581c75ae117f087621e85dbf03881f,2016-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
7b073a82212f849c3a58e634b9f296d325edeaea7dfe468e0a7b61178e40620e,2016-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Local resolution
e7c14ddb542a53dd87e840b01967a0c4e6b8d92efa9c79f7cc95d91b264b10b0,2016-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
3a20281ff3e8cce64921f7cfd71ecd3de079d164391646d964f8ea7f1903f31c,2016-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
48d55c168e435fc1ac5f0d88326f4548c03c2a0a37b7fb1bf8a7e88b53c757bd,2016-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Suspect charged
acc92b8351e3701afb3924cee1e1cf40c5f1e38246ea1c646feb201cafb3329d,2016-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
47f1731ac64e0608d6c3bff5f1cefea982c5695a82239d186fb8e014e1d7f8f0,2016-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
a8c2a3410d116f5e14e33f3b76e20adebc093d2edabb2c42db7b0b036339a0de,2016-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
805916ca8cf84ef2a6e3c5bf260dcee82ebfe0a4a59bf2527be6effd9254745f,2016-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
931abe61d4ab055668bdefed7a6de00486aab9866eb30d75b4964f7659e60489,2016-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Suspect charged
53363c26860169a05a94b8f44adf6d26000c93d2d52b13f770aca9a3d375c736,2016-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Offender given a caution
5bb27391b09f845a9b9a38fc76f34c7244bcca5f20483abd346c8230f751bf3f,2016-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
6b14b46f6cbbb3ad80c56c79f26e1e927a33dc9c4e547c2e856a6e842649590f,2016-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Local resolution
559d91e0c4dea89c60b8f9036259a3c0aeade5f45d6bea4524a004533c8fbf09,2016-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
8d02e873597399e052841609d496ae9d855f202c13d6f7b4cfd228f6ad8d5fc5,2016-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
30b23dc7fd51b2d4c2bb5c87a0b2f01c5ec1a4757f0e1f3201e8c0bab0637f15,2016-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
0abb8b0e51a39daaf05bce143477ad9d73ed71540dd84e51da509f251cc2438a,2016-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
