Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1943b6e65aa4e8b3611efbfdd1e6627a9172f8716fbeafefe4a4ee3f22c82e6c,2016-10,Merseyside Police,Merseyside Police,-3.016691,53.377174,On or near SOUTHWICK ROAD,E01007293,Wirral 027C,Defendant found not guilty
521856a0bb2882ec03096da181bd00f032710d3e8c71638fa5eeb8a40ee5fc5d,2016-10,Merseyside Police,Merseyside Police,-2.982113,53.443640,On or near BEDFORD ROAD,E01006963,Sefton 038D,Investigation complete; no suspect identified
31dd7c534c3588320081edae8c942493fd072bac22ed2b3a0737b12382c3ebce,2016-10,Merseyside Police,Merseyside Police,-2.865273,53.438071,On or near CUSTLEY HEY,E01006412,Knowsley 006A,Investigation complete; no suspect identified
b4b7022f87f27028826ffcc086ab9031e3c1b1ed525353592b16c170d89f5127,2016-10,Merseyside Police,Merseyside Police,-3.006762,53.486392,On or near EDEN DRIVE SOUTH,E01006979,Sefton 024A,Investigation complete; no suspect identified
cbede8c57540740fef9b7cdf3583b97c4e1119a0290d4bde28b3207fc226fc9d,2016-10,Merseyside Police,Merseyside Police,-2.996231,53.353957,On or near CHURCH DRIVE,E01007141,Wirral 031D,Investigation complete; no suspect identified
217309b2f3d017e7da88ed9ea72893582cfbb1b17a34c9191a98caf4760031b7,2016-10,Merseyside Police,Merseyside Police,-2.982832,53.339704,On or near HEATHER DENE,E01007135,Wirral 039A,Investigation complete; no suspect identified
3d5145686063bdb6aa010610023bec332ef551d6ebdfbec0be895b1267d13353,2016-10,Merseyside Police,Merseyside Police,-2.701858,53.451278,On or near PENNINE CLOSE,E01006821,St. Helens 011C,Investigation complete; no suspect identified
fc9e07b4de23848b6572558375da279e7c30bfc65cd0b32ee7d8a7a63111b856,2016-10,Merseyside Police,Merseyside Police,-2.904820,53.428888,On or near NORRIS GREEN ROAD,E01006619,Liverpool 021B,Investigation complete; no suspect identified
7181eadec65ae1151334a72e4dc7d24dccdb8d4731820001c37907557af5d702,2016-10,Merseyside Police,Merseyside Police,-2.896946,53.405873,On or near BOWRING PARK ROAD,E01006576,Liverpool 034B,Investigation complete; no suspect identified
18a1d4156cc36749adcd84d47b7405ec22937eb03f4a0c6904ed9c4d711bbe63,2016-10,Merseyside Police,Merseyside Police,-2.974929,53.402763,On or near OLDHAM STREET,E01006513,Liverpool 060A,Investigation complete; no suspect identified
759ace256fe36e4c0e897f252cc697f2f0b9c7efcab67532f957dc8bf47e1edf,2016-10,Merseyside Police,Merseyside Police,-2.915538,53.424807,On or near QUARRY ROAD,E01006621,Liverpool 021D,Investigation complete; no suspect identified
ab37105f24328d243d45f4b1255e1f4744e09eff62d9fe96cc7ee1a82bb01309,2016-10,Merseyside Police,Merseyside Police,-2.921147,53.401626,On or near SANDOWN LANE,E01006587,Liverpool 032D,Investigation complete; no suspect identified
