Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d0174a4d7db4188913993aab60d9ae77f5ada8a0943c8679c17a359d9cecab6f,2016-10,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
27aad855d40d138d37ed4acc007fa6e85f2469a5b2d1c1c89e45f816a12dcde4,2016-10,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
e426116bc4c8a02495678a20b9d188544b1618914d1e3c11389060d37b535d76,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.246745,52.312912,On or near THORPE HALL ROAD,E01030058,Mid Suffolk 001B,Investigation complete; no suspect identified
74a99369878cc9c1624938578997bcab12adc2989e488c1bb4a17bdaf1040643,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.256729,52.349529,On or near SYLEHAM ROAD,E01030058,Mid Suffolk 001B,Investigation complete; no suspect identified
e8536d4805eaa07f1d3708218b35611a5f050855342b1c813e7326fd48acf182,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.191802,52.040906,On or near RECREATION WAY,E01029994,Ipswich 014B,Investigation complete; no suspect identified
20bae800fb75e76570e9a444f30b0870c510b45d96ade9d0ed932c6dff801302,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.722976,52.510208,On or near B1375,E01030241,Waveney 001B,Investigation complete; no suspect identified
c5985c7f7e4ed78dd84464458b16b2ec189566bb9f88265161b08362fd3019c5,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.752547,52.481830,On or near ST PETER'S STREET,E01030249,Waveney 004C,Investigation complete; no suspect identified
1fdd82053006adaa165ea9776d95bf93c950da246d25b9732f1fa596f345c412,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.677762,52.425319,On or near BLACK STREET,E01030295,Waveney 014D,Investigation complete; no suspect identified
51b2d59206c1ba7b9204b05c8e803b4cd3809b0cb2ea054a562443c20e34e664,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.589352,52.169253,On or near LEISTON ROAD,E01030152,Suffolk Coastal 004A,Investigation complete; no suspect identified
bf2be790c17d843c5bd4cebbe4b3daf4e3f339aa15aec0b734c766154099e39d,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.346098,51.958505,On or near UNDERCLIFF ROAD WEST,E01030163,Suffolk Coastal 015B,Investigation complete; no suspect identified
c640a03992ca735f5ccc89383eae3d1b598430c4b1c4b3fc572501607cbf68e6,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.182143,52.042076,On or near POWLING ROAD,E01029983,Ipswich 016F,Investigation complete; no suspect identified
74fd01b4457e73933436258216a419ce64b77c7a709d4a0bcef5e46d95830812,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.116684,52.084372,On or near ANGLIA PARKWAY SOUTH,E01030035,Ipswich 001D,Investigation complete; no suspect identified
9baf1617887d77716726e79676293f046bdfecf5e4607b64d316606660e2e3ed,2016-10,Suffolk Constabulary,Suffolk Constabulary,0.523674,52.422162,On or near BARR DRIVE,E01029944,Forest Heath 002E,Investigation complete; no suspect identified
81a37c4bf9abfefbe2163b8741a26bb21be1acafc473d10523e62f498df56546,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.412972,52.125969,On or near WELBURN CLOSE,E01033445,Suffolk Coastal 007G,Investigation complete; no suspect identified
9d7b45d031809ba5797e669ce35db4652ba272a20d04955d0ccf649a812879c2,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.139694,52.070890,On or near DALES VIEW ROAD,E01029974,Ipswich 002B,Investigation complete; no suspect identified
578738d0f3cb45c64749ae1cd27e4226dc2713db1370f6c68b1d51ee37f04867,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.334074,51.965386,On or near SELVALE WAY,E01030168,Suffolk Coastal 014C,Investigation complete; no suspect identified
2810638be643012c937058a7cbad23bdde5b5ccde4b828a0572451c2a3592e3c,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.246977,52.061208,On or near WILDING DRIVE,E01030179,Suffolk Coastal 009A,Investigation complete; no suspect identified
833beeeacb2537f0c73dbbd99300e12c9b5e6570c9694834464461770aa9f9e6,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.752408,52.478119,On or near REGENT ROAD,E01030249,Waveney 004C,Investigation complete; no suspect identified
924b4ef4ffc676fc78ff3f20dcb49aa79a32cd319e16255733f92f2aad09f614,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.191405,52.043112,On or near STURDEE AVENUE,E01029996,Ipswich 014D,Investigation complete; no suspect identified
