Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a6adb31349ab687b024f8578916edc7c4c2961d8d1a8ded86d0d56c878c068d6,2016-10,Thames Valley Police,Thames Valley Police,,,No location,,,Offender sent to prison
075a071e76bc62c738fad0bd9a67455c79eb7c96ea76cf4fbca789a7aebb3d49,2016-10,Thames Valley Police,Thames Valley Police,-0.751329,51.628712,On or near PAUL'S ROW,E01017839,Wycombe 015D,Offender given community sentence
9335c9f467c7ab35e880c823c253b6d65bf0bfe3858ba5f90676af40d4535aa4,2016-10,Thames Valley Police,Thames Valley Police,,,No location,,,Offender given community sentence
1cbe7165af27bea944990d361488464cee3d6a647777b67d462356644a1df728,2016-10,Thames Valley Police,Thames Valley Police,,,No location,,,Offender given suspended prison sentence
2e57707e22762dc37d2d8252b4b271404f7ab7f90fb494cedc72348334f51a10,2016-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
b54c7c04c00cd7b289ceb3783d70a705a6af50fa65ccca75d3b7b4b0bf1810d5,2016-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
45e0e3ee7928bec9f61d31cf4ee2b416eb44c95f3762368efeb8164a34ab49f8,2016-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
3f4789c5d1cd04e9beb5a17a15f2420b51b90162cb56d546aafbb5a2a1faf2c0,2016-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
1963d8deb65d25a71dd1a089cdfa927636b768976689aceba177b679d33c9093,2016-10,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
d3a5f507251d00070e8fe8865849be0f98279204618ad97b0c8d6615ce9c26f3,2016-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
8b044b5d7279a894056b79e171306811477e48ef367cf6e42da287cdc7fdd8d9,2016-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
4484cc06f9841e2c2433914878b5459f21770ca16c26ac90dd3fb0138f8c72a5,2016-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
30354930b78ac789117bc368615738c24770de7d28697acd25006002b4112325,2016-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
076e82328dca6140f91c6e47876b87b3acd7cb76f0d3ef77d08e45885a18151e,2016-10,Thames Valley Police,Thames Valley Police,,,No location,,,Local resolution
53c1fbb07f6bd6bb5107324f54473c0bac5cae4e273174c10a25cdeb54aefeb3,2016-10,Thames Valley Police,Thames Valley Police,,,No location,,,Further investigation is not in the public interest
af3482c6ea7d6280fd140f35d265ab01810a9a107f76e71ef8317e6201b62a1b,2016-10,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged as part of another case
d1212a912ae4e54e528aff8ca968f8ad56b15e79f76c11a4df2f968be149125e,2016-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
8256ba2b7c79a177b4a7df12a1a160a7061ee7037d027652487586ba84ffc81d,2016-10,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
40e9228f7633a87a5ad089411d095d8bf16198533e6ed6282cc44e77521d5819,2016-10,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
c7370755c3804524347e15f5788ca39bda5441d582a83f946ba55161e6e1a588,2016-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
