Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e72203cf0e41ab7bf48bfdd3f9fab1bd68b6aa9025ceaf8fd50fdeaf1f26e90b,2016-11,Northumbria Police,Northumbria Police,-1.386149,54.906831,On or near WEST STREET,E01008703,Sunderland 013B,Offender fined
7233d55890dce7f51dccd4d6985573c8a05eeaa643be04ac2da35b4f1294ee37,2016-11,Northumbria Police,Northumbria Police,-1.714233,54.977320,On or near GLADSTONE STREET,E01008385,Newcastle upon Tyne 021E,Offender sent to prison
1e2718470d6e4576ed28aeb236866b50580f2bec42686c9123d9c556a46be62f,2016-11,Northumbria Police,Northumbria Police,-1.631459,54.965425,On or near DOBSON CLOSE,E01008438,Newcastle upon Tyne 029G,Suspect charged
2edcfec7be5efbd02142e8a9406334c391baa09d3b2fd62f43fde9be443e9696,2016-11,Northumbria Police,Northumbria Police,-1.570416,54.952608,On or near Parking Area,E01008212,Gateshead 012A,Investigation complete; no suspect identified
2fd9cb96a59cd567f1aa91472eeb4e3409551ac020cdc612d8d773eab07880c8,2016-11,Northumbria Police,Northumbria Police,-1.412537,54.910179,On or near PALLION PARK,E01008701,Sunderland 011A,Investigation complete; no suspect identified
3f83dc11e9292ec239077b23ba3870b235adacca636da78d6c23cfc85c8ef170,2016-11,Northumbria Police,Northumbria Police,-1.540063,54.990913,On or near THAMES GARDENS,E01008537,North Tyneside 030D,Court case unable to proceed
49f9a400743946ed1a26eb2a5e4b436d0bd84d733cd22fe7b57e854045a27e55,2016-11,Northumbria Police,Northumbria Police,-1.508463,55.127532,On or near Shopping Area,E01027415,Northumberland 023B,Offender given suspended prison sentence
1b9153aa33e7bd30d9537aa58c89615e85a8c11afa3678ee0bf5745f75a8fa3e,2016-11,Northumbria Police,Northumbria Police,-1.604153,54.962643,On or near Shopping Area,E01008168,Gateshead 027D,Offender given community sentence
c1fdc98e4fd556f1b8a6126b12882319ce135a6063b473164efdd161335958b3,2016-11,Northumbria Police,Northumbria Police,-1.632579,54.955642,On or near ASH STREET,E01008258,Gateshead 007C,Offender given conditional discharge
e2f14b24181d0c40b8c026b2b6f63a09b1b51f76a77bb05374e99b7a83c7b441,2016-11,Northumbria Police,Northumbria Police,-1.629670,54.976562,On or near JEFFERSON PLACE,E01008395,Newcastle upon Tyne 024B,Offender otherwise dealt with
827f27342879c3d805951a79a6128f52b2e26caf4983e3b23ccc8502d9f2e2e2,2016-11,Northumbria Police,Northumbria Police,-1.568231,55.035597,On or near Shopping Area,E01008479,North Tyneside 008D,Court case unable to proceed
64329bf30c1c796ad6d9afef22c8bb5e02f8c5355d7f37729f05b1e8a55d22b0,2016-11,Northumbria Police,Northumbria Police,-1.456494,54.930783,On or near BERGEN STREET,E01008838,Sunderland 003C,Defendant found not guilty
dbab1da8ea58a0ec05c8ca4e194d62d6aa3bbbe2cb777285154c2f1d7ae5e0b7,2016-11,Northumbria Police,Northumbria Police,-1.617134,54.972264,On or near NEWGATE STREET,E01033543,Newcastle upon Tyne 024G,Defendant found not guilty
6454a889a45515aaacd11613c5119fc2371004b29e1b21dc13bd3ee602e109f7,2016-11,Northumbria Police,Northumbria Police,-1.405548,54.918709,On or near Police Station,E01033075,Sunderland 005G,Court case unable to proceed
9967873459d36c7782d98d45720f3ef141e312579980ca283187cef29300cfc4,2016-11,Northumbria Police,Northumbria Police,-1.488261,54.863612,On or near Further/Higher Educational Building,E01008796,Sunderland 032D,Offender given community sentence
9825d2bdfdbf0eb75947ceef429df830aa9425862990c125d4712a544243e05d,2016-11,Northumbria Police,Northumbria Police,-1.433890,54.975710,On or near GORDON ROAD,E01008592,South Tyneside 011C,Offender given community sentence
12041b7fb82d8bec2f4938fc08ff887850b742da7fc024095d6d98430b51aa3b,2016-11,Northumbria Police,Northumbria Police,-1.599081,54.979574,On or near ROSEDALE TERRACE,E01008407,Newcastle upon Tyne 023B,Offender sent to prison
6551f34ec0f1ceeaec9b060f8ac3be24a255ae46fe7da28621c420c27bf9cba6,2016-11,Northumbria Police,Northumbria Police,-1.526231,54.993547,On or near DURHAM STREET,E01008573,North Tyneside 029B,Offender given community sentence
3b9fa71494fe2a87784a47c936ee056a8debcd9063dc72bba5ad8bacb8bfbe7f,2016-11,Northumbria Police,Northumbria Police,-1.368061,54.864781,On or near Hospital,E01008768,Sunderland 028D,Defendant found not guilty
e4676068a40f9321566e2dac7a8364188e7af14bd7db477905b8d3c85f3c6092,2016-11,Northumbria Police,Northumbria Police,-1.598968,55.127226,On or near ELM DRIVE,E01027514,Northumberland 021A,Offender given suspended prison sentence
c89edd97a8fc0f27e6d3ecd6256298e70c99fbb824241b97e0f64b40dc47de5f,2016-11,Northumbria Police,Northumbria Police,-1.573792,54.940497,On or near SEA VIEW,E01008229,Gateshead 018A,Offender given suspended prison sentence
fb5254ca562bcb6163b79e0fb8268a89daa272944059574be8046ccd05ef4c18,2016-11,Northumbria Police,Northumbria Police,-1.366221,54.870819,On or near ROSELEA AVENUE,E01008766,Sunderland 028C,Offender given community sentence
18d59384231b59b8e271317b6d4b0faca15c52dff1cc8152b797cdef97e6feee,2016-11,Northumbria Police,Northumbria Police,-1.397487,54.902718,On or near CHESTER ROAD,E01008707,Sunderland 011D,Defendant found not guilty
0d9c80b5f73f3e090e46a9f35b9c9b669777578f68dd50c4ab0bbd33cc93518d,2016-11,Northumbria Police,Northumbria Police,-1.641060,54.972930,On or near Supermarket,E01008331,Newcastle upon Tyne 029A,Offender given absolute discharge
