Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
01e03b991f98b0bced4a3a09d505ceeff561e15d246442492086a5ae29acab14,2016-11,Wiltshire Police,Wiltshire Police,-1.836980,51.579229,On or near FRITH COPSE,E01015562,Swindon 011A,Investigation complete; no suspect identified
81d31a187a763227d783b57c0d6cd4fae781b15af8dde99fb080d463acbdf4cb,2016-11,Wiltshire Police,Wiltshire Police,-1.810079,51.593413,On or near Pedestrian Subway,E01015513,Swindon 004A,Investigation complete; no suspect identified
ab8173beb301c2f464ac1a8b542a66f37d1e421096bcfdd5f44f432915d1795a,2016-11,Wiltshire Police,Wiltshire Police,-1.794894,51.061562,On or near A338,E01032023,Wiltshire 059D,Offender given community sentence
126214c14879749fd8be8835c40469db172a69d4302addb8d70ab0adaed5f44c,2016-11,Wiltshire Police,Wiltshire Police,-1.917744,51.318496,On or near GREEN GATE ROAD,E01031883,Wiltshire 034D,Offender given absolute discharge
754d35c707b5eada3d9f90d0a582cd9b5942194d9a015447ea2f9c2c9954f414,2016-11,Wiltshire Police,Wiltshire Police,-2.042377,51.283170,On or near Prison,E01031848,Wiltshire 028C,Offender sent to prison
f592f1dee2e8698415e0703db4f4d4f44deed04c4828b574ac6dd7d6d172f8b4,2016-11,Wiltshire Police,Wiltshire Police,-1.787214,51.562219,On or near Shopping Area,E01015476,Swindon 015B,Offender given community sentence
fdc90b4608aab2cce459c07cb57c4dd2c12efd30f59ab0d5cde912eb1926054f,2016-11,Wiltshire Police,Wiltshire Police,-1.780198,51.569399,On or near BEATRICE STREET,E01015510,Swindon 010C,Offender given conditional discharge
c369d010f76938e3a8daa8470878c1cb81a7103449d06be919d2c2ebf428c0ca,2016-11,Wiltshire Police,Wiltshire Police,-1.822637,51.560443,On or near BENWELL CLOSE,E01015567,Swindon 014C,Offender ordered to pay compensation
e64a68af2c49a356ca3fbf9f45483768f281de2525c38b2ee4b75ae13048f90b,2016-11,Wiltshire Police,Wiltshire Police,-1.773700,51.567490,On or near COLBOURNE STREET,E01015479,Swindon 017A,Offender given suspended prison sentence
fe1e582028b428a6baeb2ca97ec8da47d23acac4229af04108de5f9a8f88d639,2016-11,Wiltshire Police,Wiltshire Police,-1.854946,51.561297,On or near Park/Open Space,E01015504,Swindon 018C,Offender sent to prison
a4508d3b88b92b663ebf5d5346b92bf9ac200b922e726a21be329a9ae9e2e942,2016-11,Wiltshire Police,Wiltshire Police,-2.004787,51.329081,On or near BLACKBERRY LANE,E01031872,Wiltshire 028D,Offender fined
d6e958e1889e69c2bd595ee3f7d7deb0ea797e36d5889cb954d4547ef11acfed,2016-11,Wiltshire Police,Wiltshire Police,-2.001846,51.354347,On or near Petrol Station,E01031854,Wiltshire 026B,Offender given suspended prison sentence
d568fe1c0bb013f08a1c575df8b86ccad9ca791b6fc53a3053fbbe081d6177bb,2016-11,Wiltshire Police,Wiltshire Police,-1.777267,51.566867,On or near ELMINA ROAD,E01015480,Swindon 015D,Offender sent to prison
72ee8b699ae6a1d0e9e3915b4967018b8d7c54262c13c072f4b9bd61fab9e334,2016-11,Wiltshire Police,Wiltshire Police,-1.781270,51.559421,On or near Theatre/Concert Hall,E01032714,Swindon 019E,Offender fined
cc51a93fc5d4eabb731cc40b4d79ebd9f45054a41a1c0c80cfd90f9a4652a9db,2016-11,Wiltshire Police,Wiltshire Police,-1.763956,51.339364,On or near Parking Area,E01031870,Wiltshire 024C,Offender otherwise dealt with
2e61884a97f9b8b1ca3426e4867e03492b6cd901f1cea89f65003bc64bcf678a,2016-11,Wiltshire Police,Wiltshire Police,-2.187290,51.204717,On or near EMWELL STREET,E01032114,Wiltshire 044D,Offender given conditional discharge
7970023c4e74972204036f8f244aa216d4d02ccf38e5570babbb879ad33f50da,2016-11,Wiltshire Police,Wiltshire Police,-1.796761,51.068597,On or near SILVER STREET,E01032022,Wiltshire 058C,Offender sent to prison
1f86313b4cc4220aa45557bae252291a5fff32db06b8fd46621cd5c056492e5e,2016-11,Wiltshire Police,Wiltshire Police,-1.781431,51.558845,On or near REGENT CIRCUS,E01032714,Swindon 019E,Offender sent to prison
