Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d56520641cb54fc37cb5690d2b236b18fea70fbc6c6091c3253cd6e260ec0cc9,2016-12,Dorset Police,Dorset Police,,,No location,,,Offender sent to prison
4f37e89e5a68991edde4717afcc457d3d4188499e538d01fe8eeb49762844e6b,2016-12,Dorset Police,Dorset Police,,,No location,,,Offender sent to prison
83aee03af33c6b64fad70d65bfebdbd537fcb9db434b47f0b93919ad390bc855,2016-12,Dorset Police,Dorset Police,-1.872862,50.722173,On or near Nightclub,E01015283,Bournemouth 017A,Offender given community sentence
1f065a1398e94c064da64c73829a50a908b13f082c606f69194bdcc544888a81,2016-12,Dorset Police,Dorset Police,-2.461548,50.611400,On or near ILCHESTER ROAD,E01020573,Weymouth and Portland 005B,Offender given community sentence
8e6f1f17689de629282f82a1e46fb31c5a0207fcc4b474e1fc38111f4c981199,2016-12,Dorset Police,Dorset Police,-2.455111,50.609330,On or near Supermarket,E01020554,Weymouth and Portland 004B,Offender otherwise dealt with
08415357c96889ada4077438f7dc5b8b4e07c866a604233c82a19ebd4aff2394,2016-12,Dorset Police,Dorset Police,-1.884033,50.735944,On or near NAIRN ROAD,E01015348,Bournemouth 012C,Defendant found not guilty
fbf3440b693c23fddbfa002ccedaed02a7067087f5f2ab567db31131e105e58d,2016-12,Dorset Police,Dorset Police,-1.750518,50.736166,On or near CAMPION GROVE,E01020346,Christchurch 005A,Offender given community sentence
de7636d59d7ec41849f87ee648c78e2b239a7d38e0b115d68e6dcea189d9db26,2016-12,Dorset Police,Dorset Police,-1.872087,50.725706,On or near DEAN PARK ROAD,E01015287,Bournemouth 017D,Offender given community sentence
23682f22d01581b13280743e34e9bec8626d113f675cbdd66bfc0ef47168cc7c,2016-12,Dorset Police,Dorset Police,-1.981491,50.718527,On or near Shopping Area,E01032659,Poole 015F,Offender given conditional discharge
34d0a1b1ad57f14c191dc55f8b6ad107131a350ab4c5c6cc1b044d9df1c6307e,2016-12,Dorset Police,Dorset Police,-1.875951,50.721844,On or near Supermarket,E01015283,Bournemouth 017A,Offender sent to prison
e3452e318e71c503df81033199692e3c84aca7e44f79211606d3b38b738bbd41,2016-12,Dorset Police,Dorset Police,-1.869735,50.735911,On or near HERON COURT ROAD,E01015345,Bournemouth 013C,Court case unable to proceed
bea09980a16ed7efee60789804633a561ee0f64ea300673cbc13d40d1aaac114,2016-12,Dorset Police,Dorset Police,-2.767788,50.731196,On or near PINE VIEW,E01020517,West Dorset 007B,Offender fined
1da603cff6cddf3f922fac18c22a4c5f037e5f6d95195ee417003aee9e211a26,2016-12,Dorset Police,Dorset Police,-1.978613,50.721926,On or near DENMARK LANE,E01015465,Poole 015A,Offender ordered to pay compensation
1a480a40807e7abc888310054868e79d087b3f30da3f25c47e7e0e0ed3c5c737,2016-12,Dorset Police,Dorset Police,-1.973826,50.796734,On or near DAY'S COURT,E01020427,East Dorset 010B,Defendant found not guilty
8971c8658c498d6dd82d35de51c61a2ae1b984b8b1fc8cc1de0aab148c33b25a,2016-12,Dorset Police,Dorset Police,-2.757216,50.733730,On or near Shopping Area,E01020500,West Dorset 006C,Offender sent to prison
ea07a26cb1d44e1e2e080cea471ae500b901a05e9543a8932babcad52cf4489d,2016-12,Dorset Police,Dorset Police,-1.998266,50.610624,On or near STEPPES,E01020468,Purbeck 005C,Offender given suspended prison sentence
