Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ed87bd2c63e265d7194f57c56e2b0684e871e1de5be7eca03a396b788a01eafd,2016-12,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Offender sent to prison
9a55c2b8a31c50b9f94490841bd6876c0720d222f87c8f139156fea25a605e64,2016-12,Norfolk Constabulary,Norfolk Constabulary,1.295876,52.627061,On or near Parking Area,E01026822,Norwich 007A,Offender given suspended prison sentence
1ce6a3757854209c2cfad9c2a7d624f47f4460d09139f4f115a258cc81b156ba,2016-12,Norfolk Constabulary,Norfolk Constabulary,1.388364,52.824004,On or near Supermarket,E01026756,North Norfolk 010D,Offender otherwise dealt with
c1fcd63506b7437056d3ae60cb30877b210a6e98ecdc65593c27707ba40f8f02,2016-12,Norfolk Constabulary,Norfolk Constabulary,1.118920,52.563049,On or near ST THOMAS DRIVE,E01026884,South Norfolk 007A,Offender fined
c26427ceba19a3c5eaf4c05eb612b5f9fa9dd46d1394857080c1890dfaa26280,2016-12,Norfolk Constabulary,Norfolk Constabulary,1.266812,52.634891,On or near BOND STREET,E01026863,Norwich 006A,Offender given conditional discharge
e2a3c78303de7cada64d5b191ccb25e401fb4cdf28d10f651700a3a0705b5648,2016-12,Norfolk Constabulary,Norfolk Constabulary,0.341957,52.617023,On or near DEXTER ROAD,E01026717,King's Lynn and West Norfolk 016F,Offender fined
d49d7ae6e2909d8582ea04734fe021f8d4cda33ed3895d74eed50ffe4a080866,2016-12,Norfolk Constabulary,Norfolk Constabulary,1.270087,52.646294,On or near PINDER CLOSE,E01026828,Norwich 002A,Defendant found not guilty
221c4c43fddf5a916ccaaf184e2a17f1f600cb2b32e21a88f6935cdc5cc63c9a,2016-12,Norfolk Constabulary,Norfolk Constabulary,0.397536,52.756119,On or near ALBERT AVENUE,E01026698,King's Lynn and West Norfolk 011A,Offender sent to prison
099a0ed6e651e05fef86c2b43a9a6c64ac3ebe273f6f285431daba1c6b01ab04,2016-12,Norfolk Constabulary,Norfolk Constabulary,0.397536,52.756119,On or near ALBERT AVENUE,E01026698,King's Lynn and West Norfolk 011A,Offender sent to prison
1ceda643bf3768ef1fa8bc5b03086014d4d5a4b575bf4c0828349ce055916961,2016-12,Norfolk Constabulary,Norfolk Constabulary,1.292693,52.625018,On or near Shopping Area,E01026822,Norwich 007A,Offender sent to prison
3130ebf0060b07ad22af45aedb59ede83e76f7aea83af9f2730417011a2f4373,2016-12,Norfolk Constabulary,Norfolk Constabulary,1.285155,52.651624,On or near BRICKFIELD CLOSE,E01026800,Norwich 001D,Defendant found not guilty
9b5d0358e7f2df0e51c1e0ccd40195a264b7742ec6c2abf6e73ae687bb55bcd9,2016-12,Norfolk Constabulary,Norfolk Constabulary,1.295910,52.640281,On or near Supermarket,E01026846,Norwich 003F,Offender given suspended prison sentence
6cf798ea7dc29e3ba48a477f499d6a4bf653f245e70405714d5de03dce019e3d,2016-12,Norfolk Constabulary,Norfolk Constabulary,1.351224,52.568244,On or near RECTORY LANE,E01026928,South Norfolk 006E,Offender fined
3f67187556fd7493ff63ef745fee6564996c669c9751cb2a9a3161c10e902da7,2016-12,Norfolk Constabulary,Norfolk Constabulary,1.116330,52.378581,On or near WILLBYE AVENUE,E01026888,South Norfolk 015A,Offender fined
96bf372e863a29078218d8f8bdcfcefa851a111eeefd22a276fb3c3a9208f46f,2016-12,Norfolk Constabulary,Norfolk Constabulary,0.941318,52.681357,On or near Supermarket,E01026426,Breckland 005B,Offender sent to prison
48eae91e8a557f4a31c54dc383e178ecb47174d315e0430fe53feaf8a44c1fab,2016-12,Norfolk Constabulary,Norfolk Constabulary,1.261352,52.651500,On or near DRAYTON ROAD,E01026864,Norwich 006B,Offender fined
8dc60b4be996f2977d02d26bd3daf8f0c048eabd7666976c7f0eedb69b2ea13a,2016-12,Norfolk Constabulary,Norfolk Constabulary,1.305337,52.632571,On or near BISHOPGATE,E01033438,Norwich 014A,Defendant found not guilty
703c003d63008de4251237930e314edf5ccf4791bdab7bfcaeda0f72a34e38de,2016-12,Norfolk Constabulary,Norfolk Constabulary,0.734477,52.403578,On or near FIR ROAD,E01026478,Breckland 017E,Offender given community sentence
f98c8141e8e44363e25bc1dc55cfd1379e01bcc437839738ef2bc1b28bee8b88,2016-12,Norfolk Constabulary,Norfolk Constabulary,1.734104,52.623867,On or near RALEIGH AVENUE,E01026641,Great Yarmouth 004D,Offender given conditional discharge
3130ebf0060b07ad22af45aedb59ede83e76f7aea83af9f2730417011a2f4373,2016-12,Norfolk Constabulary,Norfolk Constabulary,1.285155,52.651624,On or near BRICKFIELD CLOSE,E01026800,Norwich 001D,Defendant found not guilty
d204369c81f7278107b61c23a4454ee089b1fe77ee0e3d2ec9140448df24f53e,2016-12,Norfolk Constabulary,Norfolk Constabulary,1.279969,52.635499,On or near DEVONSHIRE STREET,E01026827,Norwich 007F,Defendant found not guilty
6e21a4e54a7119132be1d152f5d65f66f86fd14879690c8aacac4fd0cecf9d1f,2016-12,Norfolk Constabulary,Norfolk Constabulary,1.293790,52.626634,On or near Shopping Area,E01026822,Norwich 007A,Offender sent to prison
50c898ff3e9e6a06b144a496333666e70de7c722f47cdd98f97471d0db4522a3,2016-12,Norfolk Constabulary,Norfolk Constabulary,1.243665,52.642120,On or near WHITE ROSE CLOSE,E01026864,Norwich 006B,Offender given conditional discharge
a18130b9eda3d21f683a60c95de854f2baae3792f37f5973a1b849b599031a30,2016-12,Norfolk Constabulary,Norfolk Constabulary,0.416957,52.740178,On or near SCANIA WAY,E01026704,King's Lynn and West Norfolk 011D,Offender sent to prison
f3bada530ca5e0d5a6fa10cbbc8ca27af8ce2e7c84b3460580dbde1a981a4876,2016-12,Norfolk Constabulary,Norfolk Constabulary,0.413054,52.738441,On or near Supermarket,E01026704,King's Lynn and West Norfolk 011D,Offender fined
d55ef605b3596f3036ddebf5c8d91bc652349e8e1c633e8fbb91a00b3ffa9d21,2016-12,Norfolk Constabulary,Norfolk Constabulary,1.726090,52.607668,On or near Shopping Area,E01026597,Great Yarmouth 005C,Offender fined
9079bf8e722f37b8f6d5c2e354526c0df187fc06111c8553eeb7289f9bf320f6,2016-12,Norfolk Constabulary,Norfolk Constabulary,1.296103,52.625760,On or near ALL SAINTS STREET,E01026822,Norwich 007A,Offender given community sentence
ccbd4859e14758ed8776cf6fba9837f347f80cf01cf8e9a2fbe410eeb2eaf108,2016-12,Norfolk Constabulary,Norfolk Constabulary,0.729230,52.719624,On or near Park/Open Space,E01026443,Breckland 002B,Court case unable to proceed
4a7215738fb0315fbf6b91ebcd25db5c8b9f6591e986400e013cd15d494ffd30,2016-12,Norfolk Constabulary,Norfolk Constabulary,1.718885,52.600582,On or near STAFFORD ROAD,E01026633,Great Yarmouth 007B,Offender otherwise dealt with
97efee9a3c99bf315c8c63eb0a8b13698a2efe6c24db61b806305e75ba60a8e5,2016-12,Norfolk Constabulary,Norfolk Constabulary,1.568532,52.448458,On or near MCLAREN COURT,E01030227,Waveney 010D,Offender fined
240e4bf82a9c5d336f23ce0769ec597667a07cf0266989f9a719c6c0e9237d54,2016-12,Norfolk Constabulary,Norfolk Constabulary,1.181375,52.654090,On or near ALEX MOORHOUSE WAY,E01033538,South Norfolk 001G,Offender given suspended prison sentence
a2f067fcff285268e498d9800da3ef6d092aa357163fe8c0802405ef4bc20df8,2016-12,Norfolk Constabulary,Norfolk Constabulary,1.715205,52.606841,On or near LUCAS ROAD,E01026634,Great Yarmouth 007C,Defendant found not guilty
